Bowling Style,Innings_T20_bowling,Innings_Test_bowling,Balls_Test,Runs_T20_bowling,Runs_Test_bowling,Wickets_T20,Wickets_Test,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_T20,Econ_Test,SR_T20_bowling,SR_Test_bowling,4_T20,5_T20,5_Test,10_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_Test,AgeStart_T20
1,33,8,984,752,517,30,18,0.0769230769230769,0.08,25.4,25.06,28.72,6.77,3.15,22.2,54.6,0,0,2,0,33,4,3,2019,2013,0,27.956164379999997,21.956164379999997
0,1,3,66,13,24,1,1,0.0769230769230769,0.1,0.0,13.0,24.0,13.0,2.18,6.0,66.0,0,0,0,0,9,2,4,2018,2018,1,25.69589041,25.69589041
0,8,2,216,178,115,6,2,0.08,0.048780487804878,40.07,29.66,57.5,7.52,3.19,23.6,108.0,0,0,0,0,8,1,9,2023,2022,1,26.34794521,25.34794521
0,86,37,3348,2079,1644,90,63,1.25,0.073170731707317,35.11,23.1,26.09,6.96,2.94,19.9,53.1,3,2,4,0,87,21,7,2013,2012,1,23.47945205,22.47945205
0,25,150,16531,714,9554,28,310,0.1304347826086956,0.1666666666666666,23.36,25.5,30.81,7.86,3.46,19.4,53.3,0,0,10,0,25,76,2,1999,2005,1,22.72328767,28.72328767
1,11,7,762,257,480,5,12,0.0588235294117647,0.0357142857142857,34.9,51.4,40.0,8.03,3.77,38.4,63.5,0,0,1,0,11,4,9,2018,2018,1,21.40273973,21.40273973
0,55,11,1195,1465,578,66,24,0.2142857142857142,0.0833333333333333,32.7,22.19,24.08,7.22,2.9,18.4,49.7,0,0,0,0,56,7,9,2017,2018,1,20.82465753,21.82465753
1,30,4,459,774,436,32,4,0.2,0.028169014084507,118.0,24.18,109.0,7.81,5.69,18.5,114.7,1,0,0,0,31,3,11,2023,2021,1,24.91780822,22.91780822
1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,1,2008,2007,1,26.095890410000003,25.095890410000003
0,36,152,11795,856,6506,26,203,0.1153846153846153,0.2727272727272727,42.39,32.92,32.04,8.39,3.3,23.5,58.1,0,0,4,0,43,105,5,2013,2011,1,22.150684929999997,20.150684929999997
1,39,31,4730,952,2434,66,70,0.75,0.0606060606060606,21.86,14.42,34.77,6.45,3.08,13.4,67.5,3,2,4,1,39,19,6,2008,2008,1,23.383561640000003,23.383561640000003
0,19,2,231,627,175,25,6,0.2857142857142857,0.078125,34.6,25.08,29.16,9.19,4.54,16.3,38.5,1,0,1,0,19,1,8,2020,2014,0,30.13972603,24.13972603
0,56,4,363,1703,151,56,8,0.1333333333333333,0.0714285714285714,30.08,30.41,18.87,8.47,2.49,21.5,45.3,2,0,0,0,56,2,11,2024,2017,1,31.87671233,24.87671233
0,18,6,635,536,435,19,12,0.1481481481481481,0.04,42.43,28.21,36.25,9.43,4.11,17.9,52.9,1,0,0,0,18,3,0,2023,2019,1,29.79452055,25.79452055
0,11,7,833,323,464,4,12,0.0416666666666666,0.081967213114754,35.9,80.75,38.66,8.14,3.34,59.5,69.4,0,0,1,0,11,4,9,2011,2012,0,21.43287671,22.43287671
0,7,49,6078,161,2822,9,99,0.1333333333333333,0.0666666666666666,37.06,17.88,28.5,6.19,2.78,17.3,61.3,0,0,2,0,7,27,2,2009,2007,1,26.37260274,24.37260274
0,9,3,438,255,291,5,6,0.0555555555555555,0.0461538461538461,73.16,51.0,48.5,9.8,3.98,31.2,73.0,0,0,0,0,9,2,10,2013,2013,1,21.865753419999997,21.865753419999997
0,45,7,474,985,385,31,6,0.16,0.1538461538461538,35.67,31.77,64.16,8.06,4.87,23.6,79.0,2,0,0,0,56,6,11,2023,2021,1,24.2739726,22.2739726
0,7,44,2190,178,1236,5,35,0.125,0.1851851851851851,39.66,35.6,35.31,8.9,3.38,24.0,62.5,0,0,1,0,8,28,2,2020,2022,1,21.15342466,23.15342466
0,39,2,156,953,148,24,1,0.0909090909090909,0.0076923076923076,31.87,39.7,148.0,8.37,5.69,28.4,156.0,0,0,0,0,42,1,6,2019,2021,1,23.16712329,25.16712329
0,21,53,4054,461,1615,12,49,0.0909090909090909,0.1463414634146341,41.0,38.41,32.95,8.61,2.39,26.7,82.7,0,0,1,0,41,29,0,2016,2012,1,30.019178080000003,26.019178080000003
0,63,4,274,1741,132,75,8,0.3076923076923077,0.125,26.08,23.21,16.5,8.04,2.89,17.3,34.2,2,0,0,0,65,2,11,2024,2015,1,34.31780822,25.317808220000003
0,18,29,2996,615,1627,17,55,0.1034482758620689,0.0892857142857142,36.11,36.17,29.58,9.31,3.25,23.2,54.4,0,0,2,0,18,18,6,2018,2016,1,25.15890411,23.15890411
0,32,23,2489,1035,1392,33,29,0.1333333333333333,0.0434782608695652,38.5,31.36,48.0,8.94,3.35,21.0,85.8,1,0,0,0,32,15,9,2005,2008,1,19.67123288,22.67123288
0,25,46,4951,755,3134,33,85,0.4285714285714285,0.0491803278688524,32.28,22.87,36.87,8.32,3.79,16.4,58.2,0,0,1,0,26,28,6,2016,2019,1,19.45753425,22.45753425
0,23,8,623,697,459,34,12,0.1481481481481481,0.0789473684210526,36.58,20.5,38.25,8.39,4.42,14.6,51.9,1,0,0,0,23,4,8,2016,2012,1,29.24657534,25.24657534
0,94,16,1530,2847,752,108,21,0.6666666666666666,0.2222222222222222,36.08,26.36,35.8,8.74,2.94,18.0,72.8,4,0,0,0,95,8,5,2014,2014,1,25.81917808,25.81917808
0,6,2,168,183,101,4,1,0.0833333333333333,0.0178571428571428,24.37,45.75,101.0,8.07,3.6,34.0,168.0,0,0,0,0,6,1,2,2009,2010,1,26.43835616,27.43835616
0,9,10,999,241,593,17,16,0.2105263157894736,0.108695652173913,29.62,14.17,37.06,7.3,3.56,11.6,62.4,1,0,1,0,9,6,8,2005,2005,1,30.616438359999997,30.616438359999997
0,1,1,150,10,85,0,1,0.0,0.0117647058823529,83.0,0.0,85.0,10.0,3.4,0.0,150.0,0,0,0,0,1,1,9,2020,2020,1,27.27671233,27.27671233
0,39,4,408,1013,242,31,1,0.15,0.0333333333333333,41.06,32.67,242.0,8.57,3.55,22.8,408.0,0,0,0,0,41,3,1,2015,2011,1,27.030136990000003,23.030136990000003
0,33,97,9037,822,4576,31,160,0.75,0.3529411764705882,30.01,26.51,28.6,8.07,3.03,19.7,56.4,0,0,5,1,33,51,5,2013,2011,1,24.408219180000003,22.408219180000003
0,6,126,14026,193,7878,7,233,0.1428571428571428,0.2307692307692307,44.66,27.57,33.81,8.39,3.37,19.7,60.1,0,0,10,1,6,71,0,2000,2007,1,25.63561644,32.63561644
0,9,6,599,190,354,3,10,0.0909090909090909,0.08,46.57,63.33,35.4,9.04,3.54,42.0,59.9,0,0,0,0,9,3,9,2016,2020,1,21.23013699,25.23013699
1,9,2,114,188,67,7,0,0.1666666666666666,0.0,51.28,26.85,0.0,7.23,3.52,22.2,0.0,0,0,0,0,15,1,9,2020,2013,1,29.605479449999997,22.605479449999997
0,1,23,2902,45,1431,2,53,0.0444444444444444,0.125,47.0,22.5,27.0,11.25,2.95,12.0,54.7,0,0,2,0,1,12,5,2007,2007,1,25.90684932,25.90684932
1,7,59,8067,137,4350,7,117,0.2352941176470588,0.1632653061224489,43.89,19.57,37.17,6.79,3.23,17.2,68.9,1,0,4,1,7,36,1,2011,2011,1,25.72876712,25.72876712
0,15,1,102,478,77,15,0,0.125,0.0,24.87,31.86,0.0,9.75,4.52,19.6,0.0,0,0,0,0,15,1,6,2023,2022,0,22.8630137,21.8630137
0,8,7,833,265,399,9,9,0.125,0.0769230769230769,54.25,29.44,44.33,8.88,2.87,19.8,92.5,1,0,0,0,8,4,8,2020,2017,1,31.317808220000003,28.317808220000003
0,27,14,1050,696,682,35,13,0.2941176470588235,0.0769230769230769,27.05,19.88,53.83,8.28,3.835,14.4,81.75,0,1,0,0,30,3,8,2019,2017,1,30.33424658,28.33424658
0,18,51,5164,470,2873,20,74,0.12,0.15,32.5,23.5,38.82,9.09,3.33,15.5,69.7,0,0,2,0,20,28,0,2011,2011,1,20.835616440000003,20.835616440000003
0,5,66,7077,131,4068,2,85,0.1666666666666666,0.2,31.53,65.5,47.85,7.7,3.44,51.0,83.2,0,0,1,0,5,37,1,2002,2007,1,24.28767123,29.28767123
0,1,5,258,17,185,0,4,0.0,0.0666666666666666,37.57,0.0,46.25,4.25,4.3,0.0,64.5,0,0,0,0,1,3,1,2003,2009,1,22.02739726,28.02739726
0,9,23,2401,249,1296,9,50,0.0454545454545454,0.1785714285714285,23.9,27.66,25.92,7.11,3.23,23.3,48.0,0,0,2,0,9,12,2,2009,2011,0,28.01369863,30.01369863
0,77,61,6466,2036,3426,78,86,0.2105263157894736,0.109090909090909,29.51,26.1,39.83,8.11,3.17,19.2,75.1,3,0,2,0,91,40,1,2004,2006,1,20.810958900000003,22.810958900000003
0,12,20,685,183,350,8,3,0.074074074074074,0.1428571428571428,21.15,22.87,116.66,10.87,3.06,12.6,228.3,0,0,0,0,67,23,0,2019,2019,1,28.19178082,28.19178082
0,2,1,84,26,40,3,0,0.3333333333333333,0.0,0.0,8.66,0.0,8.66,2.85,6.0,0.0,0,0,0,0,4,3,5,1999,2007,1,25.18356164,33.18356164
1,25,81,3693,327,2020,16,34,0.0909090909090909,0.12,43.34,20.43,59.41,6.86,3.28,17.8,108.6,0,0,0,0,45,54,6,2016,2015,1,24.89589041,23.89589041
0,11,13,651,212,344,7,7,0.125,0.0422535211267605,37.45,30.28,49.14,8.95,3.17,20.2,93.0,0,0,0,0,33,10,1,2004,2006,1,21.29589041,23.29589041
