Bowling Style,Innings_T20_bowling,Innings_Test_bowling,Balls_Test,Runs_T20_bowling,Runs_Test_bowling,Wickets_T20,Wickets_Test,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_T20,Econ_Test,SR_T20_bowling,SR_Test_bowling,4_T20,5_T20,5_Test,10_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_Test,AgeStart_T20
0,65,112,11416,1928,6419,71,291,0.1666666666666666,0.0625,27.77,27.15,22.05,8.3,3.37,19.6,39.2,0,0,14,4,65,62,8,2015,2014,1,20.17808219,19.17808219
1,6,3,270,150,204,4,4,0.0869565217391304,0.0273972602739726,25.63,37.5,51.0,8.33,4.53,27.0,67.5,0,0,0,0,6,2,1,2024,2021,1,24.68219178,21.68219178
0,13,36,3558,412,1579,10,80,0.1304347826086956,0.125,36.5,41.2,19.73,9.29,2.66,26.6,44.4,0,0,5,1,13,19,0,2020,2020,1,25.58082192,25.58082192
1,35,83,9575,846,5055,35,158,0.1111111111111111,0.0697674418604651,30.65,24.17,31.99,7.11,3.16,20.3,60.6,0,0,9,1,35,50,8,2016,2021,0,26.473972600000003,31.473972600000003
0,11,147,14464,284,7491,10,270,0.08,0.125,31.08,28.4,27.74,7.28,3.1,23.4,53.5,0,0,11,1,11,81,1,2009,2008,1,21.07945205,20.07945205
0,42,31,2902,1228,1453,43,44,0.1153846153846153,0.25,27.02,28.55,33.02,8.21,3.0,20.8,65.9,0,0,0,0,42,19,0,2004,2005,1,25.37260274,26.37260274
1,5,2,25,38,16,0,0,0.0,0.0,33.4,0.0,0.0,6.16,3.84,0.0,0.0,0,0,0,0,49,3,6,2021,2021,1,24.08219178,24.08219178
0,21,21,2081,579,886,26,39,0.15,0.2413793103448276,30.91,22.26,22.71,7.96,2.55,16.7,53.3,0,0,3,0,21,11,8,2013,2013,1,26.11232877,26.11232877
0,52,2,60,1149,31,58,0,0.0888888888888888,0.0,32.68,19.81,0.0,7.51,3.1,15.8,0.0,1,0,0,0,110,3,11,2018,2008,1,34.40273973,24.40273973
1,7,3,438,106,249,2,5,1.0,0.0236220472440944,40.69,53.0,49.8,9.63,3.41,33.0,87.6,0,0,0,0,8,3,9,2005,2006,0,24.95068493,25.95068493
0,22,22,2511,665,1354,28,46,0.2,0.0925925925925925,36.0,23.75,29.43,8.9,3.23,16.0,54.5,0,0,3,0,22,13,9,2011,2011,1,22.449315069999997,22.449315069999997
0,23,5,342,700,189,25,6,0.3333333333333333,0.08,36.41,28.0,31.5,9.09,3.31,18.4,57.0,0,1,0,0,23,3,1,2018,2018,1,20.43561644,20.43561644
0,58,38,3567,1530,1794,66,48,0.1290322580645161,0.1904761904761904,33.92,23.18,37.37,7.45,3.01,18.6,74.3,2,0,0,0,58,21,6,2005,2008,1,23.019178080000003,26.019178080000003
0,2,3,324,64,98,0,4,0.0,0.048780487804878,69.83,0.0,24.5,9.14,1.81,0.0,81.0,0,0,0,0,2,2,9,2013,2012,1,25.47123288,24.47123288
0,12,28,1524,152,622,0,34,0.0,0.2777777777777778,45.14,0.0,18.29,9.5,2.44,0.0,44.8,0,0,1,0,38,18,1,2021,2020,1,28.89041096,27.89041096
1,2,6,594,48,295,2,5,0.064516129032258,0.0425531914893617,23.38,24.0,59.0,8.0,2.97,18.0,118.8,0,0,0,0,2,4,6,2003,2012,1,21.19178082,30.19178082
0,1,44,4327,37,2698,0,75,0.0,0.1,30.5,0.0,35.97,12.33,3.74,0.0,57.6,0,0,1,0,1,25,6,2008,2011,1,25.164383559999997,28.164383559999997
1,1,2,294,28,238,1,4,0.0357142857142857,0.0210526315789473,0.0,28.0,59.5,7.0,4.85,24.0,73.5,0,0,0,0,1,1,7,2014,2014,1,26.76712329,26.76712329
0,49,3,150,1140,105,42,0,0.4545454545454545,0.0,0.0,27.14,0.0,8.19,4.2,19.8,0.0,0,1,0,0,66,2,3,2023,2016,1,24.96712329,17.96712329
1,39,22,1964,971,1116,69,53,0.2941176470588235,0.125,26.01,14.07,21.05,6.77,3.4,12.4,37.0,1,2,4,0,40,12,7,2017,2017,0,22.62465753,22.62465753
0,5,15,1756,121,1004,10,27,0.1578947368421052,0.0657894736842105,39.52,12.1,37.18,7.56,3.43,9.6,65.0,0,0,1,0,5,8,7,2003,2012,1,21.838356159999996,30.838356159999996
0,42,31,2351,1296,1222,62,54,0.1282051282051282,0.1538461538461538,28.5,20.9,22.62,9.33,3.11,13.4,43.5,2,1,3,0,42,18,8,2018,2017,1,22.33424658,21.33424658
0,9,6,419,265,245,5,11,0.0909090909090909,0.0526315789473684,86.0,53.0,22.27,9.69,3.5,32.8,38.0,0,0,0,0,9,3,8,2020,2019,1,22.21369863,21.21369863
1,11,5,526,242,298,6,7,0.1111111111111111,0.0588235294117647,56.8,40.33,42.57,7.11,3.39,34.0,75.1,0,0,0,0,11,3,5,2016,2016,0,26.410958899999997,26.410958899999997
0,11,2,185,371,105,16,3,0.0857142857142857,0.0555555555555555,47.6,23.18,35.0,9.59,3.4,14.5,61.6,0,0,0,0,11,2,8,2022,2021,1,28.82739726,27.82739726
0,22,25,2659,627,1536,25,41,0.1428571428571428,0.078125,29.7,25.08,37.46,7.9,3.46,19.0,64.8,0,0,1,0,22,13,5,2005,2006,1,20.31232877,21.31232877
0,42,1,66,1081,47,61,0,0.238095238095238,0.0,31.55,17.72,0.0,7.15,4.27,14.8,0.0,2,1,0,0,42,1,0,2019,2017,1,28.1260274,26.1260274
0,23,9,870,541,448,18,9,0.1875,0.0697674418604651,24.96,30.05,49.77,6.93,3.08,26.0,96.6,0,0,0,0,23,5,8,2010,2009,0,26.394520550000003,25.394520550000003
0,57,1,102,1469,68,66,1,0.2222222222222222,0.0147058823529411,33.47,22.25,68.0,8.64,4.0,15.4,102.0,1,0,0,0,65,1,9,2021,2015,1,26.47671233,20.47671233
0,3,5,660,58,395,2,5,0.0833333333333333,0.0512820512820512,32.27,29.0,79.0,7.25,3.59,24.0,132.0,0,0,0,0,3,4,1,2008,2008,1,23.89589041,23.89589041
1,31,0,0,658,0,24,0,0.1764705882352941,0.0,30.76,27.41,0.0,8.43,0.0,19.5,0.0,0,0,0,0,48,1,5,2022,2017,1,28.98630137,23.98630137
0,13,22,1980,387,1117,13,49,0.1875,0.1428571428571428,32.51,29.76,22.79,8.38,3.38,21.3,40.4,0,0,1,0,13,13,8,2021,2022,0,21.24383562,22.24383562
1,1,15,1932,27,820,0,24,0.0,0.0909090909090909,43.56,0.0,34.16,6.75,2.54,0.0,80.5,0,0,0,0,1,8,7,2000,2007,0,23.88219178,30.88219178
0,5,3,168,220,130,8,2,0.073170731707317,0.037037037037037,25.58,27.5,65.0,11.0,4.64,15.0,84.0,0,0,0,0,5,2,7,2023,2023,1,27.44109589,27.44109589
1,51,4,365,1305,188,46,5,0.1764705882352941,0.0714285714285714,29.5,28.36,37.6,6.82,3.09,24.9,73.0,0,0,0,0,51,2,6,2022,2021,1,21.99452055,20.99452055
0,6,4,448,228,277,7,9,0.0769230769230769,0.0864197530864197,19.8,32.57,30.77,9.77,3.7,20.0,49.7,0,0,1,0,6,2,8,2011,2012,1,20.79452055,21.79452055
0,65,170,17417,1881,9932,79,358,0.2,0.12,22.96,23.81,27.74,7.74,3.42,18.4,48.6,1,0,14,2,65,89,2,2011,2012,0,21.49589041,22.49589041
0,33,67,6434,979,3554,50,117,0.3333333333333333,0.1621621621621621,39.46,19.58,30.37,8.4,3.31,13.9,54.9,0,0,5,0,34,36,5,2015,2015,1,25.54794521,25.54794521
0,10,4,330,194,164,7,2,0.1363636363636363,0.0208333333333333,43.37,27.71,82.0,8.43,2.98,19.7,165.0,0,0,0,0,24,4,2,2013,2009,1,26.49041096,22.49041096
1,12,6,198,155,111,6,1,0.6666666666666666,0.0625,46.37,25.83,111.0,7.56,3.36,20.5,198.0,0,0,0,0,46,8,6,2017,2016,1,26.36712329,25.36712329
0,53,8,762,719,431,33,13,0.1875,0.0652173913043478,37.0,21.78,33.15,8.26,3.39,15.8,58.6,0,0,0,0,102,6,6,2016,2015,1,24.88767123,23.88767123
1,3,78,10805,72,5780,3,161,0.1153846153846153,0.1875,31.46,24.0,35.9,7.2,3.2,20.0,67.1,0,0,8,2,3,43,6,2014,2011,1,32.01917808,29.019178080000003
0,8,35,2940,199,1631,7,25,0.1111111111111111,0.0769230769230769,28.06,28.42,65.24,7.37,3.32,23.1,117.6,0,0,0,0,8,22,6,2004,2006,1,19.89315068,21.89315068
1,19,16,1551,364,1003,24,24,0.6,0.0533333333333333,42.26,15.16,41.79,6.4,3.88,14.2,64.6,0,0,0,0,22,8,0,2022,2022,1,31.45479452,31.45479452
0,30,140,16001,797,8891,38,313,0.2,0.1311475409836065,25.26,20.97,28.4,7.28,3.33,17.2,51.1,0,0,12,3,30,73,2,2007,2007,0,25.73972603,25.73972603
0,17,49,5943,533,3079,22,95,0.09375,0.3043478260869565,26.39,24.22,32.41,8.2,3.1,17.7,62.5,0,0,3,0,18,25,0,2015,2014,1,23.62465753,22.62465753
1,1,2,90,10,87,2,1,0.2,0.05,0.0,5.0,87.0,5.0,5.8,6.0,90.0,0,0,0,0,1,2,11,2023,2023,0,20.83561644,20.83561644
0,3,2,132,65,105,2,0,0.0555555555555555,0.0,33.03,32.5,0.0,7.22,4.77,27.0,0.0,0,0,0,0,3,1,0,2004,2006,1,29.92328767,31.92328767
1,102,44,4553,2533,2080,115,53,0.3636363636363636,0.088235294117647,37.0,22.02,39.24,7.05,2.74,18.7,85.9,3,0,0,0,104,26,0,2015,2015,0,23.47945205,23.47945205
1,8,7,892,204,458,11,10,0.25,0.0545454545454545,53.66,18.54,45.8,8.16,3.08,13.6,89.2,0,0,0,0,8,4,2,2022,2018,1,28.81917808,24.81917808
0,0,15,1452,0,727,0,11,0.0,0.0365853658536585,71.36,0.0,66.09,0.0,3.0,0.0,132.0,0,0,0,0,1,10,9,2000,2006,1,19.3260274,25.3260274
1,71,119,12610,1384,7612,51,204,0.125,0.1132075471698113,47.84,27.13,37.31,8.31,3.62,19.5,61.8,0,0,5,1,92,68,5,2014,2014,1,27.11232877,27.11232877
0,3,25,2658,86,1349,4,35,0.08,0.16,30.26,21.5,38.54,8.6,3.04,15.0,75.9,0,0,0,0,3,13,7,2006,2011,1,23.046575339999997,28.046575339999997
0,86,11,970,2375,612,122,22,0.3076923076923077,0.1282051282051282,35.33,19.46,27.81,7.69,3.78,15.1,44.0,3,0,1,0,86,6,11,2019,2019,1,23.33972603,23.33972603
0,10,8,868,255,631,10,22,0.5714285714285714,0.0530973451327433,37.0,25.5,28.68,7.28,4.36,21.0,39.4,1,0,3,0,11,5,0,2007,2006,1,27.78356164,26.78356164
0,25,68,3285,387,1922,17,48,0.125,0.108695652173913,35.87,22.76,40.04,7.74,3.51,17.6,68.4,0,0,1,0,61,42,2,2014,2011,1,22.77534247,19.77534247
0,2,73,7140,57,3716,5,113,0.1379310344827586,0.1944444444444444,24.98,11.4,32.88,8.14,3.12,8.4,63.1,1,0,4,0,2,38,2,1996,2005,1,24.46575342,33.46575342
1,1,85,12475,40,5797,2,167,0.05,0.1621621621621621,40.83,20.0,34.71,10.0,2.78,12.0,74.7,0,0,12,2,1,50,5,2006,2007,0,24.26027397,25.26027397
0,1,39,3537,16,2118,0,64,0.0,0.0495049504950495,67.4,0.0,33.09,8.0,3.59,0.0,55.2,0,0,1,0,1,23,6,2016,2017,0,24.863013700000003,25.863013700000003
1,6,1,93,198,47,7,1,0.0851063829787234,0.0212765957446808,40.6,28.28,47.0,9.9,3.03,17.1,93.0,1,0,0,0,6,1,5,2022,2019,1,25.76438356,22.76438356
1,78,66,3423,1094,1958,40,43,0.3,0.0980392156862745,46.23,27.35,45.53,7.04,3.43,23.3,79.6,0,0,1,0,138,50,4,2009,2007,1,23.48219178,21.48219178
1,23,74,10608,478,5508,13,164,0.3333333333333333,0.1206896551724138,34.85,36.76,33.58,8.24,3.11,26.7,64.6,1,0,9,2,25,43,4,2016,2017,1,18.76164384,19.76164384
0,61,67,7619,1558,3627,71,119,0.3076923076923077,0.1363636363636363,29.62,21.94,30.47,7.07,2.85,18.6,64.0,1,0,4,0,62,36,10,2009,2009,0,17.293150679999997,17.293150679999997
1,79,77,4067,1388,1808,61,53,0.4,0.25,38.84,22.75,34.11,6.6,2.66,20.6,76.7,1,0,0,0,119,55,10,2003,2006,1,22.78356164,25.78356164
0,22,6,712,562,389,16,10,0.1111111111111111,0.0681818181818181,30.71,35.12,38.9,7.44,3.27,28.3,71.2,0,0,0,0,22,4,10,2013,2012,0,31.14520548,30.14520548
1,120,5,546,2704,254,96,8,0.4,0.0833333333333333,32.01,28.16,31.75,7.33,2.79,23.0,68.2,3,0,0,0,129,3,3,2018,2010,1,33.57534247,25.57534247
1,57,12,959,1361,496,50,16,0.6,0.0568181818181818,35.88,27.22,31.0,7.41,3.1,22.0,59.9,0,0,1,0,60,6,10,2016,2016,0,22.35616438,22.35616438
0,1,1,73,43,57,0,0,0.0,0.0,0.0,0.0,0.0,14.33,4.68,0.0,0.0,0,0,0,0,1,1,3,2024,2024,1,21.88767123,21.88767123
0,13,66,7499,387,4483,21,85,0.1875,0.1388888888888889,29.47,18.42,52.74,8.41,3.58,13.1,88.2,0,0,2,0,13,36,10,2001,2010,1,20.42739726,29.42739726
0,29,4,358,751,231,36,2,0.1666666666666666,0.0140845070422535,25.17,20.86,115.5,8.14,3.87,15.3,179.0,2,0,0,0,29,2,10,2022,2021,1,20.92876712,19.92876712
0,23,122,11515,711,6346,24,229,0.2,0.1071428571428571,23.68,29.62,27.71,8.94,3.3,19.8,50.2,0,0,6,0,23,64,7,2013,2014,1,22.904109589999997,23.904109589999997
0,15,50,3930,441,2197,14,74,0.2352941176470588,0.4,22.79,31.5,29.68,8.01,3.35,23.5,53.1,1,0,3,0,15,27,7,2020,2017,1,26.37808219,23.37808219
0,2,1,120,62,114,0,0,0.0,0.0,50.5,0.0,0.0,7.91,5.7,0.0,0.0,0,0,0,0,2,1,10,2019,2019,1,18.92054795,18.92054795
1,46,1,90,1068,75,59,1,0.25,0.0133333333333333,28.34,18.1,75.0,6.35,5.0,17.0,90.0,1,1,0,0,46,1,3,2018,2018,1,17.3369863,17.3369863
0,17,6,284,487,179,20,7,0.1818181818181818,10000.0,43.4,24.35,25.57,9.01,3.78,16.2,40.5,1,0,0,0,17,3,7,2023,2023,1,29.79726027,29.79726027
0,102,25,2145,2730,1139,128,31,0.6,0.1081081081081081,26.26,21.32,36.74,7.4,3.18,17.2,69.1,3,2,0,0,103,15,4,2015,2015,0,19.89589041,19.89589041
0,1,4,226,39,154,1,11,0.0256410256410256,0.1212121212121212,25.8,39.0,14.0,9.75,4.08,24.0,20.5,0,0,0,0,1,2,8,2023,2023,0,27.96712329,27.96712329
1,5,4,790,142,435,4,7,0.0606060606060606,0.048780487804878,86.66,35.5,62.14,8.87,3.3,24.0,112.8,0,0,0,0,5,2,9,2014,2013,1,23.46849315,22.46849315
0,16,53,5077,436,3003,15,70,0.16,0.0454545454545454,37.12,29.06,42.9,9.41,3.54,18.5,72.5,1,0,1,0,16,28,6,2011,2016,1,24.77808219,29.77808219
0,9,4,251,235,172,13,4,0.1764705882352941,0.037037037037037,80.16,18.07,43.0,7.15,4.11,15.1,62.7,0,0,0,0,11,2,7,2021,2019,1,28.68219178,26.68219178
1,2,33,4200,47,2204,2,63,0.05,0.0943396226415094,34.15,23.5,34.98,6.4,3.14,22.0,66.6,0,0,2,0,3,17,2,2004,2009,1,22.78082192,27.78082192
1,2,242,32761,48,16052,1,530,0.0303030303030303,0.16,46.0,48.0,30.28,9.6,2.93,30.0,61.8,0,0,24,5,2,129,2,2011,2016,1,23.69041096,28.69041096
1,9,2,132,224,67,11,0,0.1,0.0,36.88,20.36,0.0,7.07,3.04,17.2,0.0,0,0,0,0,9,1,1,2009,2009,0,27.20273973,27.20273973
0,19,10,1110,438,505,19,12,0.2727272727272727,0.0833333333333333,24.36,23.05,42.08,6.97,2.72,19.8,92.5,0,0,0,0,19,5,2,2003,2006,0,25.87945205,28.87945205
1,6,14,574,122,303,3,1,0.0625,0.0909090909090909,40.2,40.66,303.0,8.13,3.16,30.0,574.0,0,0,0,0,10,8,4,2008,2008,1,21.578082190000003,21.578082190000003
0,27,28,2856,786,1725,24,51,0.1428571428571428,0.1612903225806451,16.96,32.75,33.82,7.69,3.62,25.5,56.0,0,0,1,0,28,17,10,2019,2022,1,16.45205479,19.45205479
1,11,25,924,262,442,7,8,0.0769230769230769,0.0576923076923076,41.16,37.42,55.25,8.78,2.87,25.5,115.5,0,0,0,0,31,19,4,2011,2011,1,19.6630137,19.6630137
0,4,16,1565,101,1044,5,18,0.1578947368421052,0.1,29.28,20.2,58.0,7.12,4.0,17.0,86.9,0,0,0,0,4,9,10,2004,2006,1,26.41643836,28.41643836
0,4,3,329,67,194,1,5,0.0666666666666666,0.0327868852459016,31.5,67.0,38.8,9.57,3.53,42.0,65.8,0,0,0,0,4,2,4,2004,2009,1,16.81643836,21.81643836
1,12,2,174,265,76,8,4,0.1071428571428571,0.074074074074074,44.8,33.12,19.0,6.88,2.62,28.8,43.5,0,0,0,0,13,1,4,2018,2018,0,26.356164380000003,26.356164380000003
0,1,5,358,36,194,0,10,0.0,0.1034482758620689,39.62,0.0,19.4,9.0,3.25,0.0,35.8,0,0,0,0,1,3,5,2019,2022,1,25.80547945,28.80547945
1,5,10,1320,118,642,2,25,0.0344827586206896,0.0652173913043478,35.4,59.0,25.68,8.96,2.91,39.5,52.8,0,0,2,1,5,5,6,2021,2021,0,22.83013699,22.83013699
0,10,11,1611,193,697,8,27,0.1428571428571428,0.0471698113207547,36.02,24.12,25.81,7.42,2.59,19.5,59.6,0,0,1,0,10,6,7,2011,2008,1,24.824657530000003,21.824657530000003
1,35,6,753,858,410,26,10,0.12,0.05,46.9,33.0,41.0,6.87,3.26,28.8,75.3,0,0,0,0,35,4,9,2004,2006,1,19.34246575,21.34246575
1,20,20,2063,557,1276,23,37,0.1739130434782608,0.0526315789473684,57.0,24.21,34.48,7.26,3.71,20.0,55.7,1,0,2,0,20,11,6,2016,2017,0,25.134246580000003,26.134246580000003
0,2,14,1130,77,661,0,17,0.0,0.075,43.15,0.0,38.88,11.0,3.5,0.0,66.4,0,0,0,0,2,8,6,1999,2006,0,22.31232877,29.31232877
1,5,1,60,79,32,0,3,0.0,0.09375,75.5,0.0,10.66,8.77,3.2,0.0,20.0,0,0,0,0,15,3,6,2022,2018,0,23.83013699,19.83013699
0,57,115,12614,1556,6063,66,269,0.2,0.2608695652173913,28.66,23.57,22.53,7.44,2.88,19.0,46.8,0,0,12,2,57,62,2,2011,2011,1,18.22465753,18.22465753
0,2,126,13907,58,6777,3,221,0.0833333333333333,0.1111111111111111,43.7,19.33,30.66,7.25,2.92,16.0,62.9,0,0,8,0,2,67,2,2008,2009,1,23.67671233,24.67671233
1,7,6,492,151,270,4,7,0.1538461538461538,0.0579710144927536,34.9,37.75,38.57,6.56,3.29,34.5,70.2,0,0,0,0,7,3,7,2006,2010,1,17.59726027,21.59726027
1,6,48,7633,132,3420,10,113,0.1904761904761904,0.1276595744680851,31.04,13.2,30.26,6.28,2.68,12.6,67.5,1,0,7,1,6,24,7,2009,2009,0,22.89863014,22.89863014
1,42,1,12,679,11,20,0,0.1428571428571428,0.0,45.16,33.95,0.0,7.46,5.5,27.3,0.0,0,0,0,0,145,7,11,2018,2009,1,27.904109589999997,18.904109589999997
0,55,21,2022,1588,1321,55,32,0.2352941176470588,0.1063829787234042,35.17,28.87,41.28,8.08,3.91,21.4,63.1,1,0,1,0,55,12,6,2015,2015,1,23.54794521,23.54794521
1,68,7,674,1760,403,112,4,0.4444444444444444,0.023391812865497,26.11,15.71,100.75,6.92,3.58,13.6,168.5,3,0,0,0,70,4,6,2020,2019,1,23.0,22.0
0,8,20,1050,129,515,5,19,0.2,3.0,35.16,25.8,27.1,9.21,2.94,16.8,55.2,0,0,0,0,8,12,8,2019,2021,1,21.44109589,23.44109589
1,10,4,188,221,134,16,3,0.1875,0.0204081632653061,22.16,13.81,44.66,6.9,4.27,12.0,62.6,0,0,0,0,11,2,3,2019,2020,1,18.95616438,19.95616438
1,65,189,26166,1672,12255,72,516,0.5,0.1186440677966101,33.2,23.22,23.75,6.9,2.81,20.1,50.7,2,0,36,8,65,100,7,2011,2010,1,24.865753419999997,23.865753419999997
0,12,4,264,332,162,17,3,0.2631578947368421,0.0277777777777777,27.29,19.52,54.0,7.57,3.68,15.4,88.0,0,1,0,0,12,2,8,2010,2009,1,27.46849315,26.46849315
0,55,8,780,1437,475,63,9,0.2727272727272727,0.0754716981132075,31.05,22.8,52.77,7.23,3.65,18.9,86.6,0,0,0,0,55,5,9,2021,2019,0,23.58356164,21.58356164
0,27,33,3440,803,1705,31,49,0.1875,0.0833333333333333,29.35,25.9,34.79,8.37,2.97,18.5,70.2,0,0,0,0,27,18,1,2009,2007,1,24.7890411,22.7890411
1,14,11,719,256,331,13,10,0.1363636363636363,0.0909090909090909,46.61,19.69,33.1,6.4,2.76,18.4,71.9,0,0,0,0,23,7,0,2021,2021,0,21.69589041,21.69589041
0,9,1,78,247,73,10,1,0.125,0.0136986301369863,37.44,24.7,73.0,7.84,5.61,18.9,78.0,0,0,0,0,9,1,7,2012,2010,1,28.460273970000003,26.460273970000003
1,71,136,17233,1612,7096,54,294,0.2,0.1666666666666666,36.07,29.85,24.13,7.13,2.47,25.1,58.6,0,0,13,2,74,72,7,2012,2009,0,23.64657534,20.64657534
0,2,7,336,60,170,1,3,0.0238095238095238,0.0277777777777777,24.83,60.0,56.66,12.0,3.03,30.0,112.0,0,0,0,0,3,8,1,2017,2022,0,26.21643836,31.21643836
0,11,122,12443,330,6232,8,171,0.0769230769230769,0.1063829787234042,32.42,41.25,36.44,9.51,3.0,26.0,72.7,0,0,4,0,11,70,6,2010,2011,1,23.38630137,24.38630137
0,3,52,5736,95,2658,4,113,0.074074074074074,0.0598290598290598,18.9,23.75,23.52,8.14,2.78,17.5,50.7,0,0,5,0,3,27,2,2010,2010,1,30.799999999999997,30.799999999999997
0,1,7,1079,17,561,0,19,0.0,0.1764705882352941,53.44,0.0,29.52,17.0,3.11,0.0,56.7,0,0,1,0,1,4,5,2003,2007,1,28.550684930000003,32.55068493
1,19,27,2515,451,1416,24,38,0.1071428571428571,0.1515151515151515,35.73,18.79,37.26,7.53,3.37,14.9,66.1,0,0,1,0,21,15,8,2003,2006,0,23.98630137,26.98630137
0,18,36,4812,437,2231,23,79,0.1875,0.1489361702127659,35.82,19.0,28.24,7.14,2.78,15.9,60.9,0,0,5,1,18,22,5,2001,2007,0,23.5369863,29.5369863
0,6,7,667,173,422,9,10,0.1666666666666666,0.0461538461538461,37.33,19.22,42.2,8.5,3.79,13.5,66.7,0,0,0,0,6,4,8,2012,2008,1,29.37260274,25.37260274
1,16,72,6793,318,3910,18,85,0.25,0.1333333333333333,46.48,17.66,46.0,6.19,3.45,17.1,79.9,0,0,4,0,19,49,1,2016,2021,1,24.35342466,29.35342466
0,3,35,3891,90,2138,3,57,0.0666666666666666,0.0816326530612244,32.66,30.0,37.5,8.18,3.29,22.0,68.2,0,0,0,0,3,19,6,2011,2012,1,25.098630139999997,26.098630139999997
1,1,8,883,9,456,0,4,0.0,0.0476190476190476,44.68,0.0,114.0,9.0,3.09,0.0,220.7,0,0,0,0,1,5,1,1997,2008,1,22.89863014,33.89863014
1,55,4,228,1044,107,49,4,0.2307692307692307,0.125,40.31,21.3,26.75,6.96,2.81,18.3,57.0,0,0,0,0,77,3,9,2017,2018,1,23.28767123,24.28767123
0,9,25,2534,225,1682,15,40,0.3076923076923077,0.0847457627118644,55.475,15.0,42.05,6.81,3.98,13.2,63.3,1,0,1,0,10,14,7,2006,2007,0,20.64657534,21.64657534
0,21,10,434,387,290,16,1,0.4,0.0256410256410256,38.07,24.18,290.0,7.21,4.0,20.1,434.0,1,0,0,0,38,13,5,2007,2008,1,22.23561644,23.23561644
1,2,26,3726,22,1931,1,63,0.0769230769230769,0.0857142857142857,18.5,22.0,30.65,5.5,3.1,24.0,59.1,0,0,5,1,3,14,6,2021,2021,1,26.06027397,26.06027397
1,16,35,6135,378,2885,13,80,0.3333333333333333,0.0821917808219178,35.75,29.07,36.06,6.14,2.82,28.3,76.6,0,0,5,1,16,22,9,1999,2008,0,23.12876712,32.12876712
1,0,4,84,0,53,0,1,0.0,0.0333333333333333,35.46,0.0,53.0,0.0,3.78,0.0,84.0,0,0,0,0,1,9,3,2018,2024,1,25.0630137,31.0630137
1,7,8,932,228,621,9,18,0.0769230769230769,0.1041666666666666,23.3,25.33,34.5,9.5,3.99,16.0,51.7,0,0,1,0,7,4,5,2022,2023,1,17.96164384,18.96164384
0,1,17,1860,13,992,0,25,0.0,0.0845070422535211,58.5,0.0,39.68,13.0,3.2,0.0,74.4,0,0,2,0,1,9,4,2010,2013,1,23.77534247,26.77534247
0,27,44,4223,912,2764,28,36,0.0967741935483871,0.0301204819277108,34.31,32.57,76.77,9.45,3.92,20.6,117.3,0,0,1,0,28,27,4,2009,2009,1,19.57534247,19.57534247
0,11,4,366,398,137,7,6,0.0909090909090909,0.0952380952380952,22.85,56.85,22.83,10.47,2.24,32.5,61.0,0,0,0,0,12,2,5,2022,2019,1,25.42465753,22.42465753
1,18,1,138,359,80,10,0,0.0444444444444444,0.0,55.21,35.9,0.0,7.18,3.47,30.0,0.0,0,0,0,0,20,1,6,2011,2013,1,26.08767123,28.08767123
1,7,21,3146,139,1613,7,43,0.15,0.0609756097560975,33.72,19.85,37.51,6.61,3.07,18.0,73.1,0,0,1,0,7,12,6,2010,2010,1,25.49589041,25.49589041
0,9,50,5419,288,3271,7,87,0.1666666666666666,0.125,33.44,41.14,37.59,8.47,3.62,29.1,62.2,0,0,3,0,10,27,7,2006,2006,1,23.47671233,23.47671233
0,21,36,1960,349,1015,18,20,0.6,0.1071428571428571,35.32,19.38,50.75,6.77,3.1,17.1,98.0,0,0,0,0,31,29,0,2002,2005,1,27.05205479,30.05205479
0,17,6,354,471,294,16,6,0.1111111111111111,0.0266666666666666,11.6,29.43,49.0,8.74,4.98,20.1,59.0,0,0,0,0,18,3,0,2023,2019,1,31.56986301,27.56986301
0,55,309,33698,1491,16719,65,604,0.1666666666666666,0.5333333333333333,30.13,22.93,27.68,7.62,2.97,18.0,55.7,1,0,20,3,56,167,5,2007,2006,1,21.095890410000003,20.095890410000003
0,20,32,3372,543,1922,25,87,0.1666666666666666,0.1176470588235294,20.88,21.72,22.09,7.0,3.41,18.6,38.7,0,0,5,1,20,18,0,2001,2005,1,26.14246575,30.14246575
1,1,2,78,15,82,1,4,0.0666666666666666,0.0909090909090909,0.0,15.0,20.5,3.75,6.3,24.0,19.5,0,0,0,0,1,1,5,2014,2011,1,24.27671233,21.27671233
0,4,14,1130,155,762,3,20,0.032258064516129,0.1818181818181818,38.96,51.66,38.1,11.07,4.04,28.0,56.5,0,0,0,0,4,8,5,2006,2006,1,24.605479449999997,24.605479449999997
1,24,42,7321,606,3402,18,87,0.6666666666666666,0.074074074074074,49.05,33.66,39.1,7.21,2.78,28.0,84.1,1,0,6,0,24,26,1,2008,2008,0,27.019178080000003,27.019178080000003
0,83,59,5209,2225,3349,107,101,0.8333333333333334,0.1,28.87,20.79,33.15,7.42,3.85,16.8,51.5,1,2,3,0,84,30,6,2004,2006,1,20.92054795,22.92054795
0,3,19,1531,90,712,3,35,0.1153846153846153,0.8571428571428571,45.31,30.0,20.34,8.18,2.79,22.0,43.7,0,0,1,0,3,10,2,2021,2016,1,32.29863014,27.29863014
