Bowling Style,Innings_ODI_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_Test,BBI_ODI,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_Test,SR_ODI_bowling,SR_Test_bowling,4_ODI,5_ODI,5_Test,10_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,Bowling Hand,AgeStart_ODI,AgeStart_Test
1,15,10,663,1016,608,545,22,9,0.0784313725490196,0.0375,27.63,16.97,60.55,5.5,3.21,30.1,112.8,2,0,0,0,15,7,10,2014,2013,1,21.5890411,20.5890411
0,49,19,1452,1103,1255,709,24,6,0.0612244897959183,1.0,52.29,17.5,118.16,5.18,3.85,60.5,183.8,0,0,0,0,69,17,10,2002,2002,1,18.57534247,18.57534247
0,31,8,1552,984,1016,517,40,18,0.2352941176470588,0.08,25.4,25.06,28.72,3.92,3.15,38.8,54.6,1,0,2,0,31,4,0,2012,2019,0,20.956164379999997,27.956164379999997
1,1,3,18,66,17,24,0,1,0.0,0.1,0.0,13.0,24.0,5.66,2.18,0.0,66.0,0,0,0,0,1,2,10,2018,2018,1,25.69589041,25.69589041
1,14,2,524,216,521,115,13,2,0.0925925925925925,0.048780487804878,40.07,29.66,57.5,5.96,3.19,40.3,108.0,0,1,0,0,15,1,11,2022,2023,1,25.34794521,26.34794521
1,120,37,5847,3348,4951,1644,141,63,0.119047619047619,0.073170731707317,35.11,23.1,26.09,5.08,2.94,41.4,53.1,4,1,4,0,121,21,4,2012,2013,1,22.47945205,23.47945205
1,217,150,11185,16531,8877,9554,380,310,0.2272727272727272,0.1666666666666666,23.36,25.5,30.81,4.76,3.46,29.4,53.3,14,9,10,0,221,76,3,2000,1999,1,23.72328767,22.72328767
0,10,7,396,762,349,480,10,12,0.0666666666666666,0.0357142857142857,34.9,51.4,40.0,5.28,3.77,39.6,63.5,0,0,1,0,12,4,11,2018,2018,1,21.40273973,21.40273973
1,47,11,2312,1195,1962,578,60,24,0.1020408163265306,0.0833333333333333,32.7,22.19,24.08,5.09,2.9,38.5,49.7,3,1,0,0,48,7,11,2018,2017,1,21.82465753,20.82465753
0,2,4,108,459,118,436,1,4,0.0169491525423728,0.028169014084507,118.0,24.18,109.0,6.55,5.69,108.0,114.7,0,0,0,0,2,3,1,2023,2023,1,24.91780822,24.91780822
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7,2,8,2007,2008,1,25.095890410000003,26.095890410000003
1,88,152,3110,11795,3137,6506,74,203,0.081967213114754,0.2727272727272727,42.39,32.92,32.04,6.05,3.3,42.0,58.1,1,1,4,0,114,105,6,2011,2013,1,20.150684929999997,22.150684929999997
0,84,31,4154,4730,3324,2434,152,70,0.4615384615384615,0.0606060606060606,21.86,14.42,34.77,4.8,3.08,27.3,67.5,7,3,4,1,87,19,7,2008,2008,1,23.383561640000003,23.383561640000003
1,8,2,386,231,346,175,10,6,0.0508474576271186,0.078125,34.6,25.08,29.16,5.37,4.54,38.6,38.5,0,0,1,0,10,1,2,2019,2020,0,29.13972603,30.13972603
1,45,4,2242,363,2166,151,72,8,0.108695652173913,0.0714285714285714,30.08,30.41,18.87,5.79,2.49,31.1,45.3,2,1,0,0,45,2,1,2016,2024,1,23.87671233,31.87671233
1,13,6,623,635,679,435,16,12,0.08,0.04,42.43,28.21,36.25,6.53,4.11,38.9,52.9,1,0,0,0,13,3,5,2022,2023,1,28.79452055,29.79452055
1,24,7,1193,833,1149,464,32,12,0.25,0.081967213114754,35.9,80.75,38.66,5.77,3.34,37.2,69.4,0,2,1,0,24,4,11,2011,2011,0,21.43287671,21.43287671
1,25,49,1216,6078,1075,2822,29,99,0.1515151515151515,0.0666666666666666,37.06,17.88,28.5,5.3,2.78,41.9,61.3,0,1,2,0,25,27,3,2007,2009,1,24.37260274,26.37260274
1,10,3,409,438,439,291,6,6,0.081081081081081,0.0461538461538461,73.16,51.0,48.5,6.44,3.98,68.1,73.0,0,0,0,0,10,2,9,2013,2013,1,21.865753419999997,21.865753419999997
1,30,7,1012,474,999,385,28,6,0.1081081081081081,0.1538461538461538,35.67,31.77,64.16,5.92,4.87,36.1,79.0,1,0,0,0,37,6,1,2020,2023,1,21.2739726,24.2739726
1,23,44,754,2190,714,1236,18,35,0.1515151515151515,0.1851851851851851,39.66,35.6,35.31,5.68,3.38,41.8,62.5,0,1,1,0,26,28,3,2020,2020,1,21.15342466,21.15342466
1,23,2,797,156,765,148,24,1,0.0930232558139534,0.0076923076923076,31.87,39.7,148.0,5.75,5.69,33.2,156.0,1,0,0,0,26,1,7,2021,2019,1,25.16712329,23.16712329
1,45,53,1548,4054,1230,1615,30,49,0.1153846153846153,0.1463414634146341,41.0,38.41,32.95,4.76,2.39,51.6,82.7,0,0,1,0,45,29,5,2012,2016,1,26.019178080000003,30.019178080000003
1,42,4,2132,274,1930,132,74,8,0.108695652173913,0.125,26.08,23.21,16.5,5.43,2.89,28.8,34.2,1,1,0,0,45,2,1,2014,2024,1,24.317808220000003,34.31780822
1,34,29,1527,2996,1553,1627,43,55,0.08,0.0892857142857142,36.11,36.17,29.58,6.1,3.25,35.5,54.4,2,0,2,0,34,18,7,2018,2018,1,25.15890411,25.15890411
1,83,23,3960,2489,3581,1392,93,29,0.1153846153846153,0.0434782608695652,38.5,31.36,48.0,5.42,3.35,42.5,85.8,2,1,0,0,84,15,11,2004,2005,1,18.67123288,19.67123288
1,31,46,1263,4951,1356,3134,42,85,0.0833333333333333,0.0491803278688524,32.28,22.87,36.87,6.44,3.79,30.0,58.2,1,0,1,0,31,28,7,2017,2016,1,20.45753425,19.45753425
1,40,8,1894,623,1756,459,48,12,0.1290322580645161,0.0789473684210526,36.58,20.5,38.25,5.56,4.42,39.4,51.9,2,0,0,0,42,4,2,2013,2016,1,26.24657534,29.24657534
1,35,16,1660,1530,1660,752,46,21,0.1724137931034483,0.2222222222222222,36.08,26.36,35.8,6.0,2.94,36.0,72.8,0,1,0,0,35,8,6,2013,2014,1,24.81917808,25.81917808
1,59,2,2965,168,2364,101,97,1,0.1785714285714285,0.0178571428571428,24.37,45.75,101.0,4.78,3.6,30.5,168.0,4,2,0,0,59,1,3,2009,2009,1,26.43835616,26.43835616
1,71,10,3489,999,2962,593,100,16,0.1282051282051282,0.108695652173913,29.62,14.17,37.06,5.09,3.56,34.8,62.4,1,2,1,0,72,6,2,2001,2005,1,26.616438359999997,30.616438359999997
1,2,1,66,150,83,85,1,1,0.0285714285714285,0.0117647058823529,83.0,0.0,85.0,7.54,3.4,66.0,150.0,0,0,0,0,2,1,11,2020,2020,1,27.27671233,27.27671233
1,40,4,1825,408,1766,242,43,1,0.1851851851851851,0.0333333333333333,41.06,32.67,242.0,5.8,3.55,42.4,408.0,2,1,0,0,44,3,8,2011,2015,1,23.030136990000003,27.030136990000003
1,118,97,5737,9037,5193,4576,173,160,0.1333333333333333,0.3529411764705882,30.01,26.51,28.6,5.43,3.03,33.1,56.4,11,3,5,1,122,51,6,2011,2013,1,22.408219180000003,24.408219180000003
1,19,126,948,14026,804,7878,18,233,0.0483870967741935,0.2307692307692307,44.66,27.57,33.81,5.08,3.37,52.6,60.1,0,0,10,1,20,71,5,2001,2000,1,26.63561644,25.63561644
1,7,6,272,599,326,354,7,10,0.0434782608695652,0.08,46.57,63.33,35.4,7.19,3.54,38.8,59.9,0,0,0,0,7,3,11,2016,2016,1,21.23013699,21.23013699
0,11,2,371,114,359,67,7,0,0.0606060606060606,0.0,51.28,26.85,0.0,5.8,3.52,53.0,0.0,0,0,0,0,14,1,11,2013,2020,1,22.605479449999997,29.605479449999997
1,15,23,784,2902,705,1431,15,53,0.125,0.125,47.0,22.5,27.0,5.39,2.95,52.2,54.7,1,0,2,0,15,12,6,2005,2007,1,23.90684932,25.90684932
0,40,59,2022,8067,1668,4350,38,117,0.1,0.1632653061224489,43.89,19.57,37.17,4.94,3.23,53.2,68.9,0,0,4,1,42,36,8,2011,2011,1,25.72876712,25.72876712
1,23,1,1038,102,1020,77,41,0,0.0625,0.0,24.87,31.86,0.0,5.89,4.52,25.3,0.0,1,1,0,0,23,1,7,2023,2023,0,22.8630137,22.8630137
1,4,7,209,833,217,399,4,9,0.0681818181818181,0.0769230769230769,54.25,29.44,44.33,6.22,2.87,52.2,92.5,0,0,0,0,4,4,2,2017,2020,1,28.317808220000003,31.317808220000003
1,26,14,1144,1050,947,682,35,13,0.1111111111111111,0.0769230769230769,27.05,19.88,53.83,4.96,3.835,32.6,81.75,1,0,0,0,27,3,2,2016,2019,1,27.33424658,30.33424658
1,21,51,1016,5164,845,2873,26,74,0.0727272727272727,0.15,32.5,23.5,38.82,4.99,3.33,39.0,69.7,1,0,2,0,21,28,5,2011,2011,1,20.835616440000003,20.835616440000003
1,55,66,2850,7077,2239,4068,71,85,0.1481481481481481,0.2,31.53,65.5,47.85,4.71,3.44,40.1,83.2,2,0,1,0,55,37,8,2002,2002,1,24.28767123,24.28767123
1,17,5,624,258,526,185,14,4,0.09375,0.0666666666666666,37.57,0.0,46.25,5.05,4.3,44.5,64.5,0,0,0,0,20,3,8,2003,2003,1,22.02739726,22.02739726
1,39,23,1942,2401,1482,1296,62,50,0.1428571428571428,0.1785714285714285,23.9,27.66,25.92,4.57,3.23,31.3,48.0,3,2,2,0,39,12,3,2009,2009,0,28.01369863,28.01369863
1,150,61,6511,6466,5874,3426,199,86,0.1395348837209302,0.109090909090909,29.51,26.1,39.83,5.41,3.17,32.7,75.1,6,1,2,0,164,40,8,2004,2004,1,20.810958900000003,20.810958900000003
1,14,20,291,685,275,350,13,3,0.12,0.1428571428571428,21.15,22.87,116.66,5.67,3.06,22.3,228.3,0,0,0,0,39,23,5,2021,2019,1,30.19178082,28.19178082
1,0,1,0,84,0,40,0,0,0.0,0.0,0.0,8.66,0.0,0.0,2.85,0.0,0.0,0,0,0,0,8,3,6,1998,1999,1,24.18356164,25.18356164
0,75,81,2250,3693,1907,2020,44,34,0.09375,0.12,43.34,20.43,59.41,5.08,3.28,51.1,108.6,0,0,0,0,90,54,7,2016,2016,1,24.89589041,24.89589041
1,73,13,2726,651,2285,344,61,7,0.1111111111111111,0.0422535211267605,37.45,30.28,49.14,5.02,3.17,44.6,93.0,3,1,0,0,105,10,8,2004,2004,1,21.29589041,21.29589041
1,92,45,4333,4877,3534,2445,110,77,0.1666666666666666,0.1111111111111111,32.12,31.0,31.75,4.89,3.0,39.3,63.3,2,0,2,0,94,26,5,2000,2000,1,22.13150685,22.13150685
1,36,25,1508,2693,1456,1273,36,26,0.0793650793650793,0.1304347826086956,40.44,38.56,48.96,5.79,2.83,41.8,103.5,0,1,0,0,38,16,11,2014,2014,1,26.36712329,26.36712329
1,11,31,540,3317,504,1980,22,42,0.0952380952380952,0.1304347826086956,22.9,20.0,47.14,5.6,3.58,24.5,78.9,2,0,1,0,12,20,10,2022,2019,1,28.55890411,25.55890411
0,4,7,204,863,161,518,5,12,0.0952380952380952,0.0638297872340425,32.2,16.22,43.16,4.73,3.6,40.8,71.9,0,0,1,0,4,4,10,2011,2011,0,25.57534247,25.57534247
1,49,97,2138,9602,1812,6249,60,165,0.2727272727272727,0.0804597701149425,30.2,30.85,37.87,5.08,3.9,35.6,58.1,0,2,12,0,50,55,8,2003,2003,1,21.47671233,21.47671233
1,33,31,1394,1908,1204,991,26,25,0.2272727272727272,0.0714285714285714,46.3,27.25,39.64,5.18,3.11,53.6,76.3,0,1,0,0,34,17,9,2017,2018,1,23.53424658,24.53424658
1,14,6,666,366,720,245,31,10,0.0909090909090909,0.081081081081081,23.22,25.87,24.5,6.48,4.01,21.4,36.6,2,0,0,0,14,3,2,2023,2023,1,22.82465753,22.82465753
0,13,11,661,1088,436,561,22,25,0.1739130434782608,0.1891891891891892,19.81,17.33,22.44,3.95,3.09,30.0,43.5,1,0,2,1,13,7,8,2022,2022,0,27.33424658,27.33424658
0,15,2,642,192,467,141,12,3,0.0666666666666666,0.025,38.91,20.0,47.0,4.36,4.4,53.5,64.0,0,0,0,0,15,1,11,2010,2011,1,29.40273973,30.40273973
1,69,6,3390,818,2776,314,75,7,0.1818181818181818,0.1428571428571428,37.01,23.25,44.85,4.91,2.3,45.2,116.8,3,0,0,0,70,4,11,1996,1999,1,20.54246575,23.54246575
0,113,13,5564,1524,4188,933,156,17,0.15625,0.05,26.84,53.28,54.88,4.51,3.67,35.6,89.6,3,2,0,0,123,7,3,1996,1996,0,25.47671233,25.47671233
1,5,2,300,168,224,113,5,1,0.16,0.0357142857142857,44.8,25.0,113.0,4.48,4.03,60.0,168.0,1,0,0,0,5,1,8,2009,2009,1,26.54246575,26.54246575
0,20,8,462,606,471,297,12,17,0.081081081081081,0.1111111111111111,39.25,56.5,17.47,6.11,2.94,38.5,35.6,0,0,1,0,30,7,5,2022,2020,1,25.64657534,23.64657534
0,2,5,90,473,72,252,3,9,0.0625,0.078125,24.0,22.66,28.0,4.8,3.19,30.0,52.5,0,0,1,0,2,3,2,2021,2019,0,29.65205479,27.65205479
0,105,3,4778,369,3870,233,106,3,0.1666666666666666,0.0317460317460317,36.5,22.95,77.66,4.85,3.78,45.0,123.0,4,0,0,0,124,2,1,2010,2019,0,18.019178080000003,27.019178080000003
1,15,3,645,300,580,209,21,2,0.1176470588235294,0.0117647058823529,27.61,40.0,104.5,5.39,4.18,30.7,150.0,2,0,0,0,15,3,1,2022,2023,1,31.682191779999997,32.68219178
0,9,13,440,1714,366,914,5,15,0.05,0.0545454545454545,73.2,0.0,60.93,4.99,3.19,88.0,114.2,0,0,0,0,10,9,6,2002,2003,1,24.79452055,25.79452055
0,110,9,3719,462,3384,341,70,8,0.1,0.0314960629921259,48.34,30.46,42.62,5.45,4.42,53.1,57.7,4,0,0,0,138,7,3,2012,2013,1,23.79178082,24.79178082
0,76,109,3809,15349,2888,7642,104,255,0.1785714285714285,0.0923076923076923,27.76,16.84,29.96,4.54,2.98,36.6,60.1,3,1,17,3,79,60,6,2000,2008,1,21.34794521,29.34794521
1,80,19,3199,937,2960,528,84,17,0.1666666666666666,0.1785714285714285,35.23,25.63,31.05,5.55,3.38,38.0,55.1,1,0,1,0,86,11,4,2016,2017,1,22.8,23.8
1,18,1,892,90,820,47,33,0,0.25,0.0,24.84,33.1,0.0,5.51,3.13,27.0,0.0,3,0,0,0,19,1,5,2010,2010,1,23.43287671,23.43287671
0,28,14,1470,1152,1232,633,36,16,0.1290322580645161,0.0357142857142857,34.22,24.0,39.56,5.02,3.29,40.8,72.0,2,0,0,0,31,8,7,2006,1998,1,26.578082190000003,18.578082190000003
0,67,170,3242,25993,2362,12157,74,433,0.2,0.0708661417322834,31.91,20.72,28.07,4.37,2.8,43.8,60.0,1,0,34,9,71,93,7,2004,1999,0,26.36164384,21.36164384
1,37,1,1835,78,1822,78,69,1,0.2777777777777778,0.0128205128205128,26.4,20.94,78.0,5.95,6.0,26.5,78.0,4,1,0,0,37,1,9,2020,2022,1,26.7260274,28.7260274
1,64,46,3188,4295,3084,2185,100,80,0.1470588235294117,0.1851851851851851,30.84,24.26,27.31,5.8,3.05,31.8,53.6,2,4,6,1,66,24,9,2016,2017,1,22.0739726,23.0739726
1,21,2,957,234,963,157,30,6,0.15625,0.0615384615384615,32.1,25.77,26.16,6.03,4.02,31.9,39.0,0,1,0,0,22,1,10,2021,2024,1,21.79726027,24.79726027
1,78,188,3733,19160,3563,10078,115,311,0.1176470588235294,0.0945945945945946,30.98,50.0,32.4,5.72,3.15,32.4,61.6,6,0,11,1,80,105,4,2007,2007,1,18.90684932,18.90684932
1,62,7,3172,1021,2299,540,78,9,0.2,0.0410958904109589,29.47,0.0,60.0,4.34,3.17,40.6,113.4,0,0,0,0,62,5,8,2004,2006,0,30.05479452,32.05479452
1,10,37,453,4394,488,2429,14,73,0.0441176470588235,0.08,34.85,19.33,33.27,6.46,3.31,32.3,60.1,0,0,1,0,10,22,5,2008,2005,1,32.05205479,29.05205479
1,25,14,1109,1368,1038,884,28,24,0.0909090909090909,0.1304347826086956,37.07,20.91,36.83,5.61,3.87,39.6,57.0,1,0,1,0,26,8,5,2002,2002,1,20.67945205,20.67945205
1,118,54,5855,5884,5142,3226,173,100,0.1851851851851851,0.1186440677966101,29.72,22.07,32.26,5.26,3.28,33.8,58.8,5,2,7,2,120,29,4,2004,2003,0,19.75616438,18.75616438
0,48,37,2443,4001,2251,2464,63,57,0.1538461538461538,0.0697674418604651,35.73,22.97,43.22,5.52,3.69,38.7,70.1,1,1,1,0,51,20,5,2015,2013,1,22.74520548,20.74520548
1,60,2,2960,84,2430,62,77,0,0.1666666666666666,0.0,31.55,67.0,0.0,4.92,4.42,38.4,0.0,2,1,0,0,62,1,9,2004,2006,1,23.66027397,25.66027397
1,13,2,716,246,500,122,18,3,0.1111111111111111,0.0441176470588235,27.77,13.75,40.66,4.18,2.97,39.7,82.0,1,0,0,0,13,1,6,2005,2006,1,29.9260274,30.9260274
