Batting Style,Playing Role,Innings_T20_batting,Innings_Test_batting,NO_T20,NO_Test,Runs_T20_batting,Runs_Test_batting,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_T20,SR_T20_batting,100_T20,100_Test,50_T20,50_Test,0_T20,0_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,AgeStart_Test,AgeStart_T20
1,1,70,176,10,9,2140,6453,123,302,30.41,35.66,38.64,1571,136.21,2,12,13,31,3,14,71,101,7,2004,2005,22.838356159999996,23.838356159999996
1,1,29,112,6,13,402,3266,47,169,31.53,17.47,32.98,351,114.52,0,4,0,18,2,8,34,66,3,2008,2006,30.76712329,28.76712329
1,1,11,11,4,2,183,503,36,203,30.26,26.14,55.88,144,127.08,0,1,0,2,0,0,15,6,3,2005,2007,30.58356164,32.58356164
1,1,4,117,0,16,38,3790,22,205,24.91,9.5,37.52,58,65.51,0,8,0,19,0,10,5,75,7,2009,2009,24.05479452,24.05479452
1,1,69,118,2,4,1684,4112,86,245,32.98,25.13,36.07,1250,134.72,0,9,14,18,5,12,69,63,1,2015,2016,20.48767123,21.48767123
0,1,12,43,2,3,315,1642,70,182,39.5,31.5,41.05,217,145.16,0,3,1,9,0,2,12,23,8,2016,2019,21.78356164,24.78356164
1,1,6,37,1,4,128,1091,78,102,18.5,25.6,33.06,114,112.28,0,1,1,7,0,2,7,21,1,2019,2019,27.28767123,27.28767123
1,1,45,68,6,4,934,2320,75,171,35.55,23.94,36.25,790,118.22,0,6,6,12,5,3,45,34,0,2004,2006,18.47671233,20.47671233
1,1,0,46,0,7,0,1139,0,113,0.0,0.0,29.2,0,0.0,0,2,0,4,0,3,1,25,8,2018,2019,25.45205479,26.45205479
1,1,116,94,15,9,4145,3898,122,196,56.72,41.03,45.85,3211,129.08,3,9,36,26,6,7,123,52,9,2016,2016,21.7890411,21.7890411
1,0,49,12,8,0,849,297,72,111,34.22,20.7,24.75,675,125.77,0,1,3,0,4,3,56,6,4,2023,2021,24.2739726,22.2739726
1,0,8,43,0,5,139,1377,61,174,39.42,17.37,36.23,80,173.75,0,2,2,6,0,3,8,28,3,2020,2022,21.15342466,23.15342466
1,0,34,2,16,0,291,22,31,22,25.05,16.16,11.0,274,106.2,0,0,0,0,6,1,42,1,1,2019,2021,23.16712329,25.16712329
1,1,23,2,5,0,318,10,44,10,23.1,17.66,5.0,303,104.95,0,0,0,0,2,1,30,1,0,2024,2022,24.29589041,22.29589041
0,1,62,2,7,0,1724,15,109,15,24.92,31.34,7.5,1102,156.44,3,0,11,0,5,1,65,1,7,2013,2012,26.383561640000003,25.383561640000003
1,0,39,44,7,7,505,1432,59,120,26.5,15.78,38.7,365,138.35,0,2,3,8,6,6,41,29,7,2016,2012,30.019178080000003,26.019178080000003
1,1,17,4,0,0,225,13,40,10,6.62,13.23,3.25,203,110.83,0,0,0,0,5,1,19,2,5,2009,2014,24.071232879999997,29.071232879999997
1,1,7,91,1,10,187,3116,57,142,28.18,31.16,38.46,117,159.82,0,6,1,19,0,7,8,55,7,1997,2005,20.876712329999997,28.876712329999997
1,0,13,7,4,0,133,173,55,69,20.3,14.77,24.71,102,130.39,0,0,1,1,3,0,23,4,6,2016,2012,29.24657534,25.24657534
1,1,35,10,0,0,667,175,67,60,23.12,19.05,17.5,609,109.52,0,0,5,1,4,0,36,5,0,2016,2006,29.89589041,19.89589041
1,1,3,2,0,0,16,4,8,3,41.43,5.33,2.0,19,84.21,0,0,0,0,1,0,3,1,3,2016,2009,31.68767123,24.68767123
1,1,12,4,2,0,127,88,30,37,24.44,12.7,22.0,90,141.11,0,0,0,0,2,0,13,2,0,2005,2010,22.39178082,27.39178082
1,1,38,15,7,3,703,418,50,96,21.09,22.67,34.83,591,118.95,0,0,1,4,0,1,43,8,1,2006,2006,19.42739726,19.42739726
1,1,44,7,14,2,984,146,85,46,33.96,32.8,29.2,740,132.97,0,0,5,0,3,0,47,4,3,2008,2007,24.94794521,23.94794521
1,1,1,23,0,4,13,360,13,55,17.64,13.0,18.94,11,118.18,0,0,0,1,0,5,1,15,8,1999,2006,20.969863009999997,27.969863009999997
1,0,27,5,6,1,310,181,37,69,16.44,14.76,45.25,274,113.13,0,0,0,3,3,1,41,3,5,2015,2011,27.030136990000003,23.030136990000003
0,1,70,42,4,2,1449,1344,70,160,33.09,21.95,33.6,1370,105.76,0,3,9,5,5,2,71,21,0,2011,2010,25.94520548,24.94520548
1,0,17,83,8,15,147,1888,37,137,23.81,16.33,27.76,117,125.64,0,1,0,7,2,9,33,51,8,2013,2011,24.408219180000003,22.408219180000003
1,1,3,36,0,2,10,610,7,68,20.08,3.33,17.94,12,83.33,0,0,0,3,0,1,3,21,5,2003,2008,21.098630139999997,26.098630139999997
1,0,4,5,1,2,39,25,25,11,8.0,13.0,8.33,38,102.63,0,0,0,0,0,0,9,3,0,2016,2020,21.23013699,25.23013699
1,0,14,2,3,0,134,41,32,33,14.75,12.18,20.5,144,93.05,0,0,0,0,2,0,15,1,0,2020,2013,29.605479449999997,22.605479449999997
1,1,1,86,0,2,26,2160,26,135,25.54,26.0,25.71,31,83.87,0,3,0,9,0,9,1,48,5,1998,2006,19.539726029999997,27.539726029999997
1,1,13,4,1,0,273,120,65,57,19.2,22.75,30.0,233,117.16,0,0,1,1,1,0,13,2,0,2021,2021,19.35616438,19.35616438
1,0,17,10,5,1,261,105,77,9,16.0,21.75,10.58,159,164.15,0,0,1,0,2,2,30,3,6,2019,2017,30.33424658,28.33424658
1,1,50,126,16,14,636,2898,55,166,25.0,18.7,25.87,551,115.42,0,4,1,15,3,9,71,74,5,2005,2006,20.37808219,21.37808219
0,1,110,205,12,8,3277,8786,100,335,45.3,33.43,44.59,2300,142.47,1,26,28,37,6,13,110,112,3,2011,2009,24.75616438,22.75616438
1,1,12,10,3,2,225,455,84,116,27.38,25.0,56.87,178,126.4,0,1,2,3,2,1,12,6,1,2016,2016,30.55616438,30.55616438
1,1,8,2,2,0,51,31,31,19,14.0,8.5,15.5,54,94.44,0,0,0,0,0,0,12,1,5,2022,2009,32.71232877,19.71232877
1,1,5,25,0,1,6,711,5,109,25.78,1.2,29.62,18,33.33,0,1,0,4,3,3,5,14,7,2011,2010,27.0,26.0
1,0,74,71,17,1,1255,2200,66,113,25.36,22.01,31.42,1091,115.03,0,3,4,13,5,6,91,40,5,2004,2006,20.810958900000003,22.810958900000003
0,1,60,39,8,0,1892,1074,103,140,55.76,36.38,27.53,1428,132.49,1,1,16,9,2,2,62,22,8,2017,2017,29.904109589999997,29.904109589999997
1,0,63,37,13,5,1296,1608,72,190,52.56,25.92,50.25,939,138.01,0,5,7,10,2,1,67,23,7,2019,2019,28.19178082,28.19178082
1,0,4,4,0,0,113,46,50,24,18.83,28.25,11.5,80,141.25,0,0,1,0,0,0,4,3,8,1999,2007,25.18356164,33.18356164
0,1,22,102,3,5,405,3538,43,218,30.18,21.31,36.47,379,106.86,0,8,0,17,3,5,26,56,5,2010,2010,21.47671233,21.47671233
1,1,1,6,0,0,0,125,0,69,25.57,0.0,20.83,1,0.0,0,0,0,1,1,1,1,3,5,2009,2009,33.03561644,33.03561644
1,0,44,96,4,8,847,3582,66,173,25.9,21.17,40.7,731,115.86,0,12,3,14,2,8,45,54,1,2016,2015,24.89589041,23.89589041
0,1,46,37,9,1,1408,1497,99,200,44.5,38.05,41.58,1102,127.76,0,4,10,8,1,3,50,20,7,2021,2020,30.057534250000003,29.057534250000003
0,1,5,45,0,5,59,1038,23,95,15.2,11.8,25.95,51,115.68,0,0,0,6,0,8,5,24,7,2008,2008,23.28493151,23.28493151
1,1,4,109,0,14,120,4406,96,165,40.8,30.0,46.37,74,162.16,0,13,1,23,0,7,4,67,3,1992,2005,20.772602740000004,33.77260274
1,0,32,14,0,1,582,320,72,105,18.57,18.18,24.61,474,122.78,0,1,3,0,1,4,33,10,5,2004,2006,21.29589041,23.29589041
0,1,6,76,0,2,203,1760,61,108,24.62,33.83,23.78,161,126.08,0,1,2,8,0,7,6,43,5,2003,2007,21.772602740000004,25.772602740000004
1,1,3,2,0,0,38,24,22,18,31.0,12.66,12.0,36,105.55,0,0,0,0,1,0,3,1,0,2012,2011,26.93150685,25.93150685
0,1,1,12,0,0,22,111,22,29,14.62,22.0,9.25,20,110.0,0,0,0,0,0,3,1,6,5,1997,2009,25.01643836,37.01643836
0,0,33,27,8,1,311,687,31,91,10.66,12.44,26.42,241,129.04,0,0,0,4,4,4,48,17,9,2018,2017,24.53424658,23.53424658
0,1,84,6,3,0,1848,192,91,94,46.56,22.81,32.0,1390,132.94,0,0,11,2,6,0,92,3,9,2018,2017,28.30136986,27.30136986
0,1,17,30,6,4,194,1011,28,168,40.25,17.63,38.88,169,114.79,0,5,0,2,1,3,24,19,9,2009,2007,23.80821918,21.80821918
0,1,36,104,2,5,932,4154,75,206,39.68,27.41,41.95,783,119.02,0,9,7,22,2,7,37,58,10,2004,2007,22.79178082,25.79178082
1,0,4,2,2,0,32,46,14,39,17.9,16.0,23.0,54,59.25,0,0,0,0,1,0,5,1,0,2011,2010,30.40273973,29.40273973
0,0,4,10,0,3,55,186,41,79,20.25,13.75,26.57,39,141.02,0,0,0,1,0,0,15,7,3,1996,2006,25.47671233,35.47671233
1,1,68,4,8,1,1268,45,65,33,23.81,21.13,15.0,1212,104.62,0,0,3,0,4,2,81,2,4,2018,2008,32.47945205,22.47945205
1,0,69,12,12,1,1875,366,108,87,35.0,32.89,33.27,1319,142.15,2,0,10,3,3,1,78,7,7,2020,2017,23.64657534,20.64657534
0,0,11,6,1,0,111,135,29,37,27.0,11.1,22.5,85,130.58,0,0,0,0,2,0,14,3,6,2019,2020,27.65205479,28.65205479
1,0,91,4,34,0,1129,98,58,39,23.12,19.8,24.5,868,130.06,0,0,2,0,8,0,139,2,4,2019,2010,27.019178080000003,18.019178080000003
1,1,8,7,0,1,86,71,36,15,14.75,10.75,11.83,71,121.12,0,0,0,0,0,0,10,4,7,2008,2007,31.67945205,30.67945205
1,0,104,14,17,1,2600,339,145,104,35.4,29.88,26.07,1680,154.76,5,1,11,0,4,0,113,7,3,2013,2012,24.79178082,23.79178082
1,1,47,8,9,0,912,104,81,35,40.06,24.0,13.0,639,142.72,0,0,5,0,1,0,52,4,6,2019,2018,28.0,27.0
1,1,66,76,2,2,1662,2223,93,158,27.73,25.96,30.04,1418,117.2,0,5,11,8,1,10,66,38,0,2001,2006,17.97260274,22.97260274
1,1,32,24,9,1,707,1378,81,186,29.07,30.73,59.91,484,146.07,0,5,3,8,0,1,39,15,8,2022,2022,23.43287671,23.43287671
0,1,7,29,0,1,151,755,62,171,3.75,21.57,26.96,105,143.8,0,1,1,1,1,2,8,16,7,2013,2013,24.254794519999997,24.254794519999997
0,1,20,85,2,6,291,2088,44,155,34.71,16.16,26.43,267,108.98,0,3,0,10,1,11,26,44,1,2011,2012,21.97260274,22.97260274
1,1,42,32,8,2,1169,905,94,98,52.44,34.38,30.16,899,130.03,0,0,8,6,1,3,46,18,6,2019,2018,30.473972600000003,29.473972600000003
1,1,23,154,1,7,400,6167,90,228,36.13,18.18,41.95,318,125.78,0,14,3,26,4,11,23,90,6,1996,2005,22.43013699,31.43013699
