Batting Style,Playing Role,Innings_ODI_batting,Innings_Test_batting,NO_ODI,NO_Test,Runs_ODI_batting,Runs_Test_batting,HS_ODI,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,SR_ODI_batting,100_ODI,100_Test,50_ODI,50_Test,0_ODI,0_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,AgeStart_ODI,AgeStart_Test
1,1,228,176,28,9,6083,6453,166,302,30.41,35.66,38.64,6312,96.37,5,12,32,31,20,14,260,101,5,2002,2004,20.838356159999996,22.838356159999996
1,1,115,112,16,13,3122,3266,110,169,31.53,17.47,32.98,3706,84.24,2,4,16,18,2,8,126,66,7,2001,2008,23.76712329,30.76712329
1,1,21,11,2,2,575,503,123,203,30.26,26.14,55.88,657,87.51,1,1,3,2,3,0,25,6,7,2005,2005,30.58356164,30.58356164
1,1,25,117,2,16,573,3790,96,205,24.91,9.5,37.52,838,68.37,0,8,5,19,3,10,28,75,5,2010,2009,25.05479452,24.05479452
1,1,127,118,10,4,3859,4112,122,245,32.98,25.13,36.07,4456,86.6,3,9,29,18,14,12,130,63,2,2016,2015,21.48767123,20.48767123
0,1,11,43,1,3,395,1642,107,182,39.5,31.5,41.05,424,93.16,1,3,3,9,2,2,11,23,10,2016,2016,21.78356164,21.78356164
1,1,8,37,0,4,148,1091,49,102,18.5,25.6,33.06,230,64.34,0,1,0,7,1,2,8,21,2,2019,2019,27.28767123,27.28767123
1,1,203,68,15,4,6684,2320,145,171,35.55,23.94,36.25,8721,76.64,11,6,39,12,15,3,205,34,3,2004,2004,18.47671233,18.47671233
1,1,1,46,1,7,61,1139,61,113,0.0,0.0,29.2,76,80.26,0,2,1,4,0,3,1,25,10,2019,2018,26.45205479,25.45205479
1,1,114,94,13,9,5729,3898,158,196,56.72,41.03,45.85,6455,88.75,19,9,32,26,4,7,117,52,9,2015,2016,20.7890411,21.7890411
1,0,29,12,2,0,924,297,120,111,34.22,20.7,24.75,1153,80.13,1,1,6,0,0,3,37,6,1,2020,2023,21.2739726,24.2739726
1,0,22,43,8,5,552,1377,89,174,39.42,17.37,36.23,675,81.77,0,2,2,6,0,3,26,28,7,2020,2020,21.15342466,21.15342466
1,0,24,2,6,0,451,22,75,22,25.05,16.16,11.0,575,78.43,0,0,1,0,0,1,26,1,2,2021,2019,25.16712329,23.16712329
1,1,11,2,1,0,231,10,74,10,23.1,17.66,5.0,312,74.03,0,0,2,0,2,1,15,1,3,2022,2024,22.29589041,24.29589041
0,1,53,2,2,0,1271,15,87,15,24.92,31.34,7.5,1214,104.69,0,0,8,0,7,1,57,1,5,2013,2013,26.383561640000003,26.383561640000003
1,0,35,44,7,7,742,1432,74,120,26.5,15.78,38.7,699,106.15,0,2,4,8,2,6,45,29,5,2012,2016,26.019178080000003,30.019178080000003
1,1,8,4,0,0,53,13,19,10,6.62,13.23,3.25,86,61.62,0,0,0,0,4,1,9,2,11,2009,2009,24.071232879999997,24.071232879999997
1,1,183,91,16,10,4707,3116,117,142,28.18,31.16,38.46,6198,75.94,3,6,28,19,9,7,197,55,5,1997,1997,20.876712329999997,20.876712329999997
1,0,27,7,4,0,467,173,62,69,20.3,14.77,24.71,465,100.43,0,0,1,1,0,0,42,4,6,2013,2016,26.24657534,29.24657534
1,1,109,10,2,0,2474,175,99,60,23.12,19.05,17.5,3913,63.22,0,0,16,1,8,0,109,5,3,2005,2016,18.89589041,29.89589041
1,1,25,2,9,0,663,4,71,3,41.43,5.33,2.0,777,85.32,0,0,5,0,0,0,30,1,7,2009,2016,24.68767123,31.68767123
1,1,35,4,1,0,831,88,194,37,24.44,12.7,22.0,937,88.68,1,0,3,0,5,0,39,2,3,2003,2005,20.39178082,22.39178082
1,1,84,15,7,3,1624,418,95,96,21.09,22.67,34.83,2254,72.04,0,0,8,4,7,1,102,8,2,2006,2006,19.42739726,19.42739726
1,1,77,7,16,2,2072,146,105,46,33.96,32.8,29.2,2586,80.12,2,0,11,0,4,0,91,4,7,2005,2008,21.94794521,24.94794521
1,1,24,23,7,4,300,360,30,55,17.64,13.0,18.94,410,73.17,0,0,0,1,4,5,36,15,10,2000,1999,21.969863009999997,20.969863009999997
1,0,37,5,3,1,559,181,101,69,16.44,14.76,45.25,614,91.04,1,0,1,3,2,1,44,3,11,2011,2015,23.030136990000003,27.030136990000003
0,1,115,42,13,2,3376,1344,130,160,33.09,21.95,33.6,4437,76.08,4,3,20,5,11,2,119,21,3,2010,2011,24.94520548,25.94520548
1,0,88,83,24,15,1524,1888,95,137,23.81,16.33,27.76,1710,89.12,0,1,6,7,8,9,122,51,10,2011,2013,22.408219180000003,24.408219180000003
1,1,35,36,11,2,482,610,49,68,20.08,3.33,17.94,719,67.03,0,0,0,3,2,1,47,21,11,2003,2003,21.098630139999997,21.098630139999997
1,0,7,5,3,2,32,25,13,11,8.0,13.0,8.33,55,58.18,0,0,0,0,0,0,7,3,3,2016,2016,21.23013699,21.23013699
1,0,13,2,1,0,177,41,34,33,14.75,12.18,20.5,234,75.64,0,0,0,0,0,0,14,1,3,2013,2020,22.605479449999997,29.605479449999997
