,Player Name,Born,Age,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,BF_Test,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_T20,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,4_Test,5_ODI,5_T20,5_Test,10_ODI,10_T20,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,Current Status,SpanStart_ODI,SpanEnd_ODI,SpanStart_Test,SpanEnd_Test,SpanStart_T20,SpanEnd_T20
15,AD Mathews,6/2/1987,37.15616438,Right hand Bat,Right arm Medium,Allrounder,195,73,193,48,22,26,5916,1416,7608,139,81,200,40.24,27.76,45.55,7136,1175,0,82.9,120.51,3,0,16,40,6,41,17,1,5,163,72,84,5324,0,3948,4110,1389,1784,126,45,33,6/20,3/16,4/44,32.61,30.86,54.06,4.63,7.12,2.71,42.2,25.9,119.6,2,0,0,1,0,0,0,0,0,226,90,109,SL,Currently Playing,2008,2023,2009,2024,2009,2024
16,AD Russell,4/29/1988,36.24931507,Right hand Bat,Right arm Fast,Allrounder,47,71,1,9,24,0,1034,1033,2,92,71,2,27.21,21.97,2.0,794,631,0,130.22,163.7,0,0,0,4,3,0,6,9,0,55,71,2,2290,0,138,2229,1814,104,70,60,1,4/35,3/19,1/73,31.84,30.23,104.0,5.84,9.23,4.52,32.7,19.6,138.0,5,0,0,0,0,0,0,0,0,56,82,1,WI,Currently Playing,2011,2019,2010,2010,2011,2024
17,AG Cremer,9/19/1986,37.86027397,Right hand Bat,Legbreak Googly,Bowler,71,19,38,20,6,5,744,68,540,58,17,102,14.58,5.23,16.36,1196,102,0,62.2,66.66,0,0,1,1,0,0,7,2,7,95,28,27,4680,0,4214,3597,660,2604,119,35,57,6/46,3/11,5/125,30.22,18.85,45.68,4.61,6.94,3.7,39.3,16.2,73.9,4,0,0,3,0,1,0,0,0,96,29,19,ZIM,Retired,2009,2018,2005,2017,2008,2018
18,AJ Finch,11/17/1986,37.69863014,Right hand Bat,Slow Left arm Orthodox,Top order Batter,142,103,10,3,12,0,5406,3120,278,153,172,62,38.89,34.28,27.8,6162,2189,0,87.73,142.53,17,2,0,30,19,2,16,8,1,21,2,1,284,0,12,259,27,8,4,0,0,1/2,-,-,64.75,0.0,0.0,5.47,13.5,4.0,71.0,0.0,0.0,0,0,0,0,0,0,0,0,0,146,103,5,AUS,Retired,2013,2022,2018,2018,2011,2022
19,AJ Hall,7/31/1975,48.99726027,Right hand Bat,Right arm Fast medium,Allrounder,56,1,33,13,0,4,905,11,760,81,11,163,21.04,11.0,26.2,1206,10,0,75.04,110.0,0,0,1,3,0,3,5,0,7,78,2,38,3341,0,3001,2515,60,1617,95,3,45,5/18,3/22,3/1,26.47,20.0,35.93,4.51,7.5,3.23,35.1,16.0,66.6,3,0,0,1,0,0,0,0,0,88,2,21,SA,Retired,1999,2007,2002,2007,2006,2006
20,AJ McKay,4/17/1980,44.28219178,Right hand Bat,Left arm Fast medium,Bowler,10,1,2,7,0,1,12,0,25,4,0,20,4.0,0.0,25.0,47,1,0,25.53,0.0,0,0,0,0,0,0,3,1,0,19,2,1,926,0,186,800,31,120,27,2,1,4/53,2/20,1/120,29.62,15.5,120.0,5.18,5.47,3.87,34.2,17.0,186.0,2,0,0,0,0,0,0,0,0,19,2,1,NZ,Retired,2010,2012,2010,2010,2010,2010
21,AJ Redmond,9/23/1979,44.84931507,Right hand Bat,Legbreak,Top order Batter,6,6,16,0,0,1,152,126,325,52,63,83,25.33,21.0,21.66,259,84,0,58.68,150.0,0,0,0,1,1,2,0,0,1,0,1,5,0,0,105,0,24,80,0,2,3,-,2/24,2/47,0.0,12.0,26.66,0.0,8.47,4.57,0.0,8.5,35.0,0,0,0,0,0,0,0,0,0,6,7,8,NZ,Retired,2009,2010,2008,2013,2009,2010
22,AJ Strauss,3/2/1977,47.40821918,Left hand Bat,Left arm Medium,Opening Batter,126,4,178,8,0,6,4205,73,7037,158,33,177,35.63,18.25,40.91,5195,64,0,80.94,114.06,6,0,21,27,0,27,9,1,15,1,0,0,6,0,0,3,0,0,0,0,0,-,-,-,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,127,4,100,ENG,Retired,2003,2011,2004,2012,2005,2009
23,AK Markram,10/4/1994,29.81917808,Right hand Bat,Right arm Offbreak,Opening Batter,65,44,67,7,7,1,2121,1241,2398,175,70,152,36.56,33.54,36.33,2158,864,0,98.28,143.63,3,0,7,10,9,10,4,2,6,30,23,13,881,0,249,833,375,130,18,12,2,2/18,3/21,2/27,46.27,31.25,65.0,5.67,7.97,3.13,48.9,23.5,124.5,0,0,0,0,0,0,0,0,0,68,48,37,SA,Currently Playing,2017,2023,2017,2024,2019,2024
24,AL Phehlukwayo,3/3/1996,28.40547945,Left hand Bat,Right arm Medium fast,Bowling Allrounder,51,25,4,18,7,2,853,166,19,69,27,9,25.84,9.22,9.5,973,153,0,87.66,108.49,0,0,0,2,0,0,4,7,1,73,39,8,2995,0,250,2889,1112,147,91,50,11,4/22,4/24,3/13,31.74,22.24,13.36,5.78,8.91,3.52,32.9,14.9,22.7,3,1,0,0,0,0,0,0,0,78,42,4,SA,Currently Playing,2016,2023,2017,2018,2017,2024
25,AM Blignaut,8/1/1978,45.99452055,Left hand Bat,Right arm Medium fast,Allrounder,41,1,36,8,0,3,626,8,886,63,8,92,18.96,8.0,26.84,589,8,0,106.28,100.0,0,0,0,5,0,6,3,0,6,53,0,30,2348,0,3173,2063,0,1964,50,0,53,4/43,-,5/73,41.26,0.0,37.05,5.27,0.0,3.71,46.9,0.0,59.8,2,0,0,0,0,3,0,0,0,54,1,19,ZIM,Retired,1999,2010,2001,2005,2010,2010
26,AM Fernando,7/31/1997,26.99726027,Right hand Bat,Right arm Medium fast,Bowler,2,2,19,1,2,7,1,10,36,1,10,10,1.0,0.0,3.0,6,4,0,16.66,250.0,0,0,0,0,0,0,1,0,7,6,4,22,270,0,2125,269,160,1197,5,3,45,2/23,1/34,6/51,53.8,53.33,26.6,5.97,11.42,3.37,54.0,28.0,47.2,0,0,0,0,0,1,0,0,1,7,5,14,SL,Currently Playing,2017,2024,2021,2024,2022,2024
27,AM Rahane,6/6/1988,36.14520548,Right hand Bat,Right arm Medium,Top order Batter,87,20,144,3,2,12,2962,375,5077,111,61,188,35.26,20.83,38.46,3767,331,0,78.63,113.29,3,0,12,24,1,26,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,90,20,85,IND,Retired,2011,2018,2013,2023,2011,2016
