Player Name,Born,Age,Batting Style,Bowling Style,Playing Role,Height,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,BF_Test,SR_ODI_batting,SR_T20_batting,SR_Test_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Span Start_ODI_batting,Span Start_T20_batting,Span Start_Test_batting,Span End_ODI_batting,Span End_T20_batting,Span End_Test_batting,Current Status_ODI_batting,Current Status_T20_batting,Current Status_Test_batting,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_T20,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,4_Test,5_ODI,5_T20,5_Test,10_ODI,10_T20,10_Test,Span Start_ODI_bowling,Span Start_T20_bowling,Span Start_Test_bowling,Span End_ODI_bowling,Span End_T20_bowling,Span End_Test_bowling,Current Status_ODI_bowling,Current Status_T20_bowling,Current Status_Test_bowling,ODI_Matches,T20_Matches,Test_Matches
AB Agarkar (IND),"December 04, 1977, Bombay (now Mumbai), Maharashtra",46y 238d,Right hand Bat,Right arm Fast,Bowler,,113.0,2.0,39.0,26.0,0.0,5.0,1269.0,15.0,571.0,95,14,109*,14.58,7.5,16.79,1574.0,11.0,0.0,80.62,136.36,,0.0,0.0,1.0,3.0,0.0,0.0,10.0,0.0,9.0,1998,2006,1998,2007,2007,2006,Retired,Retired,Retired,188.0,3.0,46.0,9484.0,0.0,4857.0,8021.0,85.0,2745.0,288.0,3.0,58.0,6/42,2/10,6/41,27.85,28.33,47.32,5.07,8.09,3.39,32.9,21.0,83.7,10.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1998,2006,1998,2007,2007,2006,Retired,Retired,Retired,191,4,26
AB Barath (WI),"April 14, 1990, Chaguanas, Trinidad",34y 106d,Right hand Bat,Right arm Offbreak,Opening Batter,,14.0,2.0,28.0,1.0,0.0,0.0,394.0,23.0,657.0,113,15,104,30.3,11.5,23.46,612.0,39.0,0.0,64.37,58.97,,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,2010,2010,2009,2012,2011,2012,Retired,Retired,Retired,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,-,-,-,,,,,,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2010,2009,2012,2011,2012,Retired,Retired,Retired,14,2,15
AC Agar (AUS),"October 14, 1993, Melbourne, Victoria",30y 289d,Left hand Bat,Slow Left arm Orthodox,Bowler,,18.0,29.0,7.0,5.0,5.0,1.0,322.0,279.0,195.0,48*,29,98,24.76,11.62,32.5,388.0,278.0,0.0,82.98,100.35,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2015,2016,2013,2023,2024,2023,Retired,Currently Playing,Retired,22.0,49.0,10.0,1098.0,0.0,1006.0,958.0,1129.0,468.0,21.0,49.0,9.0,2/31,6/30,3/46,45.61,23.04,52.0,5.23,6.5,2.79,52.2,21.2,111.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2015,2016,2013,2023,2024,2023,Retired,Currently Playing,Retired,22,49,5
AC Voges (AUS),"October 04, 1979, Subiaco, Perth, Western Australia",44y 299d,Right hand Bat,Slow Left arm Orthodox,Top order Batter,,28.0,5.0,31.0,9.0,2.0,7.0,870.0,139.0,1485.0,112*,51,269*,45.78,46.33,61.87,998.0,114.0,0.0,87.17,121.92,,1.0,0.0,5.0,4.0,1.0,4.0,0.0,0.0,2.0,2007,2007,2015,2013,2013,2016,Retired,Retired,Retired,15.0,1.0,6.0,301.0,0.0,76.0,276.0,5.0,44.0,6.0,2.0,0.0,1/3,2/5,-,46.0,2.5,,5.5,2.5,3.47,50.1,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,2007,2015,2013,2013,2016,Retired,Retired,Retired,31,7,20
AD Hales (ENG),"January 03, 1989, Hillingdon, Middlesex",35y 208d,Right hand Bat,Right arm Medium,Opening Batter,,67.0,75.0,21.0,3.0,8.0,0.0,2419.0,2074.0,573.0,171,116*,94,37.79,30.95,27.28,2527.0,1499.0,0.0,95.72,138.35,,6.0,1.0,0.0,14.0,12.0,5.0,5.0,5.0,0.0,2014,2011,2015,2019,2022,2016,Retired,Retired,Retired,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,-,-,-,,,,,,0.66,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2011,2015,2019,2022,2016,Retired,Retired,Retired,70,75,11
AD Mathews (SL),"June 02, 1987, Colombo",37y 57d,Right hand Bat,Right arm Medium,Allrounder,,195.0,73.0,193.0,48.0,22.0,26.0,5916.0,1416.0,7608.0,139*,81*,200*,40.24,27.76,45.55,7136.0,1175.0,0.0,82.9,120.51,,3.0,0.0,16.0,40.0,6.0,41.0,17.0,1.0,5.0,2008,2009,2009,2023,2024,2024,Retired,Currently Playing,Currently Playing,163.0,72.0,84.0,5324.0,0.0,3948.0,4110.0,1389.0,1784.0,126.0,45.0,33.0,6/20,3/16,4/44,32.61,30.86,54.06,4.63,7.12,2.71,42.2,25.9,119.6,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2008,2009,2009,2023,2024,2024,Retired,Currently Playing,Currently Playing,226,90,109
AD Russell (WI),"April 29, 1988, Jamaica",36y 91d,Right hand Bat,Right arm Fast,Allrounder,,47.0,71.0,1.0,9.0,24.0,0.0,1034.0,1033.0,2.0,92*,71,2,27.21,21.97,2.0,794.0,631.0,0.0,130.22,163.7,,0.0,0.0,0.0,4.0,3.0,0.0,6.0,9.0,0.0,2011,2011,2010,2019,2024,2010,Retired,Currently Playing,Retired,55.0,71.0,2.0,2290.0,0.0,138.0,2229.0,1814.0,104.0,70.0,60.0,1.0,4/35,3/19,1/73,31.84,30.23,104.0,5.84,9.23,4.52,32.7,19.6,138.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,2011,2010,2019,2024,2010,Retired,Currently Playing,Retired,56,82,1
AG Cremer (ZIM),"September 19, 1986, Harare",37y 314d,Right hand Bat,Legbreak Googly,Bowler,,71.0,19.0,38.0,20.0,6.0,5.0,744.0,68.0,540.0,58,17,102*,14.58,5.23,16.36,1196.0,102.0,0.0,62.2,66.66,,0.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,7.0,2009,2008,2005,2018,2018,2017,Retired,Retired,Retired,95.0,28.0,27.0,4680.0,0.0,4214.0,3597.0,660.0,2604.0,119.0,35.0,57.0,6/46,3/11,5/125,30.22,18.85,45.68,4.61,6.94,3.7,39.3,16.2,73.9,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2009,2008,2005,2018,2018,2017,Retired,Retired,Retired,96,29,19
AJ Finch (AUS),"November 17, 1986, Colac, Victoria",37y 255d,Right hand Bat,Slow Left arm Orthodox,Top order Batter,,142.0,103.0,10.0,3.0,12.0,0.0,5406.0,3120.0,278.0,153*,172,62,38.89,34.28,27.8,6162.0,2189.0,0.0,87.73,142.53,,17.0,2.0,0.0,30.0,19.0,2.0,16.0,8.0,1.0,2013,2011,2018,2022,2022,2018,Retired,Retired,Retired,21.0,2.0,1.0,284.0,0.0,12.0,259.0,27.0,8.0,4.0,0.0,0.0,1/2,-,-,64.75,,,5.47,13.5,4.0,71.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,2011,2018,2022,2022,2018,Retired,Retired,Retired,146,103,5
AJ Hall (SA),"July 31, 1975, Johannesburg, Transvaal",48y 364d,Right hand Bat,Right arm Fast medium,Allrounder,,56.0,1.0,33.0,13.0,0.0,4.0,905.0,11.0,760.0,81,11,163,21.04,11.0,26.2,1206.0,10.0,0.0,75.04,110.0,,0.0,0.0,1.0,3.0,0.0,3.0,5.0,0.0,7.0,1999,2006,2002,2007,2006,2007,Retired,Retired,Retired,78.0,2.0,38.0,3341.0,0.0,3001.0,2515.0,60.0,1617.0,95.0,3.0,45.0,5/18,3/22,3/1,26.47,20.0,35.93,4.51,7.5,3.23,35.1,16.0,66.6,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1999,2006,2002,2007,2006,2007,Retired,Retired,Retired,88,2,21
