Player Name,Born,Age,Batting Style,Bowling Style,Playing Role,Height,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,BF_Test,SR_ODI_batting,SR_T20_batting,SR_Test_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Span Start_ODI_batting,Span Start_T20_batting,Span Start_Test_batting,Span End_ODI_batting,Span End_T20_batting,Span End_Test_batting,Current Status_ODI_batting,Current Status_T20_batting,Current Status_Test_batting,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_T20,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,4_Test,5_ODI,5_T20,5_Test,10_ODI,10_T20,10_Test,Span Start_ODI_bowling,Span Start_T20_bowling,Span Start_Test_bowling,Span End_ODI_bowling,Span End_T20_bowling,Span End_Test_bowling,Current Status_ODI_bowling,Current Status_T20_bowling,Current Status_Test_bowling,ODI_Matches,T20_Matches,Test_Matches
D Pretorius (SA),"March 29, 1989, Randfontein",35y 122d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,,13.0,17.0,10.0,1.0,5.0,1.0,192.0,261.0,105.0,50,77*,9,16.0,21.75,10.58,224.0,159.0,0.0,85.71,164.15,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2016,2017,2019,2022,2022,2020,Retired,Retired,Retired,26.0,27.0,14.0,1144.0,0.0,1050.0,947.0,696.0,682.0,35.0,35.0,13.0,4/36,5/17,2/26,27.05,19.88,53.83,4.96,8.28,3.835,32.6,14.4,81.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2016,2017,2019,2022,2022,2020,Retired,Retired,Retired,27,30,3
D Ramdin (WI),"March 13, 1985, Couva, Trinidad",39y 138d,Right hand Bat,,Wicketkeeper Batter,,110.0,50.0,126.0,22.0,16.0,14.0,2200.0,636.0,2898.0,169,55*,166,25.0,18.7,25.87,2738.0,551.0,0.0,80.35,115.42,,2.0,0.0,4.0,8.0,1.0,15.0,4.0,3.0,9.0,2005,2006,2005,2016,2019,2016,Retired,Retired,Retired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,2006,2005,2016,2019,2016,Retired,Retired,Retired,139,71,74
DA Warner (AUS),"October 27, 1986, Paddington, New South Wales",37y 276d,Left hand Bat,Legbreak,Opening Batter,,159.0,110.0,205.0,6.0,12.0,8.0,6932.0,3277.0,8786.0,179,100*,335*,45.3,33.43,44.59,7127.0,2300.0,0.0,97.26,142.47,,22.0,1.0,26.0,33.0,28.0,37.0,4.0,6.0,13.0,2009,2009,2011,2023,2024,2024,Retired,Currently Playing,Currently Playing,1.0,0.0,19.0,6.0,0.0,342.0,8.0,0.0,269.0,0.0,0.0,4.0,-,-,2/45,,,67.25,8.0,,4.71,,,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009,2011,2023,2024,2024,Retired,Currently Playing,Currently Playing,161,110,112
DAJ Bracewell (NZ),"September 28, 1990, Tauranga, Bay of Plenty",33y 305d,Right hand Bat,Right arm Fast medium,Bowler,,14.0,11.0,45.0,2.0,5.0,4.0,221.0,126.0,568.0,57,44,47,18.41,21.0,13.85,274.0,90.0,0.0,80.65,140.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,2011,2011,2011,2022,2021,2023,Retired,Retired,Retired,21.0,18.0,51.0,1016.0,0.0,5164.0,845.0,470.0,2873.0,26.0,20.0,74.0,4/55,3/25,6/40,32.5,23.5,38.82,4.99,9.09,3.33,39.0,15.5,69.7,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2011,2011,2011,2022,2021,2023,Retired,Retired,Retired,21,20,28
DAS Gunaratne (SL),"January 08, 1986, Kandy",38y 203d,Right hand Bat,Right arm Medium fast,Batter,,25.0,12.0,10.0,4.0,3.0,2.0,575.0,225.0,455.0,114*,84*,116,27.38,25.0,56.87,724.0,178.0,0.0,79.41,126.4,,1.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,2016,2016,2016,2019,2017,2017,Retired,Retired,Retired,25.0,10.0,6.0,834.0,0.0,156.0,723.0,204.0,114.0,22.0,5.0,3.0,3/10,1/11,2/28,32.86,40.8,38.0,5.2,8.21,4.38,37.9,29.8,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,2016,2016,2019,2017,2017,Retired,Retired,Retired,31,12,6
DBL Powell (WI),"April 15, 1978, Jamaica",46y 105d,Right hand Bat,Right arm Fast medium,Bowler,,25.0,1.0,57.0,3.0,1.0,5.0,118.0,1.0,407.0,48*,1*,36*,5.36,,7.82,164.0,1.0,0.0,71.95,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15.0,2002,2007,2002,2009,2007,2009,Retired,Retired,Retired,55.0,5.0,66.0,2850.0,0.0,7077.0,2239.0,131.0,4068.0,71.0,2.0,85.0,4/27,1/6,5/25,31.53,65.5,47.85,4.71,7.7,3.44,40.1,51.0,83.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2002,2007,2002,2009,2007,2009,Retired,Retired,Retired,55,5,37
DC Thomas (WI),"November 12, 1989, Willikies, Antigua",34y 260d,Right hand Bat,Right arm Medium,Top order Batter,,19.0,8.0,2.0,2.0,2.0,0.0,238.0,51.0,31.0,37,31*,19,14.0,8.5,15.5,364.0,54.0,0.0,65.38,94.44,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2009,2009,2022,2013,2022,2022,Retired,Retired,Retired,1.0,0.0,2.0,7.0,0.0,96.0,11.0,0.0,66.0,2.0,0.0,2.0,2/11,-,2/53,5.5,,33.0,9.42,,4.12,3.5,,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009,2022,2013,2022,2022,Retired,Retired,Retired,21,12,1
DE Bernard (WI),"July 19, 1981, Kingston, Jamaica",43y 10d,Right hand Bat,Right arm Medium fast,,,12.0,1.0,6.0,2.0,1.0,1.0,141.0,1.0,202.0,38,1*,69,14.1,,40.4,219.0,1.0,0.0,64.38,100.0,,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2003,2009,2003,2010,2009,2009,Retired,Retired,Retired,17.0,1.0,5.0,624.0,0.0,258.0,526.0,17.0,185.0,14.0,0.0,4.0,3/32,-,2/30,37.57,,46.25,5.05,4.25,4.3,44.5,,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,2009,2003,2010,2009,2009,Retired,Retired,Retired,20,1,3
DE Bollinger (AUS),"July 24, 1981, Baulkham Hills, Sydney, New South Wales",43y 5d,Left hand Bat,Left arm Fast medium,Bowler,,8.0,2.0,14.0,2.0,2.0,7.0,50.0,1.0,54.0,30,1*,21,8.33,,7.71,54.0,1.0,0.0,92.59,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2009,2011,2009,2011,2014,2010,Retired,Retired,Retired,39.0,9.0,23.0,1942.0,0.0,2401.0,1482.0,249.0,1296.0,62.0,9.0,50.0,5/35,1/22,5/28,23.9,27.66,25.92,4.57,7.11,3.23,31.3,23.3,48.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2009,2011,2009,2011,2014,2010,Retired,Retired,Retired,39,9,12
DG Brownlie (NZ),"July 30, 1984, Perth, Western Australia",39y 365d,Right hand Bat,Right arm Medium,Middle order Batter,,15.0,5.0,25.0,1.0,0.0,1.0,361.0,6.0,711.0,63,5,109,25.78,1.2,29.62,486.0,18.0,0.0,74.27,33.33,,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,3.0,2012,2010,2011,2017,2014,2013,Retired,Retired,Retired,0.0,0.0,5.0,0.0,0.0,66.0,0.0,0.0,52.0,0.0,0.0,1.0,-,-,1/13,,,52.0,,,4.72,,,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2010,2011,2017,2014,2013,Retired,Retired,Retired,16,5,14
DJ Bravo (WI),"October 07, 1983, Santa Cruz, Trinidad",40y 296d,Right hand Bat,Right arm Medium,Allrounder,,141.0,74.0,71.0,24.0,17.0,1.0,2968.0,1255.0,2200.0,112*,66*,113,25.36,22.01,31.42,3606.0,1091.0,0.0,82.3,115.03,,2.0,0.0,3.0,10.0,4.0,13.0,11.0,5.0,6.0,2004,2006,2004,2014,2021,2010,Retired,Retired,Retired,150.0,77.0,61.0,6511.0,0.0,6466.0,5874.0,2036.0,3426.0,199.0,78.0,86.0,6/43,4/19,6/55,29.51,26.1,39.83,5.41,8.11,3.17,32.7,19.2,75.1,6.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2004,2006,2004,2014,2021,2010,Retired,Retired,Retired,164,91,40
DJ Malan (ENG),"September 03, 1987, Roehampton, England",36y 330d,Left hand Bat,Legbreak,Top order Batter,,30.0,60.0,39.0,4.0,8.0,0.0,1450.0,1892.0,1074.0,140,103*,140,55.76,36.38,27.53,1488.0,1428.0,0.0,97.44,132.49,,6.0,1.0,1.0,7.0,16.0,9.0,5.0,2.0,2.0,2019,2017,2017,2023,2023,2022,Retired,Retired,Retired,2.0,1.0,8.0,15.0,0.0,222.0,17.0,27.0,131.0,1.0,1.0,2.0,1/5,1/27,2/33,17.0,27.0,65.5,6.8,13.5,3.54,15.0,12.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,2017,2017,2023,2023,2022,Retired,Retired,Retired,30,62,22
DJ Mitchell (NZ),"May 20, 1991, Hamilton",33y 70d,Right hand Bat,Right arm Medium,Batting Allrounder,,35.0,63.0,37.0,5.0,13.0,5.0,1577.0,1296.0,1608.0,134,72*,190,52.56,25.92,50.25,1608.0,939.0,0.0,98.07,138.01,,6.0,0.0,5.0,5.0,7.0,10.0,0.0,2.0,1.0,2021,2019,2019,2023,2024,2024,Retired,Currently Playing,Currently Playing,14.0,12.0,20.0,291.0,0.0,685.0,275.0,183.0,350.0,13.0,8.0,3.0,3/25,2/27,1/7,21.15,22.87,116.66,5.67,10.87,3.06,22.3,12.6,228.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2019,2019,2023,2024,2024,Retired,Currently Playing,Currently Playing,39,67,23
DL Maddy (ENG),"May 23, 1974, Leicester",50y 67d,Right hand Bat,Right arm Medium,Allrounder,,6.0,4.0,4.0,0.0,0.0,0.0,113.0,113.0,46.0,53,50,24,18.83,28.25,11.5,206.0,80.0,0.0,54.85,141.25,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1998,2007,1999,2000,2007,2000,Retired,Retired,Retired,0.0,2.0,1.0,0.0,0.0,84.0,0.0,26.0,40.0,0.0,3.0,0.0,-,2/6,-,,8.66,,,8.66,2.85,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2007,1999,2000,2007,2000,Retired,Retired,Retired,8,4,3
DM Bravo (WI),"February 06, 1989, Trinidad",35y 174d,Left hand Bat,Right arm Medium,Top order Batter,,117.0,22.0,102.0,14.0,3.0,5.0,3109.0,405.0,3538.0,124,43*,218,30.18,21.31,36.47,4434.0,379.0,0.0,70.11,106.86,,4.0,0.0,8.0,18.0,0.0,17.0,9.0,3.0,5.0,2009,2010,2010,2022,2022,2020,Retired,Retired,Retired,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,-,-,-,,,,,,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2010,2010,2022,2022,2020,Retired,Retired,Retired,122,26,56
DM Richards (WI),"July 16, 1976, Isolation Road, Belleplaine, St Andrew, Barbados",48y 13d,Right hand Bat,Right arm Medium,Batter,,7.0,1.0,6.0,0.0,0.0,0.0,179.0,0.0,125.0,59,0,69,25.57,0.0,20.83,251.0,1.0,0.0,71.31,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2009,2009,2009,2010,2009,2010,Retired,Retired,Retired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009,2009,2010,2009,2010,Retired,Retired,Retired,8,1,3
DM de Silva (SL),"September 06, 1991, Colombo",32y 327d,Right hand Bat,Right arm Offbreak,Allrounder,,82.0,44.0,96.0,10.0,4.0,8.0,1865.0,847.0,3582.0,93,66*,173,25.9,21.17,40.7,2373.0,731.0,0.0,78.59,115.86,,0.0,0.0,12.0,10.0,3.0,14.0,4.0,2.0,8.0,2016,2015,2016,2023,2024,2024,Retired,Currently Playing,Currently Playing,75.0,25.0,81.0,2250.0,0.0,3693.0,1907.0,327.0,2020.0,44.0,16.0,34.0,3/32,2/22,3/25,43.34,20.43,59.41,5.08,6.86,3.28,51.1,17.8,108.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,2015,2016,2023,2024,2024,Retired,Currently Playing,Currently Playing,90,45,54
DP Conway (NZ),"July 08, 1991, Johannesburg, Transvaal",33y 21d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,,31.0,46.0,37.0,3.0,9.0,1.0,1246.0,1408.0,1497.0,152*,99*,200,44.5,38.05,41.58,1388.0,1102.0,0.0,89.76,127.76,,5.0,0.0,4.0,3.0,10.0,8.0,2.0,1.0,3.0,2021,2020,2021,2023,2024,2024,Retired,Currently Playing,Currently Playing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2020,2021,2023,2024,2024,Retired,Currently Playing,Currently Playing,32,50,20
DR Flynn (NZ),"April 16, 1985, New Zealand",39y 104d,Left hand Bat,Left arm Slow,Middle order Batter,,17.0,5.0,45.0,2.0,0.0,5.0,228.0,59.0,1038.0,35,23,95,15.2,11.8,25.95,360.0,51.0,0.0,63.33,115.68,,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,8.0,2008,2008,2008,2012,2012,2013,Retired,Retired,Retired,3.0,1.0,1.0,24.0,0.0,6.0,25.0,7.0,0.0,0.0,0.0,0.0,-,-,-,,,,6.25,7.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,2008,2008,2012,2012,2013,Retired,Retired,Retired,20,5,24
DR Martyn (AUS),"October 21, 1971, Darwin, Northern Territory",52y 282d,Right hand Bat,Right arm Medium,Top order Batter,,182.0,4.0,109.0,51.0,0.0,14.0,5346.0,120.0,4406.0,144*,96,165,40.8,30.0,46.37,6877.0,74.0,0.0,77.73,162.16,,5.0,0.0,13.0,37.0,1.0,23.0,10.0,0.0,7.0,1992,2005,1992,2006,2006,2006,Retired,Retired,Retired,31.0,0.0,12.0,794.0,0.0,348.0,704.0,0.0,168.0,12.0,0.0,2.0,2/21,-,1/0,58.66,,84.0,5.31,,2.89,66.1,,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992,2005,1992,2006,2006,2006,Retired,Retired,Retired,208,4,67
DR Smith (WI),"April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados",41y 108d,Right hand Bat,Right arm Medium,Allrounder,,89.0,32.0,14.0,5.0,0.0,1.0,1560.0,582.0,320.0,97,72,105*,18.57,18.18,24.61,1683.0,474.0,0.0,92.69,122.78,,0.0,0.0,1.0,8.0,3.0,0.0,14.0,1.0,4.0,2004,2006,2004,2015,2015,2006,Retired,Retired,Retired,73.0,11.0,13.0,2726.0,0.0,651.0,2285.0,212.0,344.0,61.0,7.0,7.0,5/45,3/24,3/71,37.45,30.28,49.14,5.02,8.95,3.17,44.6,20.2,93.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2004,2006,2004,2015,2015,2006,Retired,Retired,Retired,105,33,10
DR Tuffey (NZ),"June 11, 1978, Milton, Otago",46y 48d,Right hand Bat,Right arm Fast medium,Bowler,,52.0,2.0,36.0,21.0,1.0,10.0,295.0,5.0,427.0,36,5*,80*,9.51,5.0,16.42,372.0,5.0,0.0,79.3,100.0,,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,2000,2005,2000,2010,2010,2010,Retired,Retired,Retired,92.0,3.0,45.0,4333.0,0.0,4877.0,3534.0,93.0,2445.0,110.0,3.0,77.0,4/24,2/16,6/54,32.12,31.0,31.75,4.89,9.3,3.0,39.3,20.0,63.3,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2000,2005,2000,2010,2010,2010,Retired,Retired,Retired,94,3,26
DS Smith (WI),"October 21, 1981, Hermitage, Sauters, St Patrick, Grenada",42y 282d,Left hand Bat,Right arm Offbreak,Opening Batter,,45.0,6.0,76.0,2.0,0.0,2.0,1059.0,203.0,1760.0,107,61,108,24.62,33.83,23.78,1506.0,161.0,0.0,70.31,126.08,,1.0,0.0,1.0,5.0,2.0,8.0,4.0,0.0,7.0,2003,2007,2003,2013,2009,2018,Retired,Retired,Retired,2.0,0.0,1.0,17.0,0.0,6.0,17.0,0.0,3.0,0.0,0.0,0.0,-,-,-,,,,6.0,,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,2007,2003,2013,2009,2018,Retired,Retired,Retired,47,6,43
DT Tiripano (ZIM),"March 17, 1988, Mutare",36y 134d,Right hand Bat,Right arm Fast medium,Bowler,,29.0,16.0,31.0,8.0,4.0,7.0,364.0,157.0,531.0,55*,28,95,17.33,13.08,22.12,549.0,158.0,0.0,66.3,99.36,,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,5.0,2014,2016,2014,2022,2022,2023,Retired,Retired,Retired,36.0,23.0,25.0,1508.0,0.0,2693.0,1456.0,617.0,1273.0,36.0,16.0,26.0,5/63,3/20,3/23,40.44,38.56,48.96,5.79,8.87,2.83,41.8,26.0,103.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014,2016,2014,2022,2022,2023,Retired,Retired,Retired,38,23,16
Ebadot Hossain (BAN),"January 07, 1994, Moulvi Bazar, Sylhet",30y 204d,Right hand Bat,Right arm Fast medium,Bowler,,6.0,0.0,32.0,4.0,0.0,16.0,3.0,0.0,50.0,1*,-,21*,1.5,,3.12,14.0,0.0,0.0,21.42,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,2022,2022,2019,2023,2022,2023,Retired,Retired,Retired,11.0,4.0,31.0,540.0,0.0,3317.0,504.0,140.0,1980.0,22.0,7.0,42.0,4/42,3/51,6/46,22.9,20.0,47.14,5.6,9.23,3.58,24.5,13.0,78.9,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2022,2022,2019,2023,2022,2023,Retired,Retired,Retired,12,4,20
Elias Sunny (BAN),"January 01, 1986, Dhaka",38y 210d,Left hand Bat,Slow Left arm Orthodox,Bowler,,4.0,4.0,6.0,2.0,2.0,1.0,2.0,9.0,38.0,1*,5,20*,1.0,4.5,7.6,11.0,9.0,0.0,18.18,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2011,2012,2011,2012,2012,2013,Retired,Retired,Retired,4.0,7.0,7.0,204.0,0.0,863.0,161.0,146.0,518.0,5.0,9.0,12.0,2/21,5/13,6/94,32.2,16.22,43.16,4.73,6.34,3.6,40.8,15.3,71.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2011,2012,2011,2012,2012,2013,Retired,Retired,Retired,4,7,4
F Mutizwa (ZIM),"August 24, 1985, Harare",38y 340d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,,15.0,3.0,2.0,2.0,0.0,0.0,403.0,38.0,24.0,79,22,18,31.0,12.66,12.0,502.0,36.0,0.0,80.27,105.55,,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,2009,2011,2012,2011,2012,2012,Retired,Retired,Retired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2011,2012,2011,2012,2012,Retired,Retired,Retired,17,3,1
FH Edwards (WI),"February 06, 1982, Gays, St Peter, Barbados",42y 174d,Right hand Bat,Right arm Fast,Bowler,,22.0,6.0,88.0,14.0,4.0,28.0,73.0,11.0,394.0,13,7*,30,9.12,5.5,6.56,160.0,14.0,0.0,45.62,78.57,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,19.0,2003,2007,2003,2009,2021,2012,Retired,Retired,Retired,49.0,26.0,97.0,2138.0,0.0,9602.0,1812.0,617.0,6249.0,60.0,20.0,165.0,6/22,3/23,7/87,30.2,30.85,37.87,5.08,8.24,3.9,35.6,22.4,58.1,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,2003,2007,2003,2009,2021,2012,Retired,Retired,Retired,50,26,55
FL Reifer (WI),"July 23, 1972, Parish Land, Christ Church, Barbados",52y 6d,Left hand Bat,Right arm Medium,Batter,,8.0,1.0,12.0,0.0,0.0,0.0,117.0,22.0,111.0,40,22,29,14.62,22.0,9.25,229.0,20.0,0.0,51.09,110.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1997,2009,1997,2009,2009,2009,Retired,Retired,Retired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,2009,1997,2009,2009,2009,Retired,Retired,Retired,8,1,6
Faheem Ashraf (PAK),"January 16, 1994, Kasur (Punjab)",30y 195d,Left hand Bat,Right arm Medium,Bowling Allrounder,,24.0,33.0,27.0,3.0,8.0,1.0,224.0,311.0,687.0,28,31,91,10.66,12.44,26.42,274.0,241.0,0.0,81.75,129.04,,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,2017,2017,2018,2023,2023,2023,Retired,Retired,Retired,33.0,46.0,31.0,1394.0,0.0,1908.0,1204.0,981.0,991.0,26.0,36.0,25.0,5/22,3/5,3/42,46.3,27.25,39.64,5.18,7.65,3.11,53.6,21.3,76.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2017,2017,2018,2023,2023,2023,Retired,Retired,Retired,34,48,17
Fakhar Zaman (PAK),"April 10, 1990, Mardan, North-West Frontier Province",34y 110d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,,81.0,84.0,6.0,6.0,3.0,0.0,3492.0,1848.0,192.0,210*,91,94,46.56,22.81,32.0,3737.0,1390.0,0.0,93.44,132.94,,11.0,0.0,0.0,16.0,11.0,2.0,6.0,6.0,0.0,2017,2017,2018,2023,2024,2019,Retired,Currently Playing,Retired,7.0,1.0,0.0,135.0,0.0,0.0,111.0,12.0,0.0,1.0,0.0,0.0,1/19,-,-,111.0,,,4.93,12.0,,135.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2017,2018,2023,2024,2019,Retired,Currently Playing,Retired,82,92,3
Fawad Alam (PAK),"October 08, 1985, Karachi",38y 295d,Left hand Bat,Slow Left arm Orthodox,Top order Batter,,36.0,17.0,30.0,12.0,6.0,4.0,966.0,194.0,1011.0,114*,28,168,40.25,17.63,38.88,1297.0,169.0,0.0,74.47,114.79,,1.0,0.0,5.0,6.0,0.0,2.0,3.0,1.0,3.0,2007,2007,2009,2015,2010,2022,Retired,Retired,Retired,13.0,6.0,3.0,398.0,0.0,96.0,377.0,95.0,54.0,5.0,8.0,2.0,1/8,3/7,2/46,75.4,11.87,27.0,5.68,6.33,3.37,79.6,11.2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,2007,2009,2015,2010,2022,Retired,Retired,Retired,38,24,19
G Coetzee (SA),2-Oct-00,23y 301d,Right hand Bat,Right arm Fast,Bowler,,7.0,5.0,5.0,0.0,0.0,1.0,57.0,25.0,66.0,22,13,20,8.14,5.0,16.5,90.0,29.0,0.0,63.33,86.2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2023,2023,2023,2023,2024,2023,Retired,Currently Playing,Retired,14.0,6.0,6.0,666.0,0.0,366.0,720.0,207.0,245.0,31.0,8.0,10.0,4/44,3/32,3/37,23.22,25.87,24.5,6.48,10.18,4.01,21.4,15.2,36.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,2023,2023,2023,2024,2023,Retired,Currently Playing,Retired,14,6,3
G Gambhir (IND),"October 14, 1981, Delhi",42y 289d,Left hand Bat,Legbreak,Top order Batter,,143.0,36.0,104.0,11.0,2.0,5.0,5238.0,932.0,4154.0,150*,75,206,39.68,27.41,41.95,6144.0,783.0,0.0,85.25,119.02,,11.0,0.0,9.0,34.0,7.0,22.0,11.0,2.0,7.0,2003,2007,2004,2013,2012,2016,Retired,Retired,Retired,1.0,0.0,1.0,6.0,0.0,12.0,13.0,0.0,4.0,0.0,0.0,0.0,-,-,-,,,,13.0,,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,2007,2004,2013,2012,2016,Retired,Retired,Retired,147,37,58
G Motie (WI),"March 29, 1995, Georgetown, Guyana",29y 122d,Left hand Bat,Slow Left arm Orthodox,Bowler,,9.0,5.0,10.0,3.0,4.0,5.0,70.0,7.0,117.0,39*,4*,31*,11.66,7.0,23.4,99.0,12.0,0.0,70.7,58.33,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2022,2021,2022,2024,2024,2024,Currently Playing,Currently Playing,Currently Playing,13.0,15.0,11.0,661.0,0.0,1088.0,436.0,364.0,561.0,22.0,21.0,25.0,4/23,3/22,7/37,19.81,17.33,22.44,3.95,7.0,3.09,30.0,14.8,43.5,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2022,2021,2022,2024,2024,2024,Currently Playing,Currently Playing,Currently Playing,13,15,7
GA Lamb (ZIM),"March 04, 1981, Harare",43y 147d,Right hand Bat,Right arm Offbreak,Allrounder,,14.0,4.0,2.0,3.0,2.0,0.0,197.0,32.0,46.0,37,14*,39,17.9,16.0,23.0,381.0,54.0,0.0,51.7,59.25,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2010,2010,2011,2011,2010,2011,Retired,Retired,Retired,15.0,5.0,2.0,642.0,0.0,192.0,467.0,80.0,141.0,12.0,4.0,3.0,3/45,2/14,3/120,38.91,20.0,47.0,4.36,6.57,4.4,53.5,18.2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2010,2011,2011,2010,2011,Retired,Retired,Retired,15,5,1
