,Player Name,Player URL,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
24,Karan KC (NEP),https://www.espncricinfo.com/ci/content/player/800675.html,2015-2024,70,70,225,6,1755,90,5/21,19.5,7.8,15,3,1,"October 10, 1991, Sigana V.D.C, Baglung",32y 293d,Right hand Bat,Right arm Fast,Allrounder
25,B Kumar (IND),https://www.espncricinfo.com/ci/content/player/326016.html,2012-2022,87,86,298.3,10,2079,90,5/4,23.1,6.96,19.9,3,2,"February 05, 1990, Meerut, Uttar Pradesh",34y 175d,Right hand Bat,Right arm Medium,Bowler
26,JJ Bumrah (IND),https://www.espncricinfo.com/ci/content/player/625383.html,2016-2024,70,69,251.3,12,1579,89,3/7,17.74,6.27,16.9,0,0,"December 06, 1993, Ahmedabad",30y 236d,Right hand Bat,Right arm Fast,Bowler
27,T Shamsi (SA),https://www.espncricinfo.com/ci/content/player/379145.html,2017-2024,70,70,251.3,1,1860,89,5/24,20.89,7.39,16.9,3,1,"February 18, 1990, Johannesburg, Gauteng",34y 162d,Right hand Bat,Left arm Wrist spin,Bowler
28,HH Pandya (IND),https://www.espncricinfo.com/ci/content/player/625371.html,2016-2024,102,91,269.5,3,2205,86,4/16,25.63,8.17,18.8,3,0,"October 11, 1993, Choryasi, Gujarat",30y 292d,Right hand Bat,Right arm Medium fast,Allrounder
29,Saeed Ajmal (PAK),https://www.espncricinfo.com/ci/content/player/42699.html,2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0,"October 14, 1977, Faisalabad, Punjab",46y 289d,Right hand Bat,Right arm Offbreak,Bowler
30,Umar Gul (PAK),https://www.espncricinfo.com/ci/content/player/43524.html,2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2,"October 15, 1982, Peshawar, North-Western Frontier Province",41y 288d,Right hand Bat,Right arm Fast medium,Bowler
31,Arshdeep Singh (IND),https://www.espncricinfo.com/ci/content/player/1125976.html,2022-2024,54,54,185.5,2,1557,83,4/9,18.75,8.37,13.4,2,0,"February 05, 1999, Guna, Madhya Pradesh",25y 175d,Left hand Bat,Left arm Medium fast,Bowler
32,TA Boult (NZ),https://www.espncricinfo.com/ci/content/player/277912.html,2013-2024,61,61,231.3,4,1779,83,4/13,21.43,7.68,16.7,2,0,"July 22, 1989, Rotorua",35y 7d,Right hand Bat,Left arm Fast medium,Bowler
33,GH Dockrell (IRE),https://www.espncricinfo.com/ci/content/player/348034.html,2010-2024,139,93,266.2,1,1905,83,4/20,22.95,7.15,19.2,1,0,"July 22, 1992, Dublin",32y 7d,Right hand Bat,Slow Left arm Orthodox,Allrounder
34,MRJ Watt (SCOT),https://www.espncricinfo.com/ci/content/player/659081.html,2015-2024,67,64,233.1,4,1605,80,5/27,20.06,6.88,17.4,2,1,"July 29, 1996, Eastern General Hospital, Edinburgh",28y,Left hand Bat,Slow Left arm Orthodox,Bowler
35,MA Starc (AUS),https://www.espncricinfo.com/ci/content/player/311592.html,2012-2024,65,65,243,2,1881,79,4/20,23.81,7.74,18.4,1,0,"January 30, 1990, Baulkham Hills, Sydney, New South Wales",34y 181d,Left hand Bat,Left arm Fast,Bowler
36,DJ Bravo (WI),https://www.espncricinfo.com/ci/content/player/51439.html,2006-2021,91,77,250.5,0,2036,78,4/19,26.1,8.11,19.2,3,0,"October 07, 1983, Santa Cruz, Trinidad",40y 296d,Right hand Bat,Right arm Medium,Allrounder
37,JB Little (IRE),https://www.espncricinfo.com/ci/content/player/928067.html,2016-2024,69,68,254.2,2,1910,78,4/23,24.48,7.5,19.5,2,0,"November 01, 1999, Dublin",24y 271d,Right hand Bat,Left arm Fast medium,Bowler
38,SM Sharif (SCOT),https://www.espncricinfo.com/ci/content/player/414970.html,2012-2024,68,67,229.4,1,1860,76,4/24,24.47,8.09,18.1,2,0,"May 24, 1991, Huddersfield, Yorkshire",33y 66d,Right hand Bat,Right arm Medium fast,Bowler
39,A Bohara (NEP),https://www.espncricinfo.com/ci/content/player/1058508.html,2019-2024,62,59,201.4,2,1478,75,6/11,19.7,7.32,16.1,2,1,"July 30, 1997, Salyan",26y 365d,Right hand Bat,Right arm Medium,Bowler
