,Player Name,Player URL,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
232,AG Cremer (ZIM),https://www.espncricinfo.com/ci/content/player/55346.html,2008-2018,29,28,95,1,660,35,3/11,18.85,6.94,16.2,0,0,"September 19, 1986, Harare",37y 314d,Right hand Bat,Legbreak Googly,Bowler
233,AR Cusack (IRE),https://www.espncricinfo.com/ci/content/player/293983.html,2008-2015,37,33,101,3,714,35,4/11,20.4,7.06,17.3,3,0,"October 29, 1980, Brisbane, Australia",43y 274d,Right hand Bat,Right arm Medium fast,Bowler
234,Hamid Hassan (AFG),https://www.espncricinfo.com/ci/content/player/311427.html,2010-2021,25,25,90.4,2,580,35,4/22,16.57,6.39,15.5,1,0,"June 01, 1987, Nangarhar",37y 58d,Right hand Bat,Right arm Fast,Bowler
235,KA Maharaj (SA),https://www.espncricinfo.com/ci/content/player/267724.html,2021-2024,35,35,118.5,1,846,35,3/27,24.17,7.11,20.3,0,0,"February 07, 1990, Durban, Natal",34y 173d,Right hand Bat,Slow Left arm Orthodox,Bowler
236,Mohammed Nadeem (QAT),https://www.espncricinfo.com/ci/content/player/1058213.html,2019-2022,33,33,115,1,759,35,4/10,21.68,6.6,19.7,1,0,27-Feb-83,41y 153d,Right hand Bat,Slow Left arm Orthodox,
237,D Pretorius (SA),https://www.espncricinfo.com/ci/content/player/327830.html,2017-2022,30,27,84,0,696,35,5/17,19.88,8.28,14.4,0,1,"March 29, 1989, Randfontein",35y 122d,Right hand Bat,Right arm Medium fast,Bowling Allrounder
238,Raza Iqbal (NOR),https://www.espncricinfo.com/ci/content/player/917093.html,2019-2024,31,28,91,1,551,35,5/23,15.74,6.05,15.6,0,1,"June 17, 1986, Jhelum, Punjab, Pakistan",38y 42d,Left hand Bat,Slow Left arm Orthodox,
239,Siraj Ullah Khadem (PORT),https://www.espncricinfo.com/ci/content/player/56161.html,2021-2024,23,23,78.2,3,422,35,5/17,12.05,5.38,13.4,0,1,"June 10, 1988, Brahmanbaria, Bangladesh",36y 49d,Left hand Bat,Slow Left arm Orthodox,
240,JTS Sumerauer (JER),https://www.espncricinfo.com/ci/content/player/1112220.html,2019-2024,38,37,106.3,0,778,35,4/22,22.22,7.3,18.2,1,0,"February 12, 2001, Ngamiland",23y 168d,Right hand Bat,Right arm Fast medium,
241,Taranjeet Singh (ROM),https://www.espncricinfo.com/ci/content/player/1236495.html,2021-2024,32,31,97.2,2,669,35,4/17,19.11,6.87,16.6,2,0,7-Dec-85,38y 235d,Right hand Bat,Right arm Offbreak,
242,Aayan Afzal Khan (UAE),https://www.espncricinfo.com/ci/content/player/1241265.html,2022-2024,33,32,114.2,1,668,34,3/7,19.64,5.84,20.1,0,0,15-Nov-05,18y 257d,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
243,S Conteh (SLE),https://www.espncricinfo.com/ci/content/player/1155541.html,2021-2023,28,26,82.4,4,425,34,5/17,12.5,5.14,14.5,2,1,21-Sep-03,20y 312d,Right hand Bat,Right arm Medium,
244,NM Coulter-Nile (AUS),https://www.espncricinfo.com/ci/content/player/261354.html,2013-2019,28,27,97,1,802,34,4/31,23.58,8.26,17.1,1,0,"October 11, 1987, Osborne Park, Western Australia",36y 292d,Right hand Bat,Right arm Fast,Bowling Allrounder
245,DJ Hawoe (INA),https://www.espncricinfo.com/ci/content/player/1167318.html,2022-2024,31,29,91.3,4,589,34,3/11,17.32,6.43,16.1,0,0,19-Feb-01,23y 161d,Right hand Bat,Right arm Medium,
246,KV Morea (PNG),https://www.espncricinfo.com/ci/content/player/524255.html,2021-2024,21,21,71.2,0,511,34,5/9,15.02,7.16,12.5,2,1,30-Sep-93,30y 303d,Right hand Bat,Left arm Medium,Bowler
247,CH Morris (SA),https://www.espncricinfo.com/ci/content/player/439952.html,2012-2019,23,23,83,3,697,34,4/27,20.5,8.39,14.6,1,0,"April 30, 1987, Pretoria, Transvaal",37y 90d,Right hand Bat,Right arm Fast medium,Bowling Allrounder
248,Nasum Ahmed (BAN),https://www.espncricinfo.com/ci/content/player/348049.html,2021-2023,35,34,107.3,3,787,34,4/10,23.14,7.32,18.9,3,0,5-Dec-94,29y 237d,Left hand Bat,Slow Left arm Orthodox,Bowler
249,A Nathwani (Aut),https://www.espncricinfo.com/ci/content/player/1198871.html,2019-2023,29,28,91,0,628,34,3/14,18.47,6.9,16,0,0,8-Jul-01,23y 21d,Right hand Bat,Right arm Offbreak,
250,A Nehra (IND),https://www.espncricinfo.com/ci/content/player/31820.html,2009-2017,27,27,98,2,758,34,3/19,22.29,7.73,17.2,0,0,"April 29, 1979, Delhi",45y 91d,Right hand Bat,Left arm Medium fast,Bowler
251,EB Ringera (KENYA),https://www.espncricinfo.com/ci/content/player/475816.html,2019-2024,35,31,96.5,2,637,34,4/16,18.73,6.57,17,2,0,"September 08, 1993, Kakamega, Kenya",30y 325d,Right hand Bat,Right arm Medium fast,Bowler
252,Sarfaraz Ali (BHR),https://www.espncricinfo.com/ci/content/player/1172124.html,2019-2024,47,41,123.4,0,880,34,4/12,25.88,7.11,21.8,2,0,20-Oct-81,42y 283d,Right hand Bat,Right arm Medium,Allrounder
253,CA Soper (PNG),https://www.espncricinfo.com/ci/content/player/574287.html,2015-2024,31,30,92.5,1,606,34,3/11,17.82,6.52,16.3,0,0,"November 19, 1991, Port Moresby",32y 253d,Right hand Bat,Right arm Medium fast,Bowler
254,Usman Najeeb (KSA),https://www.espncricinfo.com/ci/content/player/1344844.html,2022-2024,20,20,70.3,0,541,34,3/13,15.91,7.67,12.4,0,0,25-Jul-95,29y 4d,Right hand Bat,Right arm Medium,
255,Wahab Riaz (PAK),https://www.espncricinfo.com/ci/content/player/43590.html,2008-2020,36,35,118.2,2,971,34,3/18,28.55,8.2,20.8,0,0,"June 28, 1985, Lahore, Punjab",39y 31d,Right hand Bat,Left arm Fast,Bowler
256,Amjad Javed (UAE),https://www.espncricinfo.com/ci/content/player/25613.html,2014-2017,22,22,74.2,1,560,33,3/12,16.96,7.53,13.5,0,0,"July 05, 1980, Dubai",44y 24d,Right hand Bat,Right arm Medium,Allrounder
257,Amjad Sher (FIN),https://www.espncricinfo.com/ci/content/player/1194056.html,2019-2024,28,28,104,6,636,33,3/14,19.27,6.11,18.9,0,0,11-Nov-86,37y 261d,Right hand Bat,Right arm Medium,
258,BFW de Leede (NED),https://www.espncricinfo.com/ci/content/player/1036191.html,2018-2024,38,28,77.5,1,651,33,3/19,19.72,8.36,14.1,0,0,15-Nov-99,24y 257d,Right hand Bat,Right arm Fast medium,Batting Allrounder
259,Gulbadin Naib (AFG),https://www.espncricinfo.com/ci/content/player/352048.html,2012-2024,73,44,108.1,1,860,33,4/20,26.06,7.95,19.6,1,0,"June 04, 1991, Logar, Afghanistan",33y 55d,Right hand Bat,Right arm Medium fast,Batting Allrounder
260,Ibrahim Hassan (MDV),https://www.espncricinfo.com/ci/content/player/746429.html,2019-2024,38,38,112.2,2,876,33,5/24,26.54,7.79,20.4,1,1,21-Apr-91,33y 99d,Right hand Bat,Right arm Medium,
261,Ijaz Hussain (ROM),https://www.espncricinfo.com/ci/content/player/1198948.html,2019-2024,27,26,76.4,0,571,33,4/28,17.3,7.44,13.9,1,0,4-Apr-93,31y 116d,Right hand Bat,Right arm Medium fast,
262,Ishtiaq Ahmad (KSA),https://www.espncricinfo.com/ci/content/player/1284540.html,2021-2024,28,27,95.2,2,619,33,5/27,18.75,6.49,17.3,0,1,1-Nov-93,30y 271d,Right hand Bat,Right arm Medium fast,
263,CBRLS Kumara (SL),https://www.espncricinfo.com/ci/content/player/784375.html,2019-2023,26,25,90.4,1,755,33,3/7,22.87,8.32,16.4,0,0,"February 13, 1997, Kandy",27y 167d,Left hand Bat,Right arm Fast,Bowler
264,CB Mpofu (ZIM),https://www.espncricinfo.com/ci/content/player/55633.html,2008-2020,32,32,115.4,0,1035,33,4/30,31.36,8.94,21,1,0,"November 27, 1985, Plumtree, Matabeleland",38y 245d,Right hand Bat,Right arm Fast medium,Bowler
265,SN Netravalkar (USA),https://www.espncricinfo.com/ci/content/player/398513.html,2019-2024,33,33,103.5,3,694,33,5/12,21.03,6.68,18.8,0,1,"October 16, 1991, Mumbai",32y 287d,Right hand Bat,Left arm Fast medium,Bowler
266,V Saini (ROM),https://www.espncricinfo.com/ci/content/player/1236048.html,2020-2024,40,39,124.2,0,894,33,4/12,27.09,7.19,22.6,1,0,5-Sep-89,34y 328d,Right hand Bat,Right arm Medium,
267,MD Shanaka (SL),https://www.espncricinfo.com/ci/content/player/437316.html,2015-2024,102,53,87,1,719,33,3/16,21.78,8.26,15.8,0,0,"September 09, 1991, Negombo",32y 324d,Right hand Bat,Right arm Medium,Allrounder
268,Shiraz Khan (KUW),https://www.espncricinfo.com/ci/content/player/1192940.html,2019-2024,44,43,136.4,4,884,33,4/12,26.78,6.46,24.8,1,0,8-Sep-94,29y 325d,Right hand Bat,Legbreak Googly,Allrounder
269,JE Taylor (WI),https://www.espncricinfo.com/ci/content/player/53191.html,2006-2018,30,30,100,2,863,33,3/6,26.15,8.63,18.1,0,0,"June 22, 1984, St Elizabeth, Jamaica",40y 37d,Right hand Bat,Right arm Fast,Bowler
270,SN Thakur (IND),https://www.espncricinfo.com/ci/content/player/475281.html,2018-2022,25,24,84.2,0,772,33,4/27,23.39,9.15,15.3,1,0,"October 16, 1991, Palghar, Maharashtra",32y 287d,Right hand Bat,Right arm Medium,Bowler
271,RJW Topley (ENG),https://www.espncricinfo.com/ci/content/player/461632.html,2015-2024,32,32,111,0,897,33,3/22,27.18,8.08,20.1,0,0,"February 21, 1994, Ipswich, Suffolk",30y 159d,Right hand Bat,Left arm Fast medium,Bowler
272,P Useni (NGA),https://www.espncricinfo.com/ci/content/player/1276635.html,2021-2024,37,36,96.1,4,587,33,3/7,17.78,6.1,17.4,0,0,7-Mar-06,18y 144d,Left hand Bat,Left arm Medium,
273,Aamir Kaleem (OMA),https://www.espncricinfo.com/ci/content/player/455463.html,2015-2022,33,28,80,1,557,32,5/15,17.4,6.96,15,2,2,"November 20, 1981, Karachi, Sind, Pakistan",42y 252d,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
274,Ali Naseer (UAE),https://www.espncricinfo.com/ci/content/player/1212829.html,2023-2024,25,25,87.1,2,667,32,4/24,20.84,7.65,16.3,2,0,9-Mar-04,20y 142d,Left hand Bat,Right arm Medium,Allrounder
275,KS Bagabena (GHA),https://www.espncricinfo.com/ci/content/player/308693.html,2019-2024,40,37,96.1,4,645,32,5/9,20.15,6.7,18,1,1,25-Nov-88,35y 247d,Right hand Bat,Right arm Medium,
276,S Bodha (GIBR),https://www.espncricinfo.com/ci/content/player/1274032.html,2022-2024,27,27,81,0,670,32,5/16,20.93,8.27,15.1,1,1,3-Feb-03,21y 177d,Right hand Bat,Right arm Medium,
277,J Bulele (MOZ),https://www.espncricinfo.com/ci/content/player/1155498.html,2019-2022,27,24,76.1,0,512,32,4/13,16,6.72,14.2,1,0,14-Mar-03,21y 137d,Right hand Bat,Right arm Offbreak,
278,F Damiao Couana (MOZ),https://www.espncricinfo.com/ci/content/player/585615.html,2019-2023,33,30,96.1,4,619,32,5/19,19.34,6.43,18,0,1,10-Nov-96,27y 262d,Right hand Bat,Right arm Medium,
279,H Fennell (Arg),https://www.espncricinfo.com/ci/content/player/307184.html,2019-2023,19,19,61.1,1,393,32,6/18,12.28,6.42,11.4,2,1,2-Feb-88,36y 178d,Right hand Bat,Right arm Medium,
280,DT Johnston (IRE),https://www.espncricinfo.com/ci/content/player/6038.html,2008-2013,30,28,99,5,636,32,4/22,19.87,6.42,18.5,1,0,"April 29, 1974, Wollongong, New South Wales",50y 91d,Right hand Bat,Right arm Fast medium,Bowler
281,C Kyewuta (UGA),https://www.espncricinfo.com/ci/content/player/1107651.html,2021-2024,27,27,90.1,4,575,32,4/5,17.96,6.37,16.9,3,0,28-Dec-01,22y 214d,Right hand Bat,Right arm Medium,Bowler
282,H Lakov (BUL),https://www.espncricinfo.com/ci/content/player/1203898.html,2019-2022,35,34,129.5,3,989,32,3/21,30.9,7.61,24.3,0,0,15-Jul-91,33y 14d,Right hand Bat,Right arm Fast,
283,DMW Rawlins (BER),https://www.espncricinfo.com/ci/content/player/630174.html,2019-2023,28,27,98,2,567,32,4/10,17.71,5.78,18.3,2,0,"September 14, 1997, Bermuda",26y 319d,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
284,E Rukiriza (RWN),https://www.espncricinfo.com/ci/content/player/1280671.html,2023-2024,36,33,109.5,0,720,32,4/15,22.5,6.55,20.5,1,0,27-Jul-03,21y 2d,Right hand Bat,Right arm Offbreak,
285,R Trumpelmann (NAM),https://www.espncricinfo.com/ci/content/player/698317.html,2021-2024,32,28,91,3,699,32,4/21,21.84,7.68,17,2,0,"February 01, 1998, Durban",26y 179d,Right hand Bat,Left arm Fast,Bowler
286,B White (IRE),https://www.espncricinfo.com/ci/content/player/928059.html,2021-2024,31,30,99,0,774,32,4/20,24.18,7.81,18.5,1,0,"August 29, 1998, Dublin, Ireland",25y 335d,Right hand Bat,Legbreak,Bowler
287,JC Archer (ENG),https://www.espncricinfo.com/ci/content/player/669855.html,2019-2024,25,25,92.1,2,693,31,4/33,22.35,7.51,17.8,1,0,"April 01, 1995, Bridgetown, Barbados",29y 119d,Right hand Bat,Right arm Fast,Bowler
288,Basil Hameed (UAE),https://www.espncricinfo.com/ci/content/player/1209110.html,2020-2024,57,32,72.4,1,500,31,3/20,16.12,6.88,14,0,0,"April 15, 1992, Panniyankara, Kozhikode, Kerala",32y 105d,Right hand Bat,Right arm Offbreak,Middle order Batter
289,CR Brathwaite (WI),https://www.espncricinfo.com/ci/content/player/457249.html,2011-2019,41,39,118.1,1,1013,31,3/20,32.67,8.57,22.8,0,0,"July 18, 1988, Barbados",36y 11d,Right hand Bat,Right arm Fast medium,Allrounder
290,LA Burns (ESP),https://www.espncricinfo.com/ci/content/player/518673.html,2022-2024,19,19,66.4,0,389,31,5/11,12.54,5.83,12.9,0,1,"February 10, 1993, Gravesend Hospital, Gravesend, Kent",31y 170d,Right hand Bat,Legbreak Googly,
291,JA Burrows (IOM),https://www.espncricinfo.com/ci/content/player/1156495.html,2020-2024,24,23,70.2,1,537,31,4/10,17.32,7.63,13.6,2,0,2-Aug-96,27y 362d,Left hand Bat,Slow Left arm Orthodox,Bowler
292,C Campher (IRE),https://www.espncricinfo.com/ci/content/player/595921.html,2021-2024,56,45,122.1,2,985,31,4/25,31.77,8.06,23.6,2,0,"April 20, 1999, Johannesburg",25y 100d,Right hand Bat,Right arm Medium fast,Allrounder
293,DL Chahar (IND),https://www.espncricinfo.com/ci/content/player/447261.html,2018-2023,25,25,90,2,747,31,6/7,24.09,8.3,17.4,0,1,"August 07, 1992, Agra, Uttar Pradesh",31y 357d,Right hand Bat,Right arm Medium,Bowler
294,Dawood Ahmadzai (Fran),https://www.espncricinfo.com/ci/content/player/1271983.html,2021-2024,27,27,92,1,588,31,6/21,18.96,6.39,17.8,0,1,25-Feb-94,30y 155d,Right hand Bat,Legbreak,
295,RM Koda (INA),https://www.espncricinfo.com/ci/content/player/1116759.html,2022-2024,29,29,92.3,1,574,31,3/15,18.51,6.2,17.9,0,0,"May 18, 1994, Indonesia",30y 72d,Right hand Bat,Right arm Medium fast,
296,ND Laegsgaard (DEN),https://www.espncricinfo.com/ci/content/player/1144657.html,2019-2024,25,23,73.3,1,421,31,4/19,13.58,5.72,14.2,1,0,"November 18, 1996, Herning, Denmark",27y 254d,Left hand Bat,Slow Left arm Orthodox,
297,Mehran Khan (OMA),https://www.espncricinfo.com/ci/content/player/888565.html,2015-2024,41,28,77,3,528,31,3/7,17.03,6.85,14.9,0,0,13-Apr-87,37y 107d,Right hand Bat,Right arm Medium fast,Batter
298,A Nanda (LUX),https://www.espncricinfo.com/ci/content/player/1198917.html,2019-2024,31,30,96.2,0,734,31,5/6,23.67,7.61,18.6,0,1,29-Dec-85,38y 213d,Right hand Bat,Right arm Medium fast,
299,R Rampaul (WI),https://www.espncricinfo.com/ci/content/player/52912.html,2007-2021,27,27,95.5,1,803,31,3/16,25.9,8.37,18.5,0,0,"October 15, 1984, Preysal, Trinidad",39y 288d,Left hand Bat,Right arm Fast medium,Bowler
300,D Ravu (PNG),https://www.espncricinfo.com/ci/content/player/1122557.html,2019-2022,24,23,67.1,0,482,31,5/15,15.54,7.17,13,1,1,"May 03, 1994, Lae (Morobe)",30y 87d,Right hand Bat,Right arm Medium fast,Bowler
301,Usman Qadir (PAK),https://www.espncricinfo.com/ci/content/player/348152.html,2020-2023,25,21,72,0,573,31,4/13,18.48,7.95,13.9,1,0,"August 10, 1993, Lahore, Punjab",30y 354d,Left hand Bat,Legbreak,Bowler
302,HR Walsh (USA/WI),https://www.espncricinfo.com/ci/content/player/443263.html,2019-2024,39,33,105.5,0,842,31,3/23,27.16,7.95,20.4,0,0,"April 23, 1992, St. Croix, US Virgin Islands",32y 97d,Left hand Bat,Legbreak Googly,Bowler
303,CR Woakes (ENG),https://www.espncricinfo.com/ci/content/player/247235.html,2011-2023,33,33,101.5,1,822,31,3/4,26.51,8.07,19.7,0,0,"March 02, 1989, Birmingham, Warwickshire",35y 149d,Right hand Bat,Right arm Fast medium,Allrounder
304,Amir Hamza (AFG),https://www.espncricinfo.com/ci/content/player/402245.html,2013-2021,33,33,111,2,752,30,3/39,25.06,6.77,22.2,0,0,"August 15, 1991, Afghanistan",32y 349d,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
305,IKEG Artawan (INA),https://www.espncricinfo.com/ci/content/player/1338587.html,2022-2024,30,27,64.4,0,440,30,4/12,14.66,6.8,12.9,1,0,23-Apr-00,24y 97d,Right hand Bat,,
306,G Bakiweyem (GHA),https://www.espncricinfo.com/ci/content/player/585463.html,2019-2024,36,36,103.2,3,685,30,3/16,22.83,6.62,20.6,0,0,20-Dec-98,25y 222d,Right hand Bat,Right arm Medium,
307,A Dananjaya (SL),https://www.espncricinfo.com/ci/content/player/574178.html,2012-2024,33,33,116.5,1,965,30,3/36,32.16,8.25,23.3,0,0,"October 04, 1993, Panadura",30y 299d,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder
308,Haroon Arshad (HKG),https://www.espncricinfo.com/ci/content/player/1068983.html,2019-2024,36,34,84.3,3,719,30,5/16,23.96,8.5,16.9,2,1,"September 06, 1999, Hong Kong",24y 327d,Right hand Bat,Right arm Medium,Bowling Allrounder
309,MJ McClenaghan (ICC/NZ),https://www.espncricinfo.com/ci/content/player/319439.html,2012-2018,29,29,101.2,2,789,30,3/17,26.3,7.78,20.2,0,0,"June 11, 1986, Hastings, Hawke's Bay",38y 48d,Left hand Bat,Left arm Fast medium,Bowler
310,PK Matautaava (VAN),https://www.espncricinfo.com/ci/content/player/352286.html,2019-2024,28,25,82,3,493,30,3/10,16.43,6.01,16.4,0,0,"September 27, 1991, Vanuatu",32y 306d,Right hand Bat,Right arm Medium,
311,Mohammad Nadeem (OMA),https://www.espncricinfo.com/ci/content/player/41984.html,2015-2024,53,46,123,0,914,30,4/23,30.46,7.43,24.6,1,0,"September 04, 1982, Sialkot, Pakistan",41y 329d,Right hand Bat,Right arm Medium fast,Allrounder
312,NN Odhiambo (KENYA),https://www.espncricinfo.com/ci/content/player/238612.html,2007-2022,43,37,102.1,1,832,30,5/20,27.73,8.14,20.4,0,1,"August 07, 1983, Nairobi, Kenya",40y 357d,Right hand Bat,Right arm Medium fast,Bowler
313,BA Pai (GIBR),https://www.espncricinfo.com/ci/content/player/1046619.html,2019-2024,37,34,116.3,1,750,30,3/13,25,6.43,23.3,0,0,24-Jan-82,42y 187d,Right hand Bat,Right arm Offbreak,
314,Yasim Murtaza (HKG),https://www.espncricinfo.com/ci/content/player/233904.html,2022-2024,36,35,125,1,773,30,3/14,25.76,6.18,25,0,0,"December 04, 1990, Sialkot, Punjab",33y 238d,Left hand Bat,Slow Left arm Orthodox,Allrounder
315,F Banunaek (INA),https://www.espncricinfo.com/ci/content/player/1167320.html,2022-2024,29,29,89,2,662,29,4/17,22.82,7.43,18.4,1,0,25-Oct-01,22y 278d,Right hand Bat,Right arm Medium,
316,V Baskaran (SGP),https://www.espncricinfo.com/ci/content/player/1195245.html,2019-2022,33,33,103.5,3,783,29,3/39,27,7.54,21.4,0,0,16-May-90,34y 74d,Left hand Bat,Slow Left arm Orthodox,Bowler
317,TK Curran (ENG),https://www.espncricinfo.com/ci/content/player/550235.html,2017-2021,30,29,98,1,907,29,4/36,31.27,9.25,20.2,1,0,"March 12, 1995, Cape Town, Cape Province",29y 139d,Right hand Bat,Right arm Fast medium,Allrounder
318,Hisham Shaikh (KSA),https://www.espncricinfo.com/ci/content/player/633445.html,2021-2024,34,30,92.3,2,636,29,4/12,21.93,6.87,19.1,2,0,"July 17, 1996, Dammam",28y 12d,Right hand Bat,Right arm Offbreak,
319,D Jakiel (MWI/ZIM),https://www.espncricinfo.com/ci/content/player/1175831.html,2019-2024,25,25,92,2,646,29,5/11,22.27,7.02,19,1,1,"November 14, 1990, Mabvuku, Harare",33y 258d,Right hand Bat,Right arm Fast medium,
320,Mohammad Ghazanfar (HKG),https://www.espncricinfo.com/ci/content/player/633428.html,2019-2024,29,28,87.2,1,599,29,3/16,20.65,6.85,18,0,0,"December 28, 1994, Mirpur",29y 214d,Right hand Bat,Legbreak,Bowler
321,GBW Munaweera (QAT),https://www.espncricinfo.com/ci/content/player/1143525.html,2019-2024,29,29,93,1,740,29,2/18,25.51,7.95,19.2,0,0,18-Oct-91,32y 285d,Left hand Bat,Left arm Medium,
322,Naveed Ahmed (CZK-R),https://www.espncricinfo.com/ci/content/player/1156477.html,2019-2023,33,29,84,0,611,29,3/10,21.06,7.27,17.3,0,0,6-Mar-85,39y 145d,Right hand Bat,Right arm Offbreak,
323,HV Patel (IND),https://www.espncricinfo.com/ci/content/player/390481.html,2021-2023,25,24,83.5,0,770,29,4/25,26.55,9.18,17.3,1,0,"November 23, 1990, Sanand, Gujarat",33y 249d,Right hand Bat,Right arm Medium,Bowler
324,WA Peatfield (GUE),https://www.espncricinfo.com/ci/content/player/554066.html,2019-2022,21,21,75,0,457,29,4/22,15.75,6.09,15.5,1,0,"December 06, 1990, Saint Peter Port",33y 236d,Right hand Bat,Right arm Medium,
325,N Pokana (PNG),https://www.espncricinfo.com/ci/content/player/646181.html,2016-2024,31,30,98.5,3,669,29,3/21,23.06,6.76,20.4,0,0,12-Apr-96,28y 108d,Right hand Bat,Left arm Fast,Bowler
326,J Rasu (VAN),https://www.espncricinfo.com/ci/content/player/524270.html,2019-2024,33,21,70,1,486,29,5/36,16.75,6.94,14.4,0,1,14-Apr-94,30y 106d,Right hand Bat,Right arm Medium,
327,Rishad Hossain (BAN),https://www.espncricinfo.com/ci/content/player/1139523.html,2023-2024,24,23,77,1,567,29,3/22,19.55,7.36,15.9,0,0,"July 15, 2002, Rangpur",22y 14d,Right hand Bat,Legbreak Googly,Bowler
328,Shahil Momin (Aut),https://www.espncricinfo.com/ci/content/player/1046601.html,2021-2023,24,24,83.3,1,533,29,4/19,18.37,6.38,17.2,2,0,25-Jan-91,33y 186d,Left hand Bat,Slow Left arm Orthodox,
329,A Shukla (HKG),https://www.espncricinfo.com/ci/content/player/1167779.html,2022-2024,30,28,90.4,1,767,29,4/49,26.44,8.45,18.7,1,0,28-Oct-02,21y 275d,Right hand Bat,Right arm Medium,Bowler
330,Zaker Taqawi (SWE),https://www.espncricinfo.com/ci/content/player/1318855.html,2022-2024,16,16,55.3,2,361,29,5/17,12.44,6.5,11.4,1,2,8-Dec-01,22y 234d,Left hand Bat,,
331,Azmatullah Omarzai (AFG),https://www.espncricinfo.com/ci/content/player/819429.html,2022-2024,44,39,103.4,1,881,28,4/9,31.46,8.49,22.2,1,0,24-Mar-00,24y 127d,Right hand Bat,Right arm Medium fast,Allrounder
332,RD Berrington (SCOT),https://www.espncricinfo.com/ci/content/player/25490.html,2008-2024,94,41,86.2,0,660,28,3/17,23.57,7.64,18.5,0,0,"April 03, 1987, Pretoria, South Africa",37y 117d,Right hand Bat,Right arm Medium fast,Top order Batter
333,NT Ellis (AUS),https://www.espncricinfo.com/ci/content/player/826915.html,2021-2024,17,17,62,2,482,28,4/28,17.21,7.77,13.2,1,0,"September 22, 1994, Greenacre, New South Wales",29y 311d,Right hand Bat,Right arm Fast medium,Bowler
334,RM Haq (SCOT),https://www.espncricinfo.com/ci/content/player/25451.html,2007-2013,21,20,75,1,472,28,3/20,16.85,6.29,16,0,0,"February 11, 1983, Paisley, Renfrewshire",41y 169d,Left hand Bat,Right arm Offbreak,Bowler
335,KM Jarvis (ZIM),https://www.espncricinfo.com/ci/content/player/332996.html,2011-2019,22,22,74.4,0,665,28,3/15,23.75,8.9,16,0,0,"February 16, 1989, Harare",35y 164d,Right hand Bat,Right arm Fast medium,Bowler
336,Kaleemullah (OMA),https://www.espncricinfo.com/ci/content/player/1077307.html,2017-2024,38,38,115,4,817,28,3/23,29.17,7.1,24.6,0,0,"December 24, 1990, Gujranwala, Pakistan",33y 218d,Right hand Bat,Right arm Medium,Bowler
337,Kaleem Sana (CAN),https://www.espncricinfo.com/ci/content/player/385938.html,2022-2024,19,19,70.5,4,430,28,4/18,15.35,6.07,15.1,2,0,"January 01, 1994, Rawalpindi, Punjab",30y 210d,Right hand Bat,Left arm Medium fast,Bowler
338,D Klein (GER),https://www.espncricinfo.com/ci/content/player/339095.html,2020-2023,23,23,88,0,536,28,3/31,19.14,6.09,18.8,0,0,"October 31, 1988, Lichtenburg, North West Province",35y 272d,Right hand Bat,Left arm Medium fast,
339,M Koli (ROM),https://www.espncricinfo.com/ci/content/player/1323423.html,2022-2024,21,21,77,2,550,28,5/28,19.64,7.14,16.5,0,1,11-Feb-97,27y 169d,Right hand Bat,Right arm Medium fast,
340,B Lee (AUS),https://www.espncricinfo.com/ci/content/player/6278.html,2005-2012,25,25,90.5,0,714,28,3/23,25.5,7.86,19.4,0,0,"November 08, 1976, Wollongong, New South Wales",47y 264d,Right hand Bat,Right arm Fast,Bowler
341,T Lungameni (NAM),https://www.espncricinfo.com/ci/content/player/524075.html,2019-2024,34,33,99,3,699,28,3/13,24.96,7.06,21.2,0,0,17-Apr-92,32y 103d,Right hand Bat,Left arm Medium,Bowler
342,M Magagula (SWA/SWZ),https://www.espncricinfo.com/ci/content/player/1163164.html,2021-2024,24,23,74,0,596,28,3/12,21.28,8.05,15.8,0,0,26-Nov-94,29y 246d,Right hand Bat,Right arm Medium,
343,P Malav (LUX),https://www.espncricinfo.com/ci/content/player/1230624.html,2020-2024,28,27,86.3,0,644,28,3/22,23,7.44,18.5,0,0,28-Sep-85,38y 305d,Right hand Bat,Right arm Medium fast,
344,DP Nannes (AUS/NED),https://www.espncricinfo.com/ci/content/player/6981.html,2009-2010,17,16,61,2,459,28,4/18,16.39,7.52,13,1,0,"May 16, 1976, Mount Waverley, Melbourne, Victoria",48y 74d,Right hand Bat,Left arm Fast,Bowler
345,YI Patel (KUW),https://www.espncricinfo.com/ci/content/player/1328735.html,2022-2024,30,30,110.3,0,677,28,4/22,24.17,6.12,23.6,1,0,28-Aug-97,26y 336d,Left hand Bat,Slow Left arm Orthodox,Bowler
346,IK Pathan (IND),https://www.espncricinfo.com/ci/content/player/32685.html,2006-2012,24,23,77,1,618,28,3/16,22.07,8.02,16.5,0,0,"October 27, 1984, Baroda, Gujarat",39y 276d,Left hand Bat,Left arm Medium fast,Allrounder
