Player Name,Born,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,5_ODI,5_T20,5_Test,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_ODI,AgeStart_Test,AgeStart_T20
AD Russell,1988-04-29,Right hand Bat,Pacer,Allrounder,47,71,1,9,24,0,1034,1033,2,92,71,2,27.21,21.97,2.0,794,631,130.22,163.7,0,0,0,4,3,0,6,9,0,55,71,2,2290,138,2229,1814,104,70,60,1,0.11428571428571428,0.15789473684210525,0.0136986301369863,31.84,30.23,104.0,5.84,9.23,4.52,32.7,19.6,138.0,5,0,0,0,0,0,56,82,1,WI,2011,2010,2011,Right Hand,23.24931507,22.24931507,23.24931507
AG Cremer,1986-09-19,Right hand Bat,Spinner,Bowler,71,19,38,20,6,5,744,68,540,58,17,102,14.58,5.23,16.36,1196,102,62.2,66.66,0,0,1,1,0,0,7,2,7,95,28,27,4680,4214,3597,660,2604,119,35,57,0.13043478260869565,0.2727272727272727,0.04,30.22,18.85,45.68,4.61,6.94,3.7,39.3,16.2,73.9,4,0,3,0,1,0,96,29,19,ZIM,2009,2005,2008,Right Hand,22.86027397,18.86027397,21.86027397
AJ Hall,1975-07-31,Right hand Bat,Pacer,Allrounder,56,1,33,13,0,4,905,11,760,81,11,163,21.04,11.0,26.2,1206,10,75.04,110.0,0,0,1,3,0,3,5,0,7,78,2,38,3341,3001,2515,60,1617,95,3,45,0.2777777777777778,0.13636363636363635,3.0,26.47,20.0,35.93,4.51,7.5,3.23,35.1,16.0,66.6,3,0,1,0,0,0,88,2,21,SA,1999,2002,2006,Right Hand,23.997260269999998,26.997260269999998,30.997260269999998
AJ McKay,1980-04-17,Right hand Bat,Pacer,Bowler,10,1,2,7,0,1,12,0,25,4,0,20,4.0,0.0,25.0,47,1,25.53,0.0,0,0,0,0,0,0,3,1,0,19,2,1,926,186,800,31,120,27,2,1,0.07547169811320754,0.1,0.008333333333333333,29.62,15.5,120.0,5.18,5.47,3.87,34.2,17.0,186.0,2,0,0,0,0,0,19,2,1,NZ,2010,2010,2010,Left Hand,30.282191779999998,30.282191779999998,30.282191779999998
AL Phehlukwayo,1996-03-03,Left hand Bat,Pacer,Allrounder,51,25,4,18,7,2,853,166,19,69,27,9,25.84,9.22,9.5,973,153,87.66,108.49,0,0,0,2,0,0,4,7,1,73,39,8,2995,250,2889,1112,147,91,50,11,0.18181818181818182,0.16666666666666666,0.23076923076923078,31.74,22.24,13.36,5.78,8.91,3.52,32.9,14.9,22.7,3,1,0,0,0,0,78,42,4,SA,2016,2017,2017,Right Hand,20.40547945,21.40547945,21.40547945
AM Blignaut,1978-08-01,Left hand Bat,Pacer,Allrounder,41,1,36,8,0,3,626,8,886,63,8,92,18.96,8.0,26.84,589,8,106.28,100.0,0,0,0,5,0,6,3,0,6,53,0,30,2348,3173,2063,0,1964,50,0,53,0.09302325581395349,0.0,0.0684931506849315,41.26,0.0,37.05,5.27,0.0,3.71,46.9,0.0,59.8,2,0,0,0,3,0,54,1,19,ZIM,1999,2001,2010,Right Hand,20.994520549999997,22.994520549999997,31.994520549999997
AM Fernando,1997-07-31,Right hand Bat,Pacer,Bowler,2,2,19,1,2,7,1,10,36,1,10,10,1.0,0.0,3.0,6,4,16.66,250.0,0,0,0,0,0,0,1,0,7,6,4,22,270,2125,269,160,1197,5,3,45,0.08695652173913043,0.029411764705882353,0.11764705882352941,53.8,53.33,26.6,5.97,11.42,3.37,54.0,28.0,47.2,0,0,0,0,1,1,7,5,14,SL,2017,2021,2022,Right Hand,19.99726027,23.99726027,24.99726027
AR Adams,1975-07-17,Right hand Bat,Pacer,Allrounder,34,2,2,10,1,0,419,13,18,45,7,11,17.45,13.0,9.0,417,12,100.47,108.33,0,0,0,0,0,0,1,0,0,40,4,2,1885,190,1643,105,105,53,3,6,0.22727272727272727,0.1,0.06818181818181818,31.0,35.0,17.5,5.22,8.18,3.31,35.5,25.6,31.6,2,0,1,0,0,0,42,4,1,NZ,2001,2002,2005,Right Hand,26.032876709999996,27.032876709999996,30.032876709999996
AR McBrine,1993-04-30,Left hand Bat,Spinner,Allrounder,59,18,15,13,6,2,826,155,397,79,36,86,17.95,12.91,30.53,1188,132,69.52,117.42,0,0,0,2,0,3,5,1,1,83,26,12,4115,1571,3090,487,916,86,23,21,0.1724137931034483,0.2857142857142857,0.05084745762711865,35.93,21.17,43.61,4.5,7.16,3.49,47.8,17.7,74.8,2,0,1,0,1,0,88,32,8,IRE,2014,2019,2014,Right Hand,21.24657534,26.24657534,21.24657534
AR Patel,1994-01-20,Left hand Bat,Spinner,Allrounder,36,37,22,10,14,4,489,463,646,64,65,84,18.8,20.13,35.88,499,321,97.99,144.23,0,0,0,2,1,4,3,2,1,52,60,27,2607,2540,1972,1427,1064,60,62,55,0.125,0.3333333333333333,0.15789473684210525,32.86,23.01,19.34,4.53,7.38,2.51,43.4,18.6,46.1,0,0,0,0,5,1,57,62,14,IND,2014,2021,2015,Left Hand,20.52328767,27.52328767,21.52328767
