Player Name,Born,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,5_ODI,5_T20,5_Test,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_ODI,AgeStart_Test,AgeStart_T20
AJ Strauss,1977-03-02,Left hand Bat,Pacer,Batter,126,4,178,8,0,6,4205,73,7037,158,33,177,35.63,18.25,40.91,5195,64,80.94,114.06,6,0,21,27,0,27,9,1,15,1,0,0,6,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,127,4,100,ENG,2003,2004,2005,Left Hand,26.408219180000003,27.408219180000003,28.408219180000003
AK Markram,1994-10-04,Right hand Bat,Spinner,Batter,65,44,67,7,7,1,2121,1241,2398,175,70,152,36.56,33.54,36.33,2158,864,98.28,143.63,3,0,7,10,9,10,4,2,6,30,23,13,881,249,833,375,130,18,12,2,0.1111111111111111,0.14285714285714285,0.07407407407407407,46.27,31.25,65.0,5.67,7.97,3.13,48.9,23.5,124.5,0,0,0,0,0,0,68,48,37,SA,2017,2017,2019,Right Hand,22.81917808,22.81917808,24.81917808
AL Phehlukwayo,1996-03-03,Left hand Bat,Pacer,Allrounder,51,25,4,18,7,2,853,166,19,69,27,9,25.84,9.22,9.5,973,153,87.66,108.49,0,0,0,2,0,0,4,7,1,73,39,8,2995,250,2889,1112,147,91,50,11,0.18181818181818182,0.16666666666666666,0.23076923076923078,31.74,22.24,13.36,5.78,8.91,3.52,32.9,14.9,22.7,3,1,0,0,0,0,78,42,4,SA,2016,2017,2017,Right Hand,20.40547945,21.40547945,21.40547945
AM Blignaut,1978-08-01,Left hand Bat,Pacer,Allrounder,41,1,36,8,0,3,626,8,886,63,8,92,18.96,8.0,26.84,589,8,106.28,100.0,0,0,0,5,0,6,3,0,6,53,0,30,2348,3173,2063,0,1964,50,0,53,0.09302325581395349,0.0,0.0684931506849315,41.26,0.0,37.05,5.27,0.0,3.71,46.9,0.0,59.8,2,0,0,0,3,0,54,1,19,ZIM,1999,2001,2010,Right Hand,20.994520549999997,22.994520549999997,31.994520549999997
AM Rahane,1988-06-06,Right hand Bat,Pacer,Batter,87,20,144,3,2,12,2962,375,5077,111,61,188,35.26,20.83,38.46,3767,331,78.63,113.29,3,0,12,24,1,26,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90,20,85,IND,2011,2013,2011,Right Hand,23.14520548,25.14520548,23.14520548
AN Cook,1984-12-25,Left hand Bat,Spinner,Batter,92,4,291,4,0,16,3204,61,12472,137,26,294,36.4,15.25,45.35,4154,54,77.13,112.96,5,0,33,19,0,57,7,0,9,0,0,2,0,18,0,0,7,0,0,1,0.0,0.0,0.16666666666666666,0.0,0.0,7.0,0.0,0.0,2.33,0.0,0.0,18.0,0,0,0,0,0,0,92,4,161,ENG,2006,2006,2007,Right Hand,21.59452055,21.59452055,22.59452055
AN Petersen,1980-11-25,Right hand Bat,Spinner,Batter,19,2,64,1,0,4,504,14,2093,80,8,182,28.0,7.0,34.88,610,19,82.62,73.68,0,0,5,4,0,8,0,0,3,1,0,7,6,114,7,0,62,0,0,1,0.0,0.0,0.5,0.0,0.0,62.0,7.0,0.0,3.26,0.0,0.0,114.0,0,0,0,0,0,0,21,2,36,SA,2006,2010,2010,Right Hand,25.67671233,29.67671233,29.67671233
AR Adams,1975-07-17,Right hand Bat,Pacer,Allrounder,34,2,2,10,1,0,419,13,18,45,7,11,17.45,13.0,9.0,417,12,100.47,108.33,0,0,0,0,0,0,1,0,0,40,4,2,1885,190,1643,105,105,53,3,6,0.22727272727272727,0.1,0.06818181818181818,31.0,35.0,17.5,5.22,8.18,3.31,35.5,25.6,31.6,2,0,1,0,0,0,42,4,1,NZ,2001,2002,2005,Right Hand,26.032876709999996,27.032876709999996,30.032876709999996
AR McBrine,1993-04-30,Left hand Bat,Spinner,Allrounder,59,18,15,13,6,2,826,155,397,79,36,86,17.95,12.91,30.53,1188,132,69.52,117.42,0,0,0,2,0,3,5,1,1,83,26,12,4115,1571,3090,487,916,86,23,21,0.1724137931034483,0.2857142857142857,0.05084745762711865,35.93,21.17,43.61,4.5,7.16,3.49,47.8,17.7,74.8,2,0,1,0,1,0,88,32,8,IRE,2014,2019,2014,Right Hand,21.24657534,26.24657534,21.24657534
AR Patel,1994-01-20,Left hand Bat,Spinner,Allrounder,36,37,22,10,14,4,489,463,646,64,65,84,18.8,20.13,35.88,499,321,97.99,144.23,0,0,0,2,1,4,3,2,1,52,60,27,2607,2540,1972,1427,1064,60,62,55,0.125,0.3333333333333333,0.15789473684210525,32.86,23.01,19.34,4.53,7.38,2.51,43.4,18.6,46.1,0,0,0,0,5,1,57,62,14,IND,2014,2021,2015,Left Hand,20.52328767,27.52328767,21.52328767
AT Carey,1991-08-27,Left hand Bat,Unknown,Batter,66,26,47,11,5,5,1814,233,1339,106,37,111,32.98,11.09,31.88,2052,215,88.4,108.37,1,0,1,8,0,8,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,72,38,32,AUS,2018,2021,2018,Unknown,26.92328767,29.92328767,26.92328767
Abdullah Shafique,1999-11-20,Right hand Bat,Spinner,Batter,12,6,32,0,1,2,416,64,1330,113,41,201,34.66,12.8,44.33,471,53,88.32,120.75,1,0,4,4,0,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12,6,17,PAK,2022,2021,2020,Right Hand,22.69041096,21.69041096,20.69041096
Afsar Zazai,1993-08-10,Right hand Bat,Unknown,Batter,16,8,10,1,0,1,264,141,214,60,48,48,17.6,17.62,23.77,488,172,54.09,81.97,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17,8,6,AFG,2014,2018,2013,Unknown,20.96986301,24.96986301,19.96986301
Aftab Ahmed,1985-11-10,Right hand Bat,Pacer,Batter,85,11,31,6,1,3,1954,228,582,92,62,82,24.73,22.8,20.78,2353,178,83.04,128.08,0,0,0,14,1,1,8,0,4,30,1,9,739,344,656,8,237,12,0,5,0.16129032258064516,0.0,0.06451612903225806,54.66,0.0,47.4,5.32,24.0,4.13,61.5,0.0,68.8,0,0,1,0,0,0,85,11,16,BAN,2004,2004,2006,Right Hand,18.717808220000002,18.717808220000002,20.717808220000002
Ahmed Shehzad,1991-11-23,Right hand Bat,Spinner,Batter,81,59,25,1,2,1,2605,1471,982,124,111,176,32.56,25.8,40.91,3614,1282,72.08,114.74,6,1,3,14,7,4,7,2,1,9,1,2,115,48,140,10,28,2,0,0,0.045454545454545456,0.0,0.0,70.0,0.0,0.0,7.3,10.0,3.5,57.5,0.0,0.0,0,0,0,0,0,0,81,59,13,PAK,2009,2013,2009,Right Hand,17.682191779999997,21.682191779999997,17.682191779999997
Alok Kapali,1984-01-01,Right hand Bat,Spinner,Allrounder,66,7,34,3,2,1,1235,57,584,115,19,85,19.6,11.4,17.69,1817,85,67.96,67.05,1,0,0,5,0,2,5,2,6,49,2,19,1452,1103,1255,35,709,24,2,6,0.061224489795918366,0.16666666666666666,1.0,52.29,17.5,118.16,5.18,7.0,3.85,60.5,15.0,183.8,0,0,0,0,0,0,69,7,17,BAN,2002,2002,2007,Right Hand,18.575342470000002,18.575342470000002,23.575342470000002
