Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Born,Age,Batting Style,Bowling Style,Playing Role,Height
WK McCallan (IRE),https://www.espncricinfo.com/ci/content/player/24251.html,2008-2009,9,3,2,11,9*,11,15,73.33,0,0,1,1,0,"August 27, 1975, Carrickfergus, Co Antrim",48y 337d,Right hand Bat,Right arm Offbreak,Allrounder,
AK Mandal (NEP),https://www.espncricinfo.com/ci/content/player/332398.html,2015-2015,2,2,0,11,9,5.5,25,44,0,0,0,0,0,"February 05, 1991, Janakpur, Nepal",33y 175d,Right hand Bat,,Opening Batter,
Mazhar Khan (SVN),https://www.espncricinfo.com/ci/content/player/1325917.html,2022-2024,5,4,1,11,7,3.66,28,39.28,0,0,1,1,0,31-Jul-86,37y 364d,Right hand Bat,,,
AA Mulla (CAN),https://www.espncricinfo.com/ci/content/player/23899.html,2008-2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0,"May 05, 1980, Gujarat, India",44y 85d,Right hand Bat,,Batter,
K Namchaikul (THAI),https://www.espncricinfo.com/ci/content/player/1322789.html,2022-2024,17,8,4,11,5*,2.75,26,42.3,0,0,2,0,0,7-Jun-06,18y 52d,Right hand Bat,Legbreak,,
JJ Nyambo (TAN),https://www.espncricinfo.com/ci/content/player/1280680.html,2022-2024,13,6,2,11,4,2.75,29,37.93,0,0,1,0,0,30-Oct-05,18y 273d,Right hand Bat,Right arm Medium fast,,
CG Osborne (CRT),https://www.espncricinfo.com/ci/content/player/1390691.html,2023-2023,2,2,1,11,8*,11,25,44,0,0,0,0,0,18-Sep-74,49y 315d,Right hand Bat,Right arm Medium,,
DK Pallekonda (SVN),https://www.espncricinfo.com/ci/content/player/1325916.html,2022-2024,4,4,2,11,7*,5.5,15,73.33,0,0,0,0,0,29-May-92,32y 61d,Right hand Bat,Slow Left arm Orthodox,,
RJG Palmer (JER),https://www.espncricinfo.com/ci/content/player/470894.html,2019-2023,10,3,3,11,5*,-,23,47.82,0,0,0,0,0,"January 22, 1996, Jersey",28y 189d,Right hand Bat,Right arm Offbreak,,
Moshiur Rahman (EST),https://www.espncricinfo.com/ci/content/player/515073.html,2021-2022,4,3,2,11,5,11,25,44,0,0,0,0,0,28-Oct-80,43y 275d,Right hand Bat,Right arm Medium fast,,
