Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Born,Age,Batting Style,Bowling Style,Playing Role,Height
RG Sharma (IND),https://www.espncricinfo.com/ci/content/player/34102.html,2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205,"April 30, 1987, Bansod, Nagpur, Maharashtra",37y 90d,Right hand Bat,Right arm Offbreak,Top order Batter,
V Kohli (IND),https://www.espncricinfo.com/ci/content/player/253802.html,2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124,"November 05, 1988, Delhi",35y 267d,Right hand Bat,Right arm Medium,Top order Batter,
Babar Azam (PAK),https://www.espncricinfo.com/ci/content/player/348144.html,2016-2024,123,116,15,4145,122,41.03,3211,129.08,3,36,6,440,72,"October 15, 1994, Lahore, Punjab",29y 288d,Right hand Bat,Right arm Offbreak,Batter,
PR Stirling (IRE),https://www.espncricinfo.com/ci/content/player/303427.html,2009-2024,145,144,11,3601,115*,27.07,2675,134.61,1,23,13,418,128,"September 03, 1990, Belfast",33y 330d,Right hand Bat,Right arm Offbreak,Batting Allrounder,
MJ Guptill (NZ),https://www.espncricinfo.com/ci/content/player/226492.html,2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173,"September 30, 1986, Auckland",37y 303d,Right hand Bat,Right arm Offbreak,Opening Batter,
Mohammad Rizwan (PAK),https://www.espncricinfo.com/ci/content/player/323389.html,2015-2024,102,89,21,3313,104*,48.72,2620,126.45,1,29,4,278,92,"June 01, 1992, Peshawar, Khyber Pakhtunkhwa",32y 58d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,5ft 7in
DA Warner (AUS),https://www.espncricinfo.com/ci/content/player/219889.html,2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122,"October 27, 1986, Paddington, New South Wales",37y 276d,Left hand Bat,Legbreak,Opening Batter,1.7 m
JC Buttler (ENG),https://www.espncricinfo.com/ci/content/player/308967.html,2011-2024,124,114,23,3264,101*,35.86,2231,146.3,1,24,7,300,137,"September 08, 1990, Taunton, Somerset",33y 325d,Right hand Bat,,Wicketkeeper Batter,
AJ Finch (AUS),https://www.espncricinfo.com/ci/content/player/5334.html,2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125,"November 17, 1986, Colac, Victoria",37y 255d,Right hand Bat,Slow Left arm Orthodox,Top order Batter,1.74 m
GJ Maxwell (AUS),https://www.espncricinfo.com/ci/content/player/325026.html,2012-2024,113,104,17,2600,145*,29.88,1680,154.76,5,11,4,217,134,"October 14, 1988, Kew, Melbourne, Victoria",35y 289d,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Q de Kock (SA),https://www.espncricinfo.com/ci/content/player/379143.html,2012-2024,92,91,9,2584,100,31.51,1868,138.32,1,16,7,264,103,"December 17, 1992, Johannesburg, Gauteng",31y 225d,Left hand Bat,,Wicketkeeper Batter,
KS Williamson (NZ),https://www.espncricinfo.com/ci/content/player/277906.html,2011-2024,93,90,13,2575,95,33.44,2092,123.08,0,18,4,245,58,"August 08, 1990, Tauranga",33y 356d,Right hand Bat,Right arm Offbreak,Top order Batter,
Shakib Al Hasan (BAN),https://www.espncricinfo.com/ci/content/player/56143.html,2006-2024,129,127,17,2551,84,23.19,2105,121.18,0,13,9,258,53,"March 24, 1987, Magura, Jessore",37y 127d,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Mohammad Hafeez (PAK),https://www.espncricinfo.com/ci/content/player/41434.html,2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76,"October 17, 1980, Sargodha, Punjab",43y 286d,Right hand Bat,Right arm Offbreak,Allrounder,
EJG Morgan (ENG),https://www.espncricinfo.com/ci/content/player/24598.html,2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120,"September 10, 1986, Dublin",37y 323d,Left hand Bat,Right arm Medium,Middle order Batter,5ft 9in
DA Miller (SA/World),https://www.espncricinfo.com/ci/content/player/321777.html,2010-2024,125,109,36,2437,106*,33.38,1734,140.54,2,7,2,160,117,"June 10, 1989, Pietermaritzburg, Natal",35y 49d,Left hand Bat,Right arm Offbreak,Middle order Batter,
Shoaib Malik (ICC/PAK),https://www.espncricinfo.com/ci/content/player/42657.html,2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69,"February 01, 1982, Sialkot, Punjab",42y 179d,Right hand Bat,Right arm Offbreak,Allrounder,
SA Yadav (IND),https://www.espncricinfo.com/ci/content/player/446507.html,2021-2024,70,67,11,2424,117,43.28,1433,169.15,4,20,3,219,136,"September 14, 1990, Mumbai, Maharashtra",33y 319d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,
Mahmudullah (BAN),https://www.espncricinfo.com/ci/content/player/56025.html,2007-2024,138,127,26,2394,64*,23.7,2032,117.81,0,8,5,183,74,"February 04, 1986, Mymensingh",38y 176d,Right hand Bat,Right arm Offbreak,Allrounder,
A Balbirnie (IRE),https://www.espncricinfo.com/ci/content/player/303423.html,2015-2024,110,106,4,2392,83,23.45,1941,123.23,0,12,6,254,68,"December 28, 1990, Dublin, Ireland",33y 214d,Right hand Bat,Right arm Offbreak,Batter,
Virandeep Singh (MAS),https://www.espncricinfo.com/ci/content/player/633660.html,2019-2024,78,77,14,2320,116*,36.82,1842,125.95,1,16,5,197,101,23-Mar-99,25y 128d,Right hand Bat,Slow Left arm Orthodox,Allrounder,
KL Rahul (IND),https://www.espncricinfo.com/ci/content/player/422108.html,2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99,"April 18, 1992, Bangalore, Karnataka",32y 102d,Right hand Bat,,Wicketkeeper Batter,
RD Berrington (SCOT),https://www.espncricinfo.com/ci/content/player/25490.html,2008-2024,94,85,17,2194,100,32.26,1658,132.32,1,10,10,185,75,"April 03, 1987, Pretoria, South Africa",37y 117d,Right hand Bat,Right arm Medium fast,Top order Batter,
Mohammad Nabi (AFG),https://www.espncricinfo.com/ci/content/player/25913.html,2010-2024,129,121,24,2165,89,22.31,1590,136.16,0,6,8,148,108,"January 01, 1985, Loger, Afghanistan",39y 210d,Right hand Bat,Right arm Offbreak,Allrounder,
BB McCullum (NZ),https://www.espncricinfo.com/ci/content/player/37737.html,2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,"September 27, 1981, Dunedin, Otago",42y 306d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper Batter,
S Ssesazi (UGA),https://www.espncricinfo.com/ci/content/player/531312.html,2021-2024,82,80,10,2081,100*,29.72,1689,123.2,1,16,8,225,67,"August 20, 1996, Kampala",27y 344d,Left hand Bat,Right arm Slow,Wicketkeeper Batter,
N Pooran (WI),https://www.espncricinfo.com/ci/content/player/604302.html,2016-2024,95,87,9,2076,98,26.61,1528,135.86,0,12,2,142,132,"October 02, 1995, Trinidad",28y 301d,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
AD Hales (ENG),https://www.espncricinfo.com/ci/content/player/249866.html,2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70,"January 03, 1989, Hillingdon, Middlesex",35y 208d,Right hand Bat,Right arm Medium,Opening Batter,6ft 5in
Mohammad Shahzad (AFG),https://www.espncricinfo.com/ci/content/player/419873.html,2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76,"January 10, 1987, Nangarhar, Afghanistan",37y 201d,Right hand Bat,,Wicketkeeper Batter,5ft 3in
Sikandar Raza (ZIM),https://www.espncricinfo.com/ci/content/player/299572.html,2013-2024,91,87,5,2037,87,24.84,1528,133.31,0,14,7,153,96,"April 24, 1986, Sialkot, Punjab, Pakistan",38y 96d,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,
HG Munsey (SCOT),https://www.espncricinfo.com/ci/content/player/671805.html,2015-2024,71,69,5,2006,132,31.34,1399,143.38,2,11,5,229,86,"February 21, 1993, Oxford",31y 159d,Left hand Bat,Right arm Medium fast,Opening Batter,
Muhammad Waseem (UAE),https://www.espncricinfo.com/ci/content/player/1241277.html,2021-2024,53,53,3,1977,112,39.54,1278,154.69,3,14,4,160,123,12-Feb-94,30y 168d,Right hand Bat,Right arm Medium,Opening Batter,
KJ O'Brien (IRE),https://www.espncricinfo.com/ci/content/player/24605.html,2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82,"March 04, 1984, Dublin, Ireland",40y 147d,Right hand Bat,Right arm Medium fast,Batting Allrounder,
Syed Aziz (MAS),https://www.espncricinfo.com/ci/content/player/868003.html,2019-2024,80,78,13,1962,126,30.18,1377,142.48,1,15,6,188,93,7-Oct-98,25y 296d,Left hand Bat,Right arm Medium,Batting Allrounder,
Litton Das (BAN),https://www.espncricinfo.com/ci/content/player/536936.html,2015-2024,89,87,3,1943,83,23.13,1557,124.79,0,11,5,198,57,"October 13, 1994, Dinajpur",29y 290d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
RR Hendricks (SA),https://www.espncricinfo.com/ci/content/player/269280.html,2014-2024,68,67,2,1942,87,29.87,1504,129.12,0,15,4,218,45,"August 14, 1989, Kimberley, Cape Province",34y 350d,Right hand Bat,Right arm Offbreak,Opening Batter,
JP Duminy (SA),https://www.espncricinfo.com/ci/content/player/44932.html,2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,"April 14, 1984, Strandfontein, Cape Town, Cape Province",40y 106d,Left hand Bat,Right arm Offbreak,Batting Allrounder,
LRPL Taylor (NZ),https://www.espncricinfo.com/ci/content/player/38699.html,2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71,"March 08, 1984, Lower Hutt, Wellington",40y 143d,Right hand Bat,Right arm Offbreak,Middle order Batter,
CH Gayle (WI),https://www.espncricinfo.com/ci/content/player/51880.html,2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124,"September 21, 1979, Kingston, Jamaica",44y 312d,Left hand Bat,Right arm Offbreak,Allrounder,
DJ Malan (ENG),https://www.espncricinfo.com/ci/content/player/236489.html,2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62,"September 03, 1987, Roehampton, England",36y 330d,Left hand Bat,Legbreak,Top order Batter,6ft
TM Dilshan (SL),https://www.espncricinfo.com/ci/content/player/48472.html,2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,"October 14, 1976, Kalutara",47y 289d,Right hand Bat,Right arm Offbreak,Allrounder,
GD Phillips (NZ),https://www.espncricinfo.com/ci/content/player/823509.html,2017-2024,78,69,12,1875,108,32.89,1319,142.15,2,10,3,135,90,"December 06, 1996, East London, Eastern Cape, South Africa",27y 236d,Right hand Bat,Right arm Offbreak,Allrounder,
MP O'Dowd (NED),https://www.espncricinfo.com/ci/content/player/643197.html,2015-2024,70,68,5,1853,133*,29.41,1539,120.4,1,13,0,186,46,"March 04, 1994, Auckland",30y 147d,Right hand Bat,Right arm Offbreak,Opening Batter,
Fakhar Zaman (PAK),https://www.espncricinfo.com/ci/content/player/512191.html,2017-2024,92,84,3,1848,91,22.81,1390,132.94,0,11,6,172,76,"April 10, 1990, Mardan, North-West Frontier Province",34y 110d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Najibullah Zadran (AFG),https://www.espncricinfo.com/ci/content/player/524049.html,2012-2024,107,95,33,1830,73,29.51,1328,137.8,0,8,6,126,97,"February 18, 1993, Logar",31y 162d,Left hand Bat,Right arm Offbreak,Middle order Batter,
S Dhawan (IND),https://www.espncricinfo.com/ci/content/player/28235.html,2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,"December 05, 1985, Delhi",38y 237d,Left hand Bat,Right arm Offbreak,Opening Batter,
Tamim Iqbal (BAN/ICC/World),https://www.espncricinfo.com/ci/content/player/56194.html,2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45,"March 20, 1989, Chittagong",35y 131d,Left hand Bat,,Opening Batter,
MDKJ Perera (SL),https://www.espncricinfo.com/ci/content/player/300631.html,2013-2024,68,67,2,1750,84,26.92,1334,131.18,0,14,3,164,57,"August 17, 1990, Kalubowila",33y 347d,Left hand Bat,,Wicketkeeper Batter,5ft 6in
CO Obuya (KENYA),https://www.espncricinfo.com/ci/content/player/24752.html,2007-2024,75,70,12,1742,96*,30.03,1460,119.31,0,9,6,127,84,"July 27, 1981, Nairobi",43y 2d,Right hand Bat,Legbreak,Allrounder,
C Munro (NZ),https://www.espncricinfo.com/ci/content/player/232359.html,2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107,"March 11, 1987, Durban",37y 140d,Left hand Bat,Right arm Medium fast,Opening Batter,
SC Williams (ZIM),https://www.espncricinfo.com/ci/content/player/55870.html,2006-2024,81,80,8,1691,66,23.48,1338,126.38,0,11,6,161,42,"September 26, 1986, Bulawayo",37y 307d,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,
Umar Akmal (PAK),https://www.espncricinfo.com/ci/content/player/317273.html,2009-2019,84,79,14,1690,94,26,1377,122.73,0,8,10,122,55,"May 26, 1990, Lahore, Punjab",34y 64d,Right hand Bat,Right arm Offbreak,Middle order Batter,
BKG Mendis (SL),https://www.espncricinfo.com/ci/content/player/629074.html,2016-2024,69,69,2,1684,86,25.13,1250,134.72,0,14,5,145,75,"February 02, 1995, Moratuwa",29y 178d,Right hand Bat,Legbreak,Wicketkeeper Batter,
Nizakat Khan (HKG),https://www.espncricinfo.com/ci/content/player/350629.html,2014-2024,88,85,2,1679,81,20.22,1384,121.31,0,8,8,152,47,"July 08, 1992, Attock, Punjab, Pakistan",32y 21d,Right hand Bat,Legbreak,Allrounder,
Babar Hayat (HKG),https://www.espncricinfo.com/ci/content/player/539304.html,2014-2024,68,67,10,1676,122,29.4,1248,134.29,2,10,7,101,105,"January 05, 1992, Attock, Pakistan",32y 206d,Right hand Bat,Right arm Medium,Batter,
AB de Villiers (SA),https://www.espncricinfo.com/ci/content/player/44936.html,2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60,"February 17, 1984, Pretoria",40y 163d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
JM Bairstow (ENG),https://www.espncricinfo.com/ci/content/player/297433.html,2011-2024,80,72,16,1671,90,29.83,1215,137.53,0,10,6,148,76,"September 26, 1989, Bradford, Yorkshire",34y 307d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
H Masakadza (ZIM),https://www.espncricinfo.com/ci/content/player/55608.html,2006-2019,66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65,"August 09, 1983, Harare",40y 355d,Right hand Bat,Right arm Medium,Top order Batter,
DS Airee (NEP),https://www.espncricinfo.com/ci/content/player/794707.html,2018-2024,67,59,14,1658,110*,36.84,1156,143.42,1,9,0,128,69,24-Jan-00,24y 187d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,
Rahmanullah Gurbaz (AFG),https://www.espncricinfo.com/ci/content/player/974087.html,2019-2024,63,63,0,1657,100,26.3,1223,135.48,1,10,7,125,95,28-Nov-01,22y 244d,Right hand Bat,,Wicketkeeper Batter,
TP Ura (PNG),https://www.espncricinfo.com/ci/content/player/302845.html,2015-2024,60,59,8,1634,107*,32.03,1068,152.99,1,14,4,123,95,"October 15, 1989, Papua New Guinea",34y 288d,Right hand Bat,,Opening Batter,
MS Dhoni (IND),https://www.espncricinfo.com/ci/content/player/28081.html,2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",43y 22d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
MN Samuels (WI),https://www.espncricinfo.com/ci/content/player/52983.html,2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69,"February 05, 1981, Kingston, Jamaica",43y 175d,Right hand Bat,Right arm Offbreak,Top order Batter,
SK Raina (IND),https://www.espncricinfo.com/ci/content/player/33335.html,2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",37y 245d,Left hand Bat,Right arm Offbreak,Middle order Batter,
KA Pollard (WI),https://www.espncricinfo.com/ci/content/player/230559.html,2008-2022,101,83,21,1569,75*,25.3,1161,135.14,0,6,3,94,99,"May 12, 1987, Tacarigua, Trinidad",37y 78d,Right hand Bat,Right arm Medium,Batting Allrounder,
MR Marsh (AUS),https://www.espncricinfo.com/ci/content/player/272450.html,2011-2024,61,59,11,1557,92*,32.43,1165,133.64,0,9,2,131,71,"October 20, 1991, Attadale, Perth",32y 283d,Right hand Bat,Right arm Medium,Allrounder,
MS Chapman (HKG/NZ),https://www.espncricinfo.com/ci/content/player/438563.html,2014-2024,76,68,14,1548,104*,28.66,1167,132.64,1,8,3,133,57,"June 27, 1994, Hong Kong",30y 32d,Left hand Bat,Slow Left arm Orthodox,Allrounder,
F du Plessis (SA/World),https://www.espncricinfo.com/ci/content/player/44828.html,2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50,"July 13, 1984, Pretoria",40y 16d,Right hand Bat,Legbreak,Middle order Batter,5ft 11in
R Sandaruwan (KUW),https://www.espncricinfo.com/ci/content/player/429809.html,2019-2024,54,54,2,1527,103,29.36,1046,145.98,1,9,6,132,88,"June 22, 1992, Colombo",32y 37d,Right hand Bat,Right arm Offbreak,Allrounder,6ft 2in
LMP Simmons (WI),https://www.espncricinfo.com/ci/content/player/53116.html,2007-2021,68,67,10,1527,91*,26.78,1264,120.8,0,9,6,140,68,"January 25, 1985, Port of Spain, Trinidad",39y 186d,Right hand Bat,Right arm Medium fast,Top order Batter,
HH Pandya (IND),https://www.espncricinfo.com/ci/content/player/625371.html,2016-2024,102,79,22,1523,71*,26.71,1078,141.28,0,4,3,111,79,"October 11, 1993, Choryasi, Gujarat",30y 292d,Right hand Bat,Right arm Medium fast,Allrounder,
JJ Roy (ENG),https://www.espncricinfo.com/ci/content/player/298438.html,2014-2022,64,64,1,1522,78,24.15,1106,137.61,0,8,7,153,69,"July 21, 1990, Durban, South Africa",34y 8d,Right hand Bat,,Opening Batter,
Mushfiqur Rahim (BAN),https://www.espncricinfo.com/ci/content/player/56029.html,2006-2022,102,93,16,1500,72*,19.48,1304,115.03,0,6,8,126,37,"May 09, 1987, Bogra",37y 81d,Right hand Bat,,Wicketkeeper Batter,
Muhammad Tanveer (QAT),https://www.espncricinfo.com/ci/content/player/1093669.html,2019-2024,50,46,13,1499,88*,45.42,1086,138.02,0,12,1,108,88,1-Feb-81,43y 179d,Right hand Bat,Right arm Medium,,
KJ Coetzer (SCOT),https://www.espncricinfo.com/ci/content/player/25446.html,2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48,"April 14, 1984, Aberdeen",40y 106d,Right hand Bat,Right arm Medium fast,Top order Batter,5ft 11in
DPMD Jayawardene (SL),https://www.espncricinfo.com/ci/content/player/49289.html,2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,"May 27, 1977, Colombo",47y 63d,Right hand Bat,Right arm Medium,Batter,
Ahmed Faiz (MAS),https://www.espncricinfo.com/ci/content/player/307639.html,2019-2024,73,62,6,1490,105*,26.6,1195,124.68,1,6,4,118,56,"February 12, 1988, Malaysia",36y 168d,Right hand Bat,Legbreak,Batter,
Ahmed Shehzad (PAK),https://www.espncricinfo.com/ci/content/player/259410.html,2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33,"November 23, 1991, Lahore, Punjab",32y 249d,Right hand Bat,Legbreak,Opening Batter,
E Lewis (WI),https://www.espncricinfo.com/ci/content/player/431901.html,2016-2022,53,52,3,1465,125*,29.89,964,151.97,2,10,4,108,111,"December 27, 1991, Port of Spain, Trinidad",32y 215d,Left hand Bat,,Opening Batter,
SR Watson (AUS),https://www.espncricinfo.com/ci/content/player/8180.html,2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83,"June 17, 1981, Ipswich, Queensland",43y 42d,Right hand Bat,Right arm Fast medium,Allrounder,1.83 m
MD Shanaka (SL),https://www.espncricinfo.com/ci/content/player/437316.html,2015-2024,102,94,20,1456,74*,19.67,1189,122.45,0,5,13,107,72,"September 09, 1991, Negombo",32y 324d,Right hand Bat,Right arm Medium,Allrounder,6ft
CR Ervine (ZIM),https://www.espncricinfo.com/ci/content/player/55412.html,2010-2024,71,70,4,1449,70,21.95,1370,105.76,0,9,5,143,30,"August 19, 1985, Harare",38y 345d,Left hand Bat,Right arm Offbreak,Middle order Batter,
MG Erasmus (NAM),https://www.espncricinfo.com/ci/content/player/519070.html,2019-2024,61,59,15,1441,100*,32.75,1182,121.91,1,10,2,111,53,"April 11, 1995, Windhoek, Namibia",29y 109d,Right hand Bat,Right arm Offbreak,Allrounder,
II Selemani (TAN),https://www.espncricinfo.com/ci/content/player/1286455.html,2021-2024,63,62,4,1426,81,24.58,963,148.07,0,7,6,158,78,"June 20, 2000, Mvomero",24y 39d,Right hand Bat,Right arm Offbreak,,
AD Mathews (SL),https://www.espncricinfo.com/ci/content/player/49764.html,2009-2024,90,73,22,1416,81*,27.76,1175,120.51,0,6,1,92,50,"June 02, 1987, Colombo",37y 57d,Right hand Bat,Right arm Medium,Allrounder,
Shahid Afridi (ICC/PAK),https://www.espncricinfo.com/ci/content/player/42639.html,2006-2018,99,91,12,1416,54*,17.92,944,150,0,4,8,103,73,"March 01, 1980, Khyber Agency",44y 150d,Right hand Bat,Legbreak Googly,Allrounder,
R Powell (WI),https://www.espncricinfo.com/ci/content/player/820351.html,2017-2024,78,67,11,1414,107,25.25,977,144.72,1,6,2,81,95,"July 23, 1993, Jamaica",31y 6d,Right hand Bat,Right arm Medium fast,Middle order Batter,
DP Conway (NZ),https://www.espncricinfo.com/ci/content/player/379140.html,2020-2024,50,46,9,1408,99*,38.05,1102,127.76,0,10,1,135,37,"July 08, 1991, Johannesburg, Transvaal",33y 21d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Soumya Sarkar (BAN),https://www.espncricinfo.com/ci/content/player/436677.html,2015-2024,85,84,4,1408,68,17.6,1147,122.75,0,5,13,142,52,"February 25, 1993, Satkhira",31y 155d,Left hand Bat,Right arm Medium fast,Batting Allrounder,5ft 10in
BA King (WI),https://www.espncricinfo.com/ci/content/player/670035.html,2019-2024,55,53,5,1395,85*,29.06,1038,134.39,0,10,4,149,60,"December 16, 1994, Kingston, Jamaica",29y 226d,Right hand Bat,,Top order Batter,
P Nissanka (SL),https://www.espncricinfo.com/ci/content/player/1028655.html,2021-2024,53,52,3,1392,79,28.4,1167,119.28,0,11,5,140,32,"May 18, 1998, Galle",26y 72d,Right hand Bat,,Top order Batter,
Asghar Afghan (AFG),https://www.espncricinfo.com/ci/content/player/320652.html,2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,"December 26, 1987, Kabul, Afghanistan",36y 216d,Right hand Bat,Right arm Medium fast,Middle order Batter,
KC Sangakkara (SL),https://www.espncricinfo.com/ci/content/player/50710.html,2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20,"October 27, 1977, Matale",46y 276d,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
RR Patel (KENYA),https://www.espncricinfo.com/ci/content/player/267455.html,2008-2024,76,64,15,1367,73*,27.89,1007,135.74,0,7,3,99,80,"July 12, 1989, Nairobi, Kenya",35y 17d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
HT Tector (IRE),https://www.espncricinfo.com/ci/content/player/961407.html,2019-2024,79,73,13,1356,64*,22.6,1138,119.15,0,5,5,106,33,"December 06, 1999, Dublin",24y 236d,Right hand Bat,Right arm Offbreak,Middle order Batter,
Zeeshan Maqsood (OMA),https://www.espncricinfo.com/ci/content/player/585083.html,2015-2024,69,58,9,1322,102*,26.97,1098,120.4,1,5,4,135,46,24-Oct-87,36y 279d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
LJ Tucker (IRE),https://www.espncricinfo.com/ci/content/player/928057.html,2016-2024,74,70,8,1317,94*,21.24,1068,123.31,0,9,7,128,29,"September 10, 1996, Dublin",27y 323d,Right hand Bat,,Wicketkeeper Batter,
J Charles (WI),https://www.espncricinfo.com/ci/content/player/333066.html,2011-2024,57,56,0,1302,118,23.25,992,131.25,1,5,7,140,60,"January 14, 1989, St Lucia",35y 197d,Right hand Bat,,Wicketkeeper Batter,
DJ Mitchell (NZ),https://www.espncricinfo.com/ci/content/player/381743.html,2019-2024,67,63,13,1296,72*,25.92,939,138.01,0,7,2,91,48,"May 20, 1991, Hamilton",33y 70d,Right hand Bat,Right arm Medium,Batting Allrounder,
TL Seifert (NZ),https://www.espncricinfo.com/ci/content/player/625964.html,2018-2024,61,58,7,1291,88,25.31,958,134.75,0,9,5,111,58,"December 14, 1994, Wanganui",29y 228d,Right hand Bat,,Wicketkeeper Batter,
JW Jenner (JER),https://www.espncricinfo.com/ci/content/player/526462.html,2019-2024,50,50,9,1288,96*,31.41,932,138.19,0,7,4,104,51,"December 04, 1997, Guernsey",26y 238d,Right hand Bat,Right arm Offbreak,,
HM Amla (SA/World),https://www.espncricinfo.com/ci/content/player/43906.html,2009-2018,44,44,6,1277,97*,33.6,967,132.05,0,8,2,146,26,"March 31, 1983, Durban, Natal",41y 120d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top order Batter,
A Vala (PNG),https://www.espncricinfo.com/ci/content/player/25056.html,2015-2024,63,60,9,1274,93*,24.98,1093,116.55,0,8,1,116,38,"August 05, 1987, Papua New Guinea",36y 359d,Left hand Bat,Right arm Offbreak,Batter,
GC Wilson (IRE),https://www.espncricinfo.com/ci/content/player/24609.html,2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20,"February 05, 1986, Dundonald, Northern Ireland",38y 175d,Right hand Bat,,Wicketkeeper Batter,5ft 10in
Riazat Ali Shah (UGA),https://www.espncricinfo.com/ci/content/player/1129565.html,2019-2024,61,53,14,1261,98*,32.33,1044,120.78,0,4,3,86,56,"February 20, 1998, Gilgit, Pakistan",26y 160d,Right hand Bat,Right arm Medium,Batting Allrounder,
DJ Bravo (WI),https://www.espncricinfo.com/ci/content/player/51439.html,2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55,"October 07, 1983, Santa Cruz, Trinidad",40y 296d,Right hand Bat,Right arm Medium,Allrounder,
O Tuyisenge (RWN),https://www.espncricinfo.com/ci/content/player/1151256.html,2021-2024,77,74,4,1244,100*,17.77,1186,104.89,1,3,11,128,30,"April 12, 2000, Rwanda",24y 108d,Right hand Bat,,,
AK Markram (SA),https://www.espncricinfo.com/ci/content/player/600498.html,2019-2024,48,44,7,1241,70,33.54,864,143.63,0,9,2,112,49,"October 04, 1994, Centurion",29y 299d,Right hand Bat,Right arm Offbreak,Opening Batter,
BN Cooper (NED),https://www.espncricinfo.com/ci/content/player/470699.html,2013-2021,58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38,"February 10, 1992, Lismore, New South Wales",32y 170d,Left hand Bat,Right arm Medium,Middle order Batter,
CS MacLeod (SCOT),https://www.espncricinfo.com/ci/content/player/232435.html,2009-2022,64,61,9,1238,74,23.8,1115,111.03,0,7,8,107,23,"November 15, 1988, Glasgow, Lanarkshire",35y 257d,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,
MM Ali (ENG),https://www.espncricinfo.com/ci/content/player/8917.html,2014-2024,92,75,17,1229,72*,21.18,863,142.41,0,7,9,88,68,"June 18, 1987, Birmingham",37y 41d,Left hand Bat,Right arm Offbreak,Batting Allrounder,6ft
