Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,Born,Age,Batting Style,Bowling Style,Playing Role,Height
BC Fortuin (SA),https://www.espncricinfo.com/ci/content/player/553249.html,2020-2023,5,3,1,2,1,1,8,25,0,0,0,"October 21, 1994, Paarl",29y 282d,Right hand Bat,Slow Left arm Orthodox,Bowler,
PG Gillespie (IRE),https://www.espncricinfo.com/ci/content/player/24243.html,2006-2007,5,4,0,2,2,0.5,14,14.28,0,0,3,"May 11, 1974, Strabane, Co Tyrone",50y 79d,Right hand Bat,Right arm Medium,,
K Gowtham (IND),https://www.espncricinfo.com/ci/content/player/424377.html,2021-2021,1,1,0,2,2,2,3,66.66,0,0,0,"October 20, 1988, Bangalore, Karnataka",35y 283d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
AAW Gunawardena (SL),https://www.espncricinfo.com/ci/content/player/49002.html,1994-1994,1,1,0,2,2,2,10,20,0,0,0,"March 31, 1969, Colombo",55y 120d,Right hand Bat,Right arm Medium,,
KC Hodsoll (BER),https://www.espncricinfo.com/ci/content/player/307235.html,2007-2008,3,2,1,2,2*,2,7,28.57,0,0,1,"November 24, 1988, Bermuda",35y 248d,Right hand Bat,Right arm Medium fast,Middle order Batter,
Hussain Talat (PAK),https://www.espncricinfo.com/ci/content/player/628240.html,2019-2019,1,1,0,2,2,2,14,14.28,0,0,0,"February 12, 1996, Lahore, Punjab",28y 168d,Left hand Bat,Right arm Medium fast,Allrounder,
Irfan Sajid (UAE),https://www.espncricinfo.com/ci/content/player/741143.html,2014-2014,1,1,0,2,2,2,5,40,0,0,0,"January 01, 1983, Pakistan",41y 210d,Right hand Bat,Legbreak,Bowler,
Junaid Zia (PAK),https://www.espncricinfo.com/ci/content/player/40926.html,2003-2003,4,2,1,2,2*,2,7,28.57,0,0,1,"December 11, 1983, Lahore, Punjab",40y 231d,Right hand Bat,Right arm Medium fast,,
K Kamyuka (CAN),https://www.espncricinfo.com/ci/content/player/26135.html,2013-2013,2,1,0,2,2,2,2,100,0,0,0,"December 05, 1981, Jinga, Uganda",42y 237d,Right hand Bat,Right arm Fast medium,Bowler,
Kashif Raza (PAK),https://www.espncricinfo.com/ci/content/player/41036.html,2001-2001,1,1,1,2,2*,-,2,100,0,0,0,"December 26, 1979, Sheikhupura, Punjab",44y 216d,Right hand Bat,Right arm Medium,,
