Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,Born,Age,Batting Style,Bowling Style,Playing Role,Height
SR Tendulkar (IND),https://www.espncricinfo.com/ci/content/player/35320.html,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,"April 24, 1973, Bombay (now Mumbai), Maharashtra",51y 96d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,5ft 5in
KC Sangakkara (Asia/ICC/SL),https://www.espncricinfo.com/ci/content/player/50710.html,2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,"October 27, 1977, Matale",46y 276d,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
V Kohli (IND),https://www.espncricinfo.com/ci/content/player/253802.html,2008-2023,292,280,44,13848,183,58.67,14797,93.58,50,72,16,"November 05, 1988, Delhi",35y 267d,Right hand Bat,Right arm Medium,Top order Batter,
RT Ponting (AUS/ICC),https://www.espncricinfo.com/ci/content/player/7133.html,1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,"December 19, 1974, Launceston, Tasmania",49y 223d,Right hand Bat,Right arm Medium,Top order Batter,1.78 m
ST Jayasuriya (Asia/SL),https://www.espncricinfo.com/ci/content/player/49209.html,1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,"June 30, 1969, Matara",55y 29d,Left hand Bat,Slow Left arm Orthodox,Allrounder,
DPMD Jayawardene (Asia/SL),https://www.espncricinfo.com/ci/content/player/49289.html,1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28,"May 27, 1977, Colombo",47y 63d,Right hand Bat,Right arm Medium,Batter,
Inzamam-ul-Haq (Asia/PAK),https://www.espncricinfo.com/ci/content/player/40570.html,1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,"March 03, 1970, Multan, Punjab",54y 148d,Right hand Bat,Slow Left arm Orthodox,Batter,
JH Kallis (Afr/ICC/SA),https://www.espncricinfo.com/ci/content/player/45789.html,1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,"October 16, 1975, Pinelands, Cape Town, Cape Province",48y 287d,Right hand Bat,Right arm Fast medium,Allrounder,
SC Ganguly (Asia/IND),https://www.espncricinfo.com/ci/content/player/28779.html,1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,"July 08, 1972, Calcutta (now Kolkata), Bengal",52y 21d,Left hand Bat,Right arm Medium,Batter,5ft 11in
R Dravid (Asia/ICC/IND),https://www.espncricinfo.com/ci/content/player/28114.html,1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,"January 11, 1973, Indore, Madhya Pradesh",51y 200d,Right hand Bat,Right arm Offbreak,Top order Batter,
MS Dhoni (Asia/IND),https://www.espncricinfo.com/ci/content/player/28081.html,2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",43y 22d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
RG Sharma (IND),https://www.espncricinfo.com/ci/content/player/34102.html,2007-2023,262,254,36,10709,264,49.12,11644,91.97,31,55,16,"April 30, 1987, Bansod, Nagpur, Maharashtra",37y 90d,Right hand Bat,Right arm Offbreak,Top order Batter,
CH Gayle (ICC/WI),https://www.espncricinfo.com/ci/content/player/51880.html,1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25,"September 21, 1979, Kingston, Jamaica",44y 312d,Left hand Bat,Right arm Offbreak,Allrounder,
BC Lara (ICC/WI),https://www.espncricinfo.com/ci/content/player/52337.html,1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,"May 02, 1969, Cantaro, Santa Cruz, Trinidad",55y 88d,Left hand Bat,Legbreak Googly,Batter,5ft 8in
TM Dilshan (SL),https://www.espncricinfo.com/ci/content/player/48472.html,1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11,"October 14, 1976, Kalutara",47y 289d,Right hand Bat,Right arm Offbreak,Allrounder,
Mohammad Yousuf (Asia/PAK),https://www.espncricinfo.com/ci/content/player/43650.html,1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,"August 27, 1974, Lahore, Punjab",49y 337d,Right hand Bat,Right arm Offbreak,Batter,
AC Gilchrist (AUS/ICC),https://www.espncricinfo.com/ci/content/player/5390.html,1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,"November 14, 1971, Bellingen, New South Wales",52y 258d,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,1.86 m
AB de Villiers (Afr/SA),https://www.espncricinfo.com/ci/content/player/44936.html,2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7,"February 17, 1984, Pretoria",40y 163d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
M Azharuddin (IND),https://www.espncricinfo.com/ci/content/player/26329.html,1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,"February 08, 1963, Hyderabad, Andhra Pradesh",61y 172d,Right hand Bat,Right arm Medium,Middle order Batter,
PA de Silva (SL),https://www.espncricinfo.com/ci/content/player/48462.html,1984-2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17,"October 17, 1965, Colombo",58y 286d,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Saeed Anwar (PAK),https://www.espncricinfo.com/ci/content/player/42605.html,1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,"September 06, 1968, Karachi, Sind",55y 327d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
S Chanderpaul (WI),https://www.espncricinfo.com/ci/content/player/51469.html,1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6,"August 16, 1974, Unity Village, East Coast, Demerara, Guyana",49y 348d,Left hand Bat,Legbreak,Batter,
Yuvraj Singh (Asia/IND),https://www.espncricinfo.com/ci/content/player/36084.html,2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18,"December 12, 1981, Chandigarh",42y 230d,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,
DL Haynes (WI),https://www.espncricinfo.com/ci/content/player/52047.html,1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13,"February 15, 1956, Holders Hill, St James, Barbados",68y 165d,Right hand Bat,,Opening Batter,
LRPL Taylor (NZ),https://www.espncricinfo.com/ci/content/player/38699.html,2006-2022,236,220,39,8607,181*,47.55,10330,83.32,21,51,9,"March 08, 1984, Lower Hutt, Wellington",40y 143d,Right hand Bat,Right arm Offbreak,Middle order Batter,
MS Atapattu (SL),https://www.espncricinfo.com/ci/content/player/48124.html,1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13,"November 22, 1970, Kalutara",53y 250d,Right hand Bat,Legbreak,Batter,
ME Waugh (AUS),https://www.espncricinfo.com/ci/content/player/8189.html,1988-2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16,"June 02, 1965, Canterbury, Sydney, New South Wales",59y 57d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,
Tamim Iqbal (BAN),https://www.espncricinfo.com/ci/content/player/56194.html,2007-2023,243,240,12,8357,158,36.65,10642,78.52,14,56,19,"March 20, 1989, Chittagong",35y 131d,Left hand Bat,,Opening Batter,
V Sehwag (Asia/ICC/IND),https://www.espncricinfo.com/ci/content/player/35263.html,1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14,"October 20, 1978, Delhi",45y 283d,Right hand Bat,Right arm Offbreak,Top order Batter,
HM Amla (SA),https://www.espncricinfo.com/ci/content/player/43906.html,2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,"March 31, 1983, Durban, Natal",41y 120d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top order Batter,
HH Gibbs (SA),https://www.espncricinfo.com/ci/content/player/45224.html,1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22,"February 23, 1974, Green Point, Cape Town, Cape Province",50y 157d,Right hand Bat,Right arm Bowler,Opening Batter,
Shahid Afridi (Asia/ICC/PAK),https://www.espncricinfo.com/ci/content/player/42639.html,1996-2015,398,369,27,8064,124,23.57,6892,117,6,39,30,"March 01, 1980, Khyber Agency",44y 150d,Right hand Bat,Legbreak Googly,Allrounder,
SP Fleming (ICC/NZ),https://www.espncricinfo.com/ci/content/player/37000.html,1994-2007,280,269,21,8037,134*,32.4,11242,71.49,8,49,17,"April 01, 1973, Christchurch, Canterbury",51y 119d,Left hand Bat,,Top order Batter,
MJ Clarke (AUS),https://www.espncricinfo.com/ci/content/player/4578.html,2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,"April 02, 1981, Liverpool, New South Wales",43y 118d,Right hand Bat,Slow Left arm Orthodox,Middle order Batter,1.78 m
Mushfiqur Rahim (BAN),https://www.espncricinfo.com/ci/content/player/56029.html,2006-2024,271,253,42,7792,144,36.92,9771,79.74,9,49,11,"May 09, 1987, Bogra",37y 81d,Right hand Bat,,Wicketkeeper Batter,
EJG Morgan (ENG/IRE),https://www.espncricinfo.com/ci/content/player/24598.html,2006-2022,248,230,34,7701,148,39.29,8447,91.16,14,47,18,"September 10, 1986, Dublin",37y 323d,Left hand Bat,Right arm Medium,Middle order Batter,5ft 9in
Shakib Al Hasan (BAN),https://www.espncricinfo.com/ci/content/player/56143.html,2006-2023,247,234,31,7570,134*,37.29,9138,82.84,9,56,12,"March 24, 1987, Magura, Jessore",37y 127d,Left hand Bat,Slow Left arm Orthodox,Allrounder,
SR Waugh (AUS),https://www.espncricinfo.com/ci/content/player/8192.html,1986-2002,325,288,58,7569,120*,32.9,9971,75.91,3,45,15,"June 02, 1965, Canterbury, Sydney, New South Wales",59y 57d,Right hand Bat,Right arm Medium,Middle order Batter,
Shoaib Malik (PAK),https://www.espncricinfo.com/ci/content/player/42657.html,1999-2019,287,258,40,7534,143,34.55,9199,81.9,9,44,15,"February 01, 1982, Sialkot, Punjab",42y 179d,Right hand Bat,Right arm Offbreak,Allrounder,
A Ranatunga (SL),https://www.espncricinfo.com/ci/content/player/50244.html,1982-1999,269,255,47,7456,131*,35.84,9571,77.9,4,49,18,"December 01, 1963, Colombo",60y 241d,Left hand Bat,Right arm Medium,Batter,
Javed Miandad (PAK),https://www.espncricinfo.com/ci/content/player/40879.html,1975-1996,233,218,41,7381,119*,41.7,11014,67.01,8,50,8,"June 12, 1957, Karachi, Sind",67y 47d,Right hand Bat,Legbreak Googly,Batter,
MJ Guptill (NZ),https://www.espncricinfo.com/ci/content/player/226492.html,2009-2022,198,195,19,7346,237*,41.73,8415,87.29,18,39,16,"September 30, 1986, Auckland",37y 303d,Right hand Bat,Right arm Offbreak,Opening Batter,
Younis Khan (PAK),https://www.espncricinfo.com/ci/content/player/43652.html,2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22,"November 29, 1977, Mardan, North-West Frontier Province (now Khyber Pakhtunkhwa)",46y 243d,Right hand Bat,"Right arm Medium, Legbreak",Middle order Batter,
Saleem Malik (PAK),https://www.espncricinfo.com/ci/content/player/42623.html,1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19,"April 16, 1963, Lahore, Punjab",61y 104d,Right hand Bat,"Right arm Slow medium, Right arm Offbreak",Batter,
NJ Astle (NZ),https://www.espncricinfo.com/ci/content/player/36185.html,1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19,"September 15, 1971, Christchurch, Canterbury",52y 318d,Right hand Bat,Right arm Medium,Opening Batter,
GC Smith (Afr/SA),https://www.espncricinfo.com/ci/content/player/47270.html,2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8,"February 01, 1981, Johannesburg, Transvaal",43y 179d,Left hand Bat,Right arm Offbreak,Opening Batter,
WU Tharanga (Asia/SL),https://www.espncricinfo.com/ci/content/player/50747.html,2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17,"February 02, 1985, Balapitiya",39y 178d,Left hand Bat,,Batter,
DA Warner (AUS),https://www.espncricinfo.com/ci/content/player/219889.html,2009-2023,161,159,6,6932,179,45.3,7127,97.26,22,33,4,"October 27, 1986, Paddington, New South Wales",37y 276d,Left hand Bat,Legbreak,Opening Batter,1.7 m
MG Bevan (AUS),https://www.espncricinfo.com/ci/content/player/4144.html,1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,"May 08, 1970, Belconnen, Australian Capital Territory",54y 82d,Left hand Bat,Left arm Wrist spin,Batter,1.8 m
KS Williamson (NZ),https://www.espncricinfo.com/ci/content/player/277906.html,2010-2023,165,157,17,6810,148,48.64,8368,81.38,13,45,5,"August 08, 1990, Tauranga",33y 356d,Right hand Bat,Right arm Offbreak,Top order Batter,
G Kirsten (SA),https://www.espncricinfo.com/ci/content/player/45813.html,1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,"November 23, 1967, Cape Town, Cape Province",56y 249d,Left hand Bat,Right arm Offbreak,Opening Batter,
S Dhawan (IND),https://www.espncricinfo.com/ci/content/player/28235.html,2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5,"December 05, 1985, Delhi",38y 237d,Left hand Bat,Right arm Offbreak,Opening Batter,
A Flower (ZIM),https://www.espncricinfo.com/ci/content/player/55427.html,1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13,"April 28, 1968, Cape Town, Cape Province, South Africa",56y 92d,Left hand Bat,Right arm Offbreak,Top order Batter,5ft 10in
Q de Kock (SA),https://www.espncricinfo.com/ci/content/player/379143.html,2013-2023,155,155,7,6770,178,45.74,7005,96.64,21,30,4,"December 17, 1992, Johannesburg, Gauteng",31y 225d,Left hand Bat,,Wicketkeeper Batter,
IVA Richards (WI),https://www.espncricinfo.com/ci/content/player/52812.html,1975-1991,187,167,24,6721,189*,47,7451,90.2,11,45,7,"March 07, 1952, St John's, Antigua",72y 144d,Right hand Bat,"Right arm Slow, Right arm Offbreak",Batting Allrounder,
BRM Taylor (ZIM),https://www.espncricinfo.com/ci/content/player/55814.html,2004-2021,205,203,15,6684,145*,35.55,8721,76.64,11,39,15,"February 06, 1986, Harare",38y 174d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Mohammad Hafeez (PAK),https://www.espncricinfo.com/ci/content/player/41434.html,2003-2019,218,216,15,6614,140*,32.9,8633,76.61,11,38,19,"October 17, 1980, Sargodha, Punjab",43y 286d,Right hand Bat,Right arm Offbreak,Allrounder,
GW Flower (ZIM),https://www.espncricinfo.com/ci/content/player/55429.html,1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18,"December 20, 1970, Salisbury (now Harare)",53y 222d,Right hand Bat,Slow Left arm Orthodox,Allrounder,5ft 10in
Ijaz Ahmed (PAK),https://www.espncricinfo.com/ci/content/player/40551.html,1986-2000,250,232,29,6564,139*,32.33,8174,80.3,10,37,14,"September 20, 1968, Sialkot, Punjab",55y 313d,Right hand Bat,Left arm Medium,Batter,
AR Border (AUS),https://www.espncricinfo.com/ci/content/player/4174.html,1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11,"July 27, 1955, Cremorne, Sydney, New South Wales",69y 2d,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,5ft 9in
JE Root (ENG),https://www.espncricinfo.com/ci/content/player/303669.html,2013-2023,171,160,23,6522,133*,47.6,7516,86.77,16,39,9,"December 30, 1990, Sheffield, Yorkshire",33y 212d,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,
RB Richardson (WI),https://www.espncricinfo.com/ci/content/player/52810.html,1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8,"January 12, 1962, Five Islands Village, Antigua",62y 199d,Right hand Bat,Right arm Medium,Batter,
ML Hayden (AUS/ICC),https://www.espncricinfo.com/ci/content/player/5616.html,1993-2008,161,155,15,6133,181*,43.8,7767,78.96,10,36,9,"October 29, 1971, Kingaroy, Queensland",52y 274d,Left hand Bat,Right arm Medium,Opening Batter,1.88 m
BB McCullum (NZ),https://www.espncricinfo.com/ci/content/player/37737.html,2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20,"September 27, 1981, Dunedin, Otago",42y 306d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper Batter,
DM Jones (AUS),https://www.espncricinfo.com/ci/content/player/6044.html,1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,"March 24, 1961, Coburg, Melbourne, Victoria",,Right hand Bat,Right arm Offbreak,Top order Batter,
DC Boon (AUS),https://www.espncricinfo.com/ci/content/player/4169.html,1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6,"December 29, 1960, Launceston, Tasmania",63y 213d,Right hand Bat,Right arm Offbreak,Top order Batter,
JN Rhodes (SA),https://www.espncricinfo.com/ci/content/player/46973.html,1992-2003,245,220,51,5935,121,35.11,7336,80.9,2,33,12,"July 27, 1969, Pietermaritzberg, Natal",55y 2d,Right hand Bat,Right arm Medium,Middle order Batter,
AD Mathews (SL),https://www.espncricinfo.com/ci/content/player/49764.html,2008-2023,226,195,48,5916,139*,40.24,7136,82.9,3,40,17,"June 02, 1987, Colombo",37y 57d,Right hand Bat,Right arm Medium,Allrounder,
Ramiz Raja (PAK),https://www.espncricinfo.com/ci/content/player/42420.html,1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15,"August 14, 1962, Lyallpur (now Faisalabad), Punjab",61y 350d,Right hand Bat,Legbreak,Batter,
RR Sarwan (WI),https://www.espncricinfo.com/ci/content/player/52969.html,2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8,"June 23, 1980, Wakenaam Island, Essequibo, Guyana",44y 36d,Right hand Bat,Legbreak,Batter,
CL Hooper (WI),https://www.espncricinfo.com/ci/content/player/52066.html,1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7,"December 15, 1966, Georgetown, Demerara, Guyana",57y 227d,Right hand Bat,Right arm Offbreak,Allrounder,
SR Watson (AUS),https://www.espncricinfo.com/ci/content/player/8180.html,2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,"June 17, 1981, Ipswich, Queensland",43y 42d,Right hand Bat,Right arm Fast medium,Allrounder,1.83 m
Babar Azam (PAK),https://www.espncricinfo.com/ci/content/player/348144.html,2015-2023,117,114,13,5729,158,56.72,6455,88.75,19,32,4,"October 15, 1994, Lahore, Punjab",29y 288d,Right hand Bat,Right arm Offbreak,Batter,
PR Stirling (IRE),https://www.espncricinfo.com/ci/content/player/303427.html,2008-2024,161,154,3,5700,177,37.74,6534,87.23,14,29,13,"September 03, 1990, Belfast",33y 330d,Right hand Bat,Right arm Offbreak,Batting Allrounder,
H Masakadza (ZIM),https://www.espncricinfo.com/ci/content/player/55608.html,2001-2019,209,208,4,5658,178*,27.73,7728,73.21,5,34,15,"August 09, 1983, Harare",40y 355d,Right hand Bat,Right arm Medium,Top order Batter,
SK Raina (IND),https://www.espncricinfo.com/ci/content/player/33335.html,2005-2018,226,194,35,5615,116*,35.31,6005,93.5,5,36,14,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",37y 245d,Left hand Bat,Right arm Offbreak,Middle order Batter,
MN Samuels (WI),https://www.espncricinfo.com/ci/content/player/52983.html,2000-2018,207,196,26,5606,133*,32.97,7463,75.11,10,30,11,"February 05, 1981, Kingston, Jamaica",43y 175d,Right hand Bat,Right arm Offbreak,Top order Batter,
WJ Cronje (SA),https://www.espncricinfo.com/ci/content/player/44485.html,1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8,"September 25, 1969, Bloemfontein, Orange Free State",,Right hand Bat,Right arm Medium,Allrounder,
F du Plessis (SA),https://www.espncricinfo.com/ci/content/player/44828.html,2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,"July 13, 1984, Pretoria",40y 16d,Right hand Bat,Legbreak,Middle order Batter,5ft 11in
SPD Smith (AUS),https://www.espncricinfo.com/ci/content/player/267192.html,2010-2024,158,142,18,5446,164,43.91,6230,87.41,12,33,8,"June 02, 1989, Sydney, New South Wales",35y 57d,Right hand Bat,Legbreak Googly,Top order Batter,
MEK Hussey (AUS),https://www.espncricinfo.com/ci/content/player/5939.html,2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,"May 27, 1975, Mt Lawley, Perth, Western Australia",49y 63d,Left hand Bat,Right arm Medium,Middle order Batter,1.8 m
IR Bell (ENG),https://www.espncricinfo.com/ci/content/player/9062.html,2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6,"April 11, 1982, Walsgrave, Coventry, Warwickshire",42y 109d,Right hand Bat,Right arm Medium,Top order Batter,5ft 10in
AJ Finch (AUS),https://www.espncricinfo.com/ci/content/player/5334.html,2013-2022,146,142,3,5406,153*,38.89,6162,87.73,17,30,16,"November 17, 1986, Colac, Victoria",37y 255d,Right hand Bat,Slow Left arm Orthodox,Top order Batter,1.74 m
Mahmudullah (BAN),https://www.espncricinfo.com/ci/content/player/56025.html,2007-2024,232,202,51,5386,128*,35.66,7002,76.92,4,28,10,"February 04, 1986, Mymensingh",38y 176d,Right hand Bat,Right arm Offbreak,Allrounder,
A Jadeja (IND),https://www.espncricinfo.com/ci/content/player/29632.html,1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10,"February 01, 1971, Jamnagar, Gujarat",53y 179d,Right hand Bat,Right arm Medium,Middle order Batter,
DR Martyn (AUS),https://www.espncricinfo.com/ci/content/player/6513.html,1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,"October 21, 1971, Darwin, Northern Territory",52y 282d,Right hand Bat,Right arm Medium,Top order Batter,1.81 m
G Gambhir (IND),https://www.espncricinfo.com/ci/content/player/28763.html,2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,"October 14, 1981, Delhi",42y 289d,Left hand Bat,Legbreak,Top order Batter,
ADR Campbell (ZIM),https://www.espncricinfo.com/ci/content/player/55301.html,1992-2003,188,184,14,5185,131*,30.5,7834,66.18,7,30,11,"September 23, 1972, Salisbury (now Harare)",51y 310d,Left hand Bat,Right arm Offbreak,Opening Batter,
SD Hope (WI),https://www.espncricinfo.com/ci/content/player/581379.html,2016-2024,124,119,16,5177,170,50.26,6673,77.58,16,25,5,"November 10, 1993, Barbados",30y 262d,Right hand Bat,,Wicketkeeper Batter,
RS Mahanama (SL),https://www.espncricinfo.com/ci/content/player/49626.html,1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15,"May 31, 1966, Colombo",58y 59d,Right hand Bat,,Batter,
CG Greenidge (WI),https://www.espncricinfo.com/ci/content/player/51901.html,1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,"May 01, 1951, Black Bess, St Peter, Barbados",73y 89d,Right hand Bat,Right arm Medium,Opening Batter,
Misbah-ul-Haq (PAK),https://www.espncricinfo.com/ci/content/player/41378.html,2002-2015,162,149,31,5122,96*,43.4,6945,73.75,0,42,6,"May 28, 1974, Mianwali, Punjab",50y 62d,Right hand Bat,Legbreak,Middle order Batter,
JP Duminy (SA),https://www.espncricinfo.com/ci/content/player/44932.html,2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7,"April 14, 1984, Strandfontein, Cape Town, Cape Province",40y 106d,Left hand Bat,Right arm Offbreak,Batting Allrounder,
PD Collingwood (ENG),https://www.espncricinfo.com/ci/content/player/10772.html,2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7,"May 26, 1976, Shotley Bridge, Co Durham",48y 64d,Right hand Bat,Right arm Medium,Allrounder,5ft 11in
A Symonds (AUS),https://www.espncricinfo.com/ci/content/player/7702.html,1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,"June 09, 1975, Birmingham, Warwickshire, England",,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,1.87 m
Abdul Razzaq (Asia/PAK),https://www.espncricinfo.com/ci/content/player/39836.html,1996-2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14,"December 02, 1979, Lahore, Punjab",44y 240d,Right hand Bat,Right arm Fast medium,Allrounder,
JC Buttler (ENG),https://www.espncricinfo.com/ci/content/player/308967.html,2012-2023,181,154,27,5022,162*,39.54,4288,117.11,11,26,14,"September 08, 1990, Taunton, Somerset",33y 325d,Right hand Bat,,Wicketkeeper Batter,
SC Williams (ZIM),https://www.espncricinfo.com/ci/content/player/55870.html,2005-2023,156,151,20,4986,174,38.06,5751,86.69,8,35,8,"September 26, 1986, Bulawayo",37y 307d,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,
CL Cairns (ICC/NZ),https://www.espncricinfo.com/ci/content/player/36597.html,1991-2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9,"June 13, 1970, Picton, Marlborough",54y 46d,Right hand Bat,Right arm Fast medium,Allrounder,
Aamer Sohail (PAK),https://www.espncricinfo.com/ci/content/player/38967.html,1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10,"September 14, 1966, Lahore, Punjab",57y 319d,Left hand Bat,Slow Left arm Orthodox,Batter,
CD McMillan (NZ),https://www.espncricinfo.com/ci/content/player/37712.html,1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9,"September 13, 1976, Christchurch, Canterbury",47y 320d,Right hand Bat,Right arm Medium,Batter,
MD Crowe (NZ),https://www.espncricinfo.com/ci/content/player/36622.html,1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3,"September 22, 1962, Henderson, Auckland",,Right hand Bat,Right arm Medium,Middle order Batter,
MV Boucher (Afr/SA),https://www.espncricinfo.com/ci/content/player/44111.html,1998-2011,295,221,57,4686,147*,28.57,5528,84.76,1,26,16,"December 03, 1976, East London, Cape Province",47y 239d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
AJ Stewart (ENG),https://www.espncricinfo.com/ci/content/player/20372.html,1989-2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13,"April 08, 1963, Merton, Surrey",61y 112d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
SB Styris (NZ),https://www.espncricinfo.com/ci/content/player/38407.html,1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9,"July 10, 1975, Brisbane, Queensland, Australia",49y 19d,Right hand Bat,Right arm Medium,Allrounder,5ft 10in
DA Miller (SA),https://www.espncricinfo.com/ci/content/player/321777.html,2010-2023,173,149,43,4458,139,42.05,4315,103.31,6,24,9,"June 10, 1989, Pietermaritzburg, Natal",35y 49d,Left hand Bat,Right arm Offbreak,Middle order Batter,
KP Pietersen (ENG/ICC),https://www.espncricinfo.com/ci/content/player/19296.html,2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7,"June 27, 1980, Pietermaritzburg, Natal",44y 32d,Right hand Bat,Right arm Offbreak,Top order Batter,6ft 4in
NS Sidhu (IND),https://www.espncricinfo.com/ci/content/player/34028.html,1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,"October 20, 1963, Patiala, Punjab",60y 283d,Right hand Bat,Right arm Medium,Opening Batter,
CZ Harris (NZ),https://www.espncricinfo.com/ci/content/player/37232.html,1990-2004,250,213,62,4379,130,29,6583,66.51,1,16,12,"November 20, 1969, Christchurch, Canterbury",54y 252d,Left hand Bat,Right arm Medium,Allrounder,
GR Marsh (AUS),https://www.espncricinfo.com/ci/content/player/6499.html,1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,"December 31, 1958, Northam, Western Australia",65y 211d,Right hand Bat,,Opening Batter,
WTS Porterfield (IRE),https://www.espncricinfo.com/ci/content/player/24611.html,2006-2022,148,145,3,4343,139,30.58,6298,68.95,11,20,12,"September 06, 1984, Londonderry",39y 327d,Left hand Bat,Right arm Offbreak,Batter,
